DOE,SO2_lbs_MD,NOX_lbs_MD,PM_MD_KWH
228,35.664,14.8785,7.069397
246,3.81425,1.4762,0.247253
259,15.1175,5.5555,1.368487
260,12.625,4.59495,0.3967329
271,35.664,14.8785,7.069397
273,30.055,12.3305,6.952893
301,42.4165,13.772,4.553406
302,42.4165,13.772,7.76438
310,42.4165,13.772,4.557959
315,84.67,44.4715,12.63779
329,7.5925,6.163,1.339397
330,84.67,44.4715,12.63779
331,7.5925,6.163,1.339397
335,33.3115,13.2275,5.50648
341,84.67,44.4715,12.63779
345,18.6465,6.5475,2.061651
350,18.6465,6.5475,2.061651
356,84.67,44.4715,12.63779
358,7.5925,6.163,1.339397
377,84.67,44.4715,12.63779
389,9.7295,2.473,0.6165938
399,84.67,44.4715,12.63779
400,84.67,44.4715,12.63779
404,84.67,44.4715,12.63779
408,84.67,44.4715,12.63779
420,84.67,44.4715,12.63779
422,84.67,44.4715,12.63779
6013,84.67,44.4715,12.63779
6211,27.8565,11.45,4.983456
7231,30.5035,11.2815,4.542792
7232,30.5035,11.2815,4.542792
7266,17.2765,8.5,2.041721
7307,4.42145,1.64915,0.3145398
7315,17.2765,8.5,2.041721
7449,24.1875,12.3325,3.38229
7450,27.8565,11.45,4.983456
7451,24.1875,12.3325,3.378912
7527,21.227,9.8895,3.330889
7551,21.227,9.8895,3.330889
7552,21.227,9.8895,3.330889
7693,33.3115,13.2275,5.50648
7987,84.67,44.4715,12.63779
8076,18.1765,5.9385,1.453057
10034,30.5035,11.2815,4.547334
10110,6.124,5.6725,1.413492
10156,14.3775,5.5695,1.258577
10169,84.67,44.4715,12.63779
10294,12.625,4.59495,1.018351
10342,35.664,14.8785,7.062336
10349,11.2095,3.9407,1.172481
10350,11.2095,3.9407,1.172481
10405,14.3775,5.5695,1.258577
10427,7.5925,6.163,1.338059
10478,84.67,44.4715,12.62517
10496,6.124,5.6725,1.413492
10501,6.124,5.6725,1.413492
10635,34.979,9.918,2.937772
10649,6.124,5.6725,1.413492
10650,6.124,5.6725,1.413492
10776,18.6465,6.5475,2.059592
10810,42.4165,13.772,4.553406
10811,42.4165,13.772,4.553406
10812,42.4165,13.772,4.557959
50003,6.124,5.6725,1.413492
50115,6.124,5.6725,1.413492
50119,35.664,14.8785,7.062336
50131,14.3775,5.5695,1.258577
50134,6.124,5.6725,1.413492
50170,6.124,5.6725,1.413492
50216,84.67,44.4715,12.62517
50270,18.1765,5.9385,1.453057
50493,6.124,5.6725,1.413492
50494,6.124,5.6725,1.413492
50495,6.124,5.6725,1.413492
50537,21.7175,8.2885,3.549797
50612,6.124,5.6725,1.413492
50622,6.124,5.6725,1.413492
50623,18.1765,5.9385,1.453057
50748,30.5035,11.2815,4.542792
50750,14.3775,5.5695,1.25732
50752,6.124,5.6725,1.413492
50849,27.8565,11.45,4.983456
50850,7.5925,6.163,1.338059
50864,12.625,4.59495,1.018351
50865,12.625,4.59495,1.018351
52076,6.124,5.6725,1.413492
52085,6.124,5.6725,1.413492
52086,14.3775,5.5695,1.25732
52096,84.67,44.4715,12.62517
52107,6.124,5.6725,1.413492
52147,42.4165,13.772,4.553406
52169,6.124,5.6725,1.413492
52186,11.2095,3.9407,1.17131
