plant,name,typ,zone,netcap,Name_Description,eGRID_Name,DOE,CNTYNAME,FIPSCNTY,LAT,LON,NOX_lbs_MD,SO2_lbs_MD,PM_MD_KWH
1,"UNCHEM_1_UNIT","ngcc","PGE_bay",19,"CONTRA COSTA CARBON PLANT","Contra Costa Generating Station",228,"",,,,14.8785,35.664,7.069397
134,"MRCHNT_2_PL1X3","ngcc","SCE",494.58,"Desert Star Energy Center","Desert Star Energy Center",55077,"",,,,4.28665,6.435,1.154932
236,"ELCAJN_7_GT1","ngct","SDGE",16.36,"El Cajon GT","El Cajon",301,"San Diego",73,32.7958,-116.9722,13.772,42.4165,4.553406
37,"OAK_C_7_UNIT_1","oil","PGE_bay",55,"Oakland GT #1","Dynegy Oakland Power Plant",6211,"Alameda",1,37.79675,-122.28185,11.45,27.8565,4.983456
39,"OAK_C_7_UNIT_3","oil","PGE_bay",55,"Oakland GT #3","Dynegy Oakland Power Plant",6211,"Alameda",1,37.79675,-122.28185,11.45,27.8565,4.983456
38,"OAK_C_7_UNIT_2","oil","PGE_bay",55,"Oakland GT #2","Dynegy Oakland Power Plant",6211,"Alameda",1,37.79675,-122.28185,11.45,27.8565,4.983456
32,"CSCGNR_1_UNIT_1","ngct","PGE_bay",24.75,"Gianera GT 1","Gianera",7231,"Santa Clara",85,37.401,-121.96867,11.2815,30.5035,4.542792
33,"CSCGNR_1_UNIT_2","ngct","PGE_bay",24.75,"Gianera GT 2","Gianera",7231,"Santa Clara",85,37.401,-121.96867,11.2815,30.5035,4.542792
31,"CSCCOG_1_UNIT_1","ngct","PGE_bay",7,"SANTA CLARA COGEN","Santa Clara Cogen",7232,"Santa Clara",85,37.364297,-121.94424,11.2815,30.5035,4.542792
25,"ALMEGT_1_UNIT_1","ngct","PGE_bay",23.8,"Alameda GT Unit 1","Alameda",7450,"Alameda",1,37.7886,-122.2889,11.45,27.8565,4.983456
26,"ALMEGT_1_UNIT_2","ngct","PGE_bay",25.4,"Alameda GT Unit 2","Alameda",7450,"Alameda",1,37.7886,-122.2889,11.45,27.8565,4.983456
59,"LODI25_2_UNIT1","ngct","PGE_valley",25.3,"LODI GAS TURBINE","Lodi",7451,"San Joaquin",77,38.146571,-121.30054,12.3325,24.1875,3.378912
178,"GOLETA_6_ELLWOD","ngct","SCE",54,"Ellwood Generating Station","Ellwood",8076,"Santa Barbara",83,34.431419,-119.90005,5.9385,18.1765,1.453057
