name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
AGRICO_6_PL3N5,ngct,PGE_valley,22.69,2.024087173,2.154136697,2.219161459,8,23,1,1,3.17,9.589041096,1588.3,34.57236359,1.407798616,0.116797059,1.258577
AGRICO_7_UNIT,ngcc,PGE_valley,50.6,2.350735707,2.872627186,3.133572926,21,51,4,4,2,23.24723247,3542,34.57236359,1.407798616,0.116797059,1.258577
ALAMIT_7_UNIT1,ngst,SCE,174.56,10.74888158,12.15879372,12.86374978,70,175,6,6,2,36.19631902,12219.2,49.52205271,9.636293636,0.985143917,12.63779
ALAMIT_7_UNIT2,ngst,SCE,175,10.74888158,12.15879372,12.86374978,70,175,6,6,2,36.3190184,12250,50.52708014,7.556526126,1.005193773,12.63779
ALAMIT_7_UNIT3,ngst,SCE,332.18,10.74888158,12.15879372,12.86374978,133,333,6,6,2,68.95705521,23252.6,41.14429528,10.00710145,0.818437154,12.63779
ALAMIT_7_UNIT4,ngst,SCE,335.67,10.74888158,12.15879372,12.86374978,135,336,6,6,2,69.69325153,23496.9,41.25596261,6.150999921,0.820647041,12.63779
ALAMIT_7_UNIT5,ngst,SCE,497.97,10.74888158,12.15879372,12.86374978,200,498,6,6,2,103.3128834,34857.9,38.45972333,9.579250043,0.764984983,12.63779
ALAMIT_7_UNIT6,ngst,SCE,495,10.74888158,12.15879372,12.86374978,198,495,6,6,2,102.6993865,34650,44.56961963,5.854833072,0.886452565,12.63779
ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,13.07720851,13.20725803,13.2722828,9,24,1,1,3.17,10.02739726,1666,37.81452,52.97915,1.337112,4.983456
ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,13.07720851,13.20725803,13.2722828,9,26,1,1,3.17,10.68493151,1778,37.81452,52.97915,1.337112,4.983456
ANAHM_2_CANYN1,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,20.82191781,3458,22.11720137,1.221395604,0.173113203,5.50648
ANAHM_2_CANYN2,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,20.82191781,3458,22.16196716,1.151762076,0.173456312,5.50648
ANAHM_2_CANYN3,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,20.82191781,3458,23.05175976,1.108116617,0.180381773,5.50648
ANAHM_2_CANYN4,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,20.82191781,3458,22.742547,1.325425923,0.177953364,5.50648
ANAHM_7_CT,ngct,SCE,42.81,7.058933726,7.188983251,7.254008013,15,43,1,1,3.17,18.08219178,2996.7,23.59971624,3.434124873,0.184665631,5.50648
ARCOGN_2_UNITS,ngcc,SCE,416.6,3.951724837,4.473616316,4.734562056,167,417,5,5,2,191.5129151,29162,14.12656165,63.0161155,1.27005,12.62517
BARRE_6_PEAKER,ngct,SCE,47,8.197102596,8.32715212,8.392176882,17,47,1,1,3.17,19.7260274,3290,19.62114862,1.447923155,0.153542697,5.50648
