SEQPLT18,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON
1,2018,AK,7-Mile Ridge Wind Project,60814,Alaska Power and Telephone Co,219,Alaska Power and Telephone Co,219,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,240,Southeast Fairbanks,63.210689,-143.247156
2,2018,AK,Agrium Kenai Nitrogen Operations,54452,Homer Electric Assn Inc,19558,Agrium US Inc,179,Industrial CHP,Alaska Miscellaneous,NA,ASCC,AKGD,ASCC Alaska Grid,,02,122,Kenai Peninsula,60.6732,-151.3784
3,2018,AK,Alakanuk,57053,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,270,Wade Hampton,62.6833,-164.6544
4,2018,AK,Allison Creek Hydro,58982,"Copper Valley Elec Assn, Inc",4329,"Copper Valley Elec Assn, Inc",4329,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,261,Valdez Cordova,61.084444,-146.353333
5,2018,AK,Ambler,60243,"Alaska Village Elec Coop, Inc",221,"Alaska Village Elec Coop, Inc",221,Electric Utility,Alaska Miscellaneous,NA,NA,AKMS,ASCC Miscellaneous,,02,188,Northwest Arctic,67.08798,-157.856719
6,2018,AK,Anchorage 1,75,Anchorage Municipal Light and Power,599,Anchorage Municipal Light and Power,599,Electric Utility,Anchorage Municipal Light & Power,AMPL,ASCC,AKGD,ASCC Alaska Grid,,02,020,Anchorage,61.2221,-149.8661
7,2018,AK,Angoon,7462,"Inside Passage Elec Coop, Inc",18963,"Inside Passage Elec Coop, Inc",18963,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,105,Hoonah-Angoon,57.499166,-134.58614
8,2018,AK,Aniak,7182,Aniak Light & Power Co Inc,4959,Aniak Light & Power Co Inc,4959,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,050,Bethel,61.580678,-159.535643
9,2018,AK,Annex Creek,62,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.3176,-134.101
10,2018,AK,Auke Bay,7250,Alaska Electric Light&Power Co,213,Alaska Electric Light&Power Co,213,Electric Utility,Alaska Miscellaneous,NA,ASCC,AKMS,ASCC Miscellaneous,,02,110,Juneau,58.3875,-134.6446
