Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME
83,AGRICO_6_PL3N5,ngct,PGE_valley,22.69,8.02,8.08,8.15,8,23,1,1,3.17,9.589041096,1588.3,FRESNO PEAKER PLANT,"Fresno Cogeneration Partners, LP",10156,36.617022,-120.099846,19.0,Fresno
50,AGRICO_7_UNIT,ngcc,PGE_valley,50.6,6.64,6.9,7.16,21,51,4,4,2.0,23.24723247,3542.0,FRESNO COGEN PLANT,"Fresno Cogeneration Partners, LP",10156,36.617022,-120.099846,19.0,Fresno
209,ALAMIT_7_UNIT1,ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2.0,36.19631902,12219.2,Alamitos 1,AES Alamitos,315,33.7688,-118.1009,37.0,Los Angeles
210,ALAMIT_7_UNIT2,ngst,SCE,175.0,11.19,11.89,12.6,70,175,6,6,2.0,36.3190184,12250.0,Alamitos 2,AES Alamitos,315,33.7688,-118.1009,37.0,Los Angeles
211,ALAMIT_7_UNIT3,ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2.0,68.95705521,23252.6,Alamitos 3,AES Alamitos,315,33.7688,-118.1009,37.0,Los Angeles
212,ALAMIT_7_UNIT4,ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2.0,69.69325153,23496.9,Alamitos 4,AES Alamitos,315,33.7688,-118.1009,37.0,Los Angeles
213,ALAMIT_7_UNIT5,ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2.0,103.3128834,34857.9,Alamitos 5,AES Alamitos,315,33.7688,-118.1009,37.0,Los Angeles
214,ALAMIT_7_UNIT6,ngst,SCE,495.0,11.19,11.89,12.6,198,495,6,6,2.0,102.6993865,34650.0,Alamitos 6,AES Alamitos,315,33.7688,-118.1009,37.0,Los Angeles
25,ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,11.48,11.55,11.61,9,24,1,1,3.17,10.02739726,1666.0,Alameda GT Unit 1,Alameda,7450,37.7886,-122.2889,1.0,Alameda
26,ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,11.48,11.55,11.61,9,26,1,1,3.17,10.68493151,1778.0,Alameda GT Unit 2,Alameda,7450,37.7886,-122.2889,1.0,Alameda
181,ANAHM_2_CANYN1,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 1,Canyon Power Plant,57027,33.858056,-117.861667,59.0,Orange
182,ANAHM_2_CANYN2,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 2,Canyon Power Plant,57027,33.858056,-117.861667,59.0,Orange
183,ANAHM_2_CANYN3,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 3,Canyon Power Plant,57027,33.858056,-117.861667,59.0,Orange
184,ANAHM_2_CANYN4,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 4,Canyon Power Plant,57027,33.858056,-117.861667,59.0,Orange
170,ANAHM_7_CT,ngct,SCE,42.81,11.9,11.97,12.03,15,43,1,1,3.17,18.08219178,2996.7,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine,7693,33.853542,-117.856286,59.0,Orange
120,ARCOGN_2_UNITS,ngcc,SCE,416.6,6.01,6.27,6.53,167,417,5,5,2.0,191.5129151,29162.0,WATSON COGENERATION COMPANY,Watson Cogeneration,50216,33.816647,-118.244841,37.0,Los Angeles
