name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
AGRICO_6_PL3N5,ngct,PGE_valley,22.69,2.024087173,2.154136697,2.219161459,8,23,1,1,3.17,34.91759551,1588.3,0,0.122529,0.0143775,1.258577
AGRICO_7_UNIT,ngcc,PGE_valley,50.6,2.350735707,2.872627186,3.133572926,21,51,4,4,2,63.01396511,3542,0,0.122529,0.0143775,1.258577
ALAMIT_7_UNIT1,ngst,SCE,174.56,10.74888158,12.15879372,12.86374978,70,175,6,6,2,295.3206348,12219.2,0,4.625036,0.67736,12.63779
ALAMIT_7_UNIT2,ngst,SCE,175,10.74888158,12.15879372,12.86374978,70,175,6,6,2,296.0650269,12250,0,4.625036,0.67736,12.63779
ALAMIT_7_UNIT3,ngst,SCE,332.18,10.74888158,12.15879372,12.86374978,133,333,6,6,2,561.982175,23252.6,0,4.625036,0.67736,12.63779
ALAMIT_7_UNIT4,ngst,SCE,335.67,10.74888158,12.15879372,12.86374978,135,336,6,6,2,567.8865575,23496.9,0,4.625036,0.67736,12.63779
ALAMIT_7_UNIT5,ngst,SCE,497.97,10.74888158,12.15879372,12.86374978,200,498,6,6,2,842.4657225,34857.9,0,4.625036,0.67736,12.63779
ALAMIT_7_UNIT6,ngst,SCE,495,10.74888158,12.15879372,12.86374978,198,495,6,6,2,837.441076,34650,0,4.625036,0.67736,12.63779
ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,13.07720851,13.20725803,13.2722828,9,24,1,1,3.17,36.62577228,1666,0,52.97915,1.337112,4.983456
ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,13.07720851,13.20725803,13.2722828,9,26,1,1,3.17,39.08800908,1778,0,52.97915,1.337112,4.983456
ANAHM_2_CANYN1,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,76.02156096,3458,0,1.21693,0.199869,5.50648
ANAHM_2_CANYN2,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,76.02156096,3458,0,1.21693,0.199869,5.50648
ANAHM_2_CANYN3,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,76.02156096,3458,0,1.21693,0.199869,5.50648
ANAHM_2_CANYN4,ngct,SCE,49.4,8.725672398,8.855721923,8.920746685,18,50,1,1,3.17,76.02156096,3458,0,1.21693,0.199869,5.50648
ANAHM_7_CT,ngct,SCE,42.81,7.058933726,7.188983251,7.254008013,15,43,1,1,3.17,65.88022317,2996.7,0,2.38095,0.199869,5.50648
ARCOGN_2_UNITS,ngcc,SCE,416.6,3.951724837,4.473616316,4.734562056,167,417,5,5,2,518.8066772,29162,0,63.0161155,1.27005,12.62517
BARRE_6_PEAKER,ngct,SCE,47,8.197102596,8.32715212,8.392176882,17,47,1,1,3.17,72.32820577,3290,0,1.64021,0.199869,5.50648
BASICE_2_UNITS,ngcc,PGE_valley,135,5.493519687,6.015411167,6.276356906,54,135,5,5,2,168.1202627,9450,0,1.872729,0.122014,4.547334
BDGRCK_1_UNITS,ngct,PGE_valley,47.49,4.831307278,4.961356802,5.026381564,17,48,1,1,3.17,73.08226579,3324.3,0,66.220765,0.024496,1.413492
BEARMT_1_UNIT,ngct,PGE_valley,47.49,4.785540901,4.915590425,4.980615187,17,48,1,1,3.17,73.08226579,3324.3,0,65.77831,0.024496,1.413492
BOGUE_1_UNITA1,ngct,PGE_valley,46.3,10.34803845,10.47808797,10.54311274,17,47,1,1,3.17,71.25097717,3241,0,3.5978591,0.0784665,1.172481
BORDER_6_UNITA1,ngct,SDGE,51.25,9.020221119,9.150270643,9.215295405,6,52,1,1,3.17,78.86852225,3587.5,0,1.693956,0.2969155,4.557959
BRDWAY_7_UNIT3,ngst,SCE,65,9.244798906,10.65471104,11.35966711,26,65,6,6,2,109.96701,4550,0,13.34145,0,12.63779
BUCKBL_2_PL1X3,ngcc,SCE,493.63,5.8417542,6.36364568,6.62459142,198,494,1,1,2,614.7348537,34554.1,0,0.535572,0.139916,2.940709
CALPIN_1_AGNEW,ngcc,PGE_valley,28,7.936631618,8.458523097,8.719468837,12,28,5,5,2,34.86938781,1960,0,33.6301515,0.9456085,4.542792
CENTER_6_PEAKER,ngct,SCE,47,10.17944982,10.30949935,10.37452411,17,47,1,1,3.17,72.32820577,3290,0,4.8473935,0.59269,12.63779
CENTRY_6_PL1X4,ngct,SCE,41.4,13.83214398,13.9621935,14.02721826,15,42,1,1,3.17,63.710377,2898,0,30.340449,0.3872175,1.338059
CHALK_1_UNIT,ngct,PGE_valley,47.49,5.221407311,5.351456835,5.416481597,17,48,1,1,3.17,73.08226579,3324.3,0,12.558915,0.140852,1.413492
CHEVCD_6_UNIT,ngct,PGE_valley,11.5,3.225819453,3.355868978,3.42089374,5,12,1,1,3.17,17.69732694,805,0,9.1837775,0.104108,1.413492
CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,3.511100972,4.032992452,4.293938192,5,13,6,6,2,15.56669099,875,0,8.8833525,0.23004,1.25732
CHEVCO_6_UNIT1,ngct,PGE_valley,19,3.184452438,3.314501962,3.379526724,7,19,1,1,3.17,29.23906191,1330,0,8.8833525,0.23004,1.25732
CHINO_6_CIMGEN,ngct,SCE,31.6,4.81423351,4.944283035,5.009307797,12,32,1,1,3.17,48.62917665,2212,0,12.948463,0.167035,1.338059
