name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
UNCHEM_1_UNIT,ngcc,PGE_bay,19,15.58,15.98,16.38,8,19,6,6,2,2.62,1330,0,0,0,0
GOLETA_6_GAVOTA,ngct,SCE,9.9,5.72,5.78,5.85,4,10,1,1,3.17,4.109589041,693,0,0,0,0
MIDSET_1_UNIT1,ngct,PGE_valley,52.9,7.15,7.22,7.28,19,53,1,1,3.17,22.19178082,3703,0,0,0,0
SARGNT_2_UNIT,ngct,PGE_valley,57.1,8.02,8.08,8.15,20,58,1,1,3.17,24.10958904,3997,0,0,0,0
MIRLOM_6_DELGEN,ngct,SCE,50.05,8.09,8.15,8.22,18,51,1,1,3.17,21.09589041,3503.5,0,0,0,0
GOLETA_6_EXGEN,ngct,SCE,48.2,9.59,9.65,9.72,17,49,1,1,3.17,20.2739726,3374,0,0,0,0
BRDWAY_7_UNIT3,ngst,SCE,65,11.19,11.89,12.6,26,65,6,6,2,13.49693252,4550,0,0,0,0
PITTSP_7_UNIT_5,ngst,PGE_bay,312,12.15,12.85,13.56,125,312,6,6,2,64.52322738,21840,0,0,0,0
PITTSP_7_UNIT_6,ngst,PGE_bay,317,12.15,12.85,13.56,127,317,6,6,2,65.56234719,22190,0,0,0,0
PITTSP_7_UNIT_7,ngst,PGE_bay,530,12.15,12.85,13.56,212,530,6,6,2,109.608802,37100,0,0,0,0
ELCAJN_7_GT1,ngct,SDGE,16.36,17.15,17.22,17.28,9,17,1,1,3.17,6.849315068,1145.2,0,0,0,0
ELKHIL_2_PL1X3,ngcc,PGE_valley,551.7,8.77,9.03,9.3,221,552,2,2,2,253.5055351,38619,0,0,0,0
SUNRIS_2_PL1X3,ngcc,PGE_valley,586.02,9.84,10.1,10.36,235,587,4,4,2,269.3726937,41021.4,0,0,0,0
LEBECS_2_UNITS,ngcc,SCE,799.47,9.62,9.88,10.14,320,800,3,3,2,367.5276753,55962.9,0,0,0,0
MKTRCK_1_UNIT1,ngct,PGE_valley,47.49,7.34,7.41,7.47,17,48,1,1,3.17,20,3324.3,0,0,0,0
LAPLMA_2_UNIT1,ngcc,PGE_valley,259.8,6,6.26,6.52,104,260,3,3,2,119.5571956,18186,0,0,0,0
LAPLMA_2_UNIT2,ngcc,PGE_valley,260.2,6,6.26,6.52,105,261,3,3,2,119.5571956,18214,0,0,0,0
LAPLMA_2_UNIT3,ngcc,PGE_valley,256.15,6,6.26,6.52,103,257,3,3,2,117.7121771,17930.5,0,0,0,0
LAPLMA_2_UNIT4,ngcc,PGE_valley,259.54,6,6.26,6.52,104,260,2,2,2,119.1881919,18167.8,0,0,0,0
VESTAL_2_WELLHD,ngct,SCE,49,7.63,7.7,7.76,18,49,1,1,3.17,20.54794521,3430,0,0,0,0
BEARMT_1_UNIT,ngct,PGE_valley,47.49,7.1,7.17,7.23,17,48,1,1,3.17,20,3324.3,0,0,0,0
MRCHNT_2_PL1X3,ngcc,SCE,494.58,5.84,6.1,6.36,198,495,1,1,2,227.3062731,34620.6,0,0,0,0
BDGRCK_1_UNITS,ngct,PGE_valley,47.49,7.52,7.58,7.65,17,48,1,1,3.17,20,3324.3,0,0,0,0
MIRLOM_6_PEAKER,ngct,SCE,46,7.6,7.66,7.73,17,46,1,1,3.17,19.45205479,3220,0,0,0,0
SBERDO_2_PSP3,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,0,0,0,0
SBERDO_2_PSP4,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,0,0,0,0
COLTON_6_AGUAM1,ngct,SCE,43,11.9,11.97,12.03,16,43,1,1,3.17,18.08219178,3010,0,0,0,0
HIDSRT_2_UNITS,ngcc,SCE,830,7.29,7.56,7.82,332,830,4,4,2,381.5498155,58100,0,0,0,0
ETIWND_6_GRPLND,ngct,SCE,46,11.9,11.97,12.03,17,46,1,1,3.17,19.45205479,3220,0,0,0,0
MOSSLD_7_UNIT6,ngst,PGE_valley,754,9.81,10.51,11.22,302,754,6,6,2,156.5644172,52780,0,0,0,0
MOSSLD_7_UNIT7,ngst,PGE_valley,755,9.81,10.51,11.22,302,755,6,6,2,156.6871166,52850,0,0,0,0
MOSSLD_2_PSP1,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700,0,0,0,0
COLUSA_2_PL1X3,ngct,PGE_valley,641,5.31,5.37,5.44,225,641,1,1,3.17,270.1369863,44870,0,0,0,0
