,PNW
0,141725.81230643365
1,150972.15370256794
2,168489.87058518725
3,183080.94478879575
4,219402.73398180006
5,227945.56844701778
6,239460.3728419318
7,265389.6546656041
8,248045.3167667806
9,241272.20349076486
10,218203.980631672
11,196649.4852159806
12,184734.12708623856
13,181285.81026552446
14,175242.68368867735
15,164029.391907408
16,192027.18398203453
17,201770.7367991233
18,213171.34627222907
19,207100.12882835531
20,203942.3238470577
21,207900.41533547116
22,223351.44162651722
23,226654.19949356475
24,254830.0618597494
25,274366.0060850739
26,272632.063088289
27,274175.201664357
28,267769.09961568384
29,264072.5209650693
30,250621.95991050682
31,246839.71919418103
32,222827.1044755084
33,211576.19096823115
34,221720.36072688436
35,196980.068192688
36,188965.357559114
37,191915.3690657981
38,187243.22278480552
39,176109.83824308836
40,186868.22109938264
41,200186.27617392453
42,201483.82906533708
43,214893.04856844211
44,232815.76206039608
45,236039.74163905706
46,224985.1833218154
47,221550.10431921884
48,226968.97782282793
49,214219.91211135435
50,214361.8967970319
51,213681.4151755576
52,216731.05698513353
53,212474.4585324209
54,208972.7821435233
55,204765.25521386217
56,213374.85425306723
57,214161.05793591717
58,201221.25741819027
59,210733.79490449757
60,164312.17129848196
61,166792.7858170998
62,160416.85392852328
63,163999.3610911854
64,146792.76999394115
65,144714.23831375875
66,147346.04191871936
67,150850.57758457077
68,157561.41250509946
69,175578.70011973561
70,184738.0189767072
71,203710.77287946676
72,218915.13813834236
73,231384.94785390724
74,235245.68102314253
75,235351.6872392253
76,235156.5497798667
77,229169.20592232086
78,230237.20142103522
79,250890.09668519063
80,288518.05872746796
81,293313.9184167881
82,276120.4868496408
83,204426.74640716214
84,218947.20797197247
85,195567.13270408387
86,215681.65172759007
87,221478.39782764367
88,223558.42495434263
89,211434.8441145583
90,220757.8439232633
91,191161.7843352449
92,184226.47030220026
93,191628.99234491494
94,197134.36047889935
95,208149.20002563187
96,200984.24683062325
97,216983.1003634993
98,234354.11354480873
99,236296.6797958369
100,229055.15138960083
101,213363.8465357156
102,209774.20873552057
103,212026.6624723052
104,207275.26724523667
105,189708.59935310416
106,221811.22242874122
107,279249.3099777978
108,308384.40064086195
109,311702.11825144
110,311143.44376043155
111,302844.28614969715
112,308171.0438445161
113,303076.2048225279
114,293566.0851152239
115,308457.6873851544
116,257731.4757973528
117,252987.7920590309
118,231670.27298555285
119,221502.2686164713
120,76080.9871137414
121,83884.16590591296
122,86333.74586037811
123,86960.05707166062
124,80680.65183300251
125,76291.57007975555
126,72800.06936415742
127,72198.79577736328
128,73828.01503225602
129,80269.57743220197
130,82049.91633057171
131,90560.4961580543
132,99582.83483762822
133,121854.450079804
134,144791.26756227584
135,144165.00405228283
136,134074.88549552095
137,124555.7861556045
138,121963.45659356004
139,136014.85420744837
140,147073.83190320514
141,139379.51276852016
142,139887.13805830272
143,147566.8243190381
144,262569.4607338193
145,304026.93346292234
146,282088.22665426973
147,272709.2283481455
148,269771.08607409
149,324102.99889258365
150,339336.42470961553
151,416047.0601904791
152,424272.4942328939
153,419195.8085368024
154,399225.64707029425
155,383429.9331700606
156,386403.44048833556
157,379298.15198483726
158,387383.04329866124
159,407867.43152864283
160,420110.8234209034
161,393565.7149150205
162,405082.8290361305
163,396915.8744016916
164,406767.15529263683
165,412487.6787703444
166,431138.7785012517
167,437552.24101724965
168,441364.2841218406
169,440019.41609003814
170,453348.89884241944
171,440086.36416196753
172,449410.38410336594
173,453318.5102669804
174,459713.73673533305
175,456279.65813872113
176,460580.4201138635
177,461813.1675926893
178,468129.15581655566
179,467264.13749522244
180,469157.52348550095
181,464483.0997101326
182,450506.9931559445
183,417081.9520413854
184,390330.6338548345
185,375395.42217660823
186,364765.10796886485
187,355351.25620855263
188,340829.3788917672
189,312968.444366107
190,292363.63419715187
191,280960.4058086891
192,282520.3795243293
193,274722.9443144991
194,262605.6781917224
195,259359.45996154135
196,239070.22738925062
197,231931.74038833607
198,229000.97992526798
199,225813.51019485106
200,206754.9824555879
201,180377.80234151223
202,183713.70287257546
203,165951.5546339729
204,160365.73446255818
205,158651.5710265814
206,161230.9255278232
207,176842.9535235257
208,184165.0986977684
209,175571.93677361368
210,167635.39714156484
211,200279.06321770774
212,165688.8586011993
213,137713.96821855885
214,145246.12630929644
215,141348.3748666685
216,142652.85868965005
217,143049.7330096697
218,143599.71988812202
219,117494.43189889894
220,122262.5120085036
221,119325.99632576494
222,192739.80556142426
223,172376.48130213813
224,168854.1507045079
225,171424.058698592
226,152071.95370678644
227,158635.17109879787
228,156531.59303379286
229,135818.53103116143
230,153780.96742108965
231,161201.30783637546
232,140305.59330948157
233,127404.01297145749
234,131151.34475085943
235,145069.1714208177
236,130398.60404364527
237,126877.30550642217
238,141264.50613993543
239,187418.14744685465
240,161226.977537611
241,138134.18109325133
242,189199.22349396817
243,111317.19443254833
244,111826.92961637922
245,104208.4495261082
246,106629.72443110088
247,97771.67875103265
248,104202.09166941626
249,120851.66299216822
250,112263.34480254039
251,107933.9350820021
252,127515.28665555557
253,113002.25461604747
254,101959.12451306505
255,110874.73545326875
256,104872.05830063082
257,94478.53895726397
258,92295.52342762362
259,89995.78109162701
260,110197.0920031984
261,99706.73785849575
262,104777.805840831
263,116557.36965573457
264,142634.4150231175
265,143083.54646566763
266,140243.6640951626
267,127954.2493762123
268,118175.06185851138
269,118579.6154812478
270,112004.9890401254
271,118858.68258912963
272,118702.98797800981
273,131213.69205794885
274,132151.9813265957
275,131223.04483803216
276,125604.46019019214
277,131188.70175074684
278,130622.99797627621
279,127661.79677941755
280,128188.82441964609
281,130637.65962387223
282,138145.72938967258
283,135902.99765173392
284,134946.1667574725
285,134571.6164939789
286,135511.90660607265
287,136428.18288155843
288,140278.33862558592
289,140268.3259029003
290,135369.62274024182
291,126471.1927520611
292,122911.75843782656
293,122702.92541170071
294,122568.42065335065
295,119432.27283400105
296,123477.66653283342
297,120408.329483276
298,127215.31143008337
299,140195.6217839562
300,131476.2308664914
301,132932.2996534243
302,137725.07678052338
303,130000.66917078449
304,120763.65494743483
305,103250.47680655333
306,128812.96272961961
307,139550.16030444362
308,146858.44014161057
309,144602.01486826738
310,145431.91217440015
311,142666.25195179274
312,144097.9718232723
313,136458.05076953833
314,132474.94903242815
315,127802.80854323474
316,136448.44183828824
317,145260.82360012157
318,141533.25116888253
319,126825.25801432136
320,116212.02575546017
321,110800.82985836273
322,107236.97601994564
323,114487.80267780938
324,112943.85850333536
325,108387.66750479
326,104888.7112978507
327,105542.43740838126
328,97222.79988052612
329,88869.93726512832
330,86240.78151011799
331,93321.07552935464
332,119600.34592259143
333,115902.56896241219
334,104780.23971683561
335,132491.3849691768
336,119185.80560096796
337,109495.8188700205
338,92429.99926330589
339,102581.10842760553
340,98225.47508141515
341,108056.91705536228
342,119685.92406736003
343,127553.00593776809
344,132371.0555516875
345,132007.7622769046
346,124059.35464120211
347,120303.37754888876
348,123529.47662825172
349,123891.45654488748
350,117727.51210842421
351,125187.706276577
352,112983.7748379155
353,125965.43998934477
354,130220.06396096598
355,121248.9214302357
356,121348.9722366583
357,126891.0694956962
358,115930.51158444301
359,115333.4745481493
360,115793.18736236088
361,115632.88000469169
362,118889.86587125389
363,120812.08064836758
364,117752.6955660865
