name,typ,zone,netcap,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),NOX_lbs_MD ($/lb),SO2_lbs_MD ($/lb),PM_MD_KWH ($/MWh)
AGRICO_6_PL3N5,ngct,PGE_valley,22.69,"Fresno Cogeneration Partners, LP",10156,36.617022,-120.099846,19,Fresno,271.491,0.022,0.001,5.834617856,0.122529,0.0143775,1.258577,5.5695,14.3775,1.258577
AGRICO_7_UNIT,ngcc,PGE_valley,50.6,"Fresno Cogeneration Partners, LP",10156,36.617022,-120.099846,19,Fresno,271.491,0.022,0.001,5.834617856,0.122529,0.0143775,1.258577,5.5695,14.3775,1.258577
ALAMIT_7_UNIT1,ngst,SCE,174.56,AES Alamitos,315,33.7688,-118.1009,37,Los Angeles,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,44.4715,84.67,12.63779
ALAMIT_7_UNIT2,ngst,SCE,175,AES Alamitos,315,33.7688,-118.1009,37,Los Angeles,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,44.4715,84.67,12.63779
ALAMIT_7_UNIT3,ngst,SCE,332.18,AES Alamitos,315,33.7688,-118.1009,37,Los Angeles,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,44.4715,84.67,12.63779
ALAMIT_7_UNIT4,ngst,SCE,335.67,AES Alamitos,315,33.7688,-118.1009,37,Los Angeles,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,44.4715,84.67,12.63779
ALAMIT_7_UNIT5,ngst,SCE,497.97,AES Alamitos,315,33.7688,-118.1009,37,Los Angeles,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,44.4715,84.67,12.63779
ALAMIT_7_UNIT6,ngst,SCE,495,AES Alamitos,315,33.7688,-118.1009,37,Los Angeles,1576.74,0.104,0.008,33.88574707,4.625036,0.67736,12.63779,44.4715,84.67,12.63779
ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,Alameda,7450,37.7886,-122.2889,1,Alameda,1759.55,4.627,0.048,37.81452,52.97915,1.337112,4.983456,11.45,27.8565,4.983456
ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,Alameda,7450,37.7886,-122.2889,1,Alameda,1759.55,4.627,0.048,37.81452,52.97915,1.337112,4.983456,11.45,27.8565,4.983456
