,0
0,5714142.941905779
1,5006250.254009331
2,4987852.391543141
3,5848407.324158337
4,5529202.413688535
5,4899771.541562981
6,4892657.353780679
7,6753939.277543779
8,6491914.325844966
9,5725562.971701301
10,3841856.2865447965
11,3868191.8766729245
12,4454514.983148687
13,5565724.884695267
14,4816219.295206239
15,3657324.5400510454
16,5855878.366952234
17,5250182.1439898675
18,4545866.646260631
19,4977962.338849445
20,4560103.01068825
21,5172072.732222072
22,5601176.533979301
23,5687820.742632842
24,3890820.062040597
25,4377169.273888645
26,3993275.669595628
27,3515203.6521734297
28,3862471.934028363
29,5081264.391177492
30,5137013.42929195
31,3906204.6521164333
32,3796955.2709953333
33,3476817.96601714
34,3484044.223455834
35,4324788.520980628
36,4121380.5647406736
37,3629336.8384608347
38,3101506.483012786
39,3434057.5288362633
40,2569679.2170607173
41,3296044.9158312427
42,2921757.0468212552
43,3062639.779110139
44,3281275.9782258254
45,3529782.5786662637
46,3063794.2360311276
47,3083213.7967843036
48,1217565.0403821443
49,2041612.9396798594
50,2528094.1651375485
51,3597204.941872191
52,3396283.601416276
53,3358112.10363692
54,4432117.255583489
55,3588035.743427666
56,5137027.365813467
57,5135898.893702776
58,5263728.402220406
59,5413635.295165868
60,4666123.227173863
61,3423049.955914198
62,4261530.301027459
63,4368689.761479933
64,4271466.941098473
65,2838075.12981383
66,3220278.132390558
67,3441097.017488436
68,3235254.441093683
69,3031764.6699389215
70,2756167.4902630257
71,3365873.8573917486
72,3402035.5320062707
73,4123757.084873624
74,3155419.7433781624
75,1895785.4871254107
76,2042235.7567201916
77,2656491.7247805977
78,2703209.4922597283
79,2376467.258815182
80,1807785.0269350584
81,2538621.252312677
82,2384286.9985467796
83,3239998.0608478105
84,4035020.5785079952
85,3983605.9839247535
86,3870560.5892877756
87,4761959.462257541
88,4465348.443159929
89,3274727.483208578
90,2513815.877592077
91,3582260.280582746
92,2009632.236994076
93,3490273.0849873787
94,4683042.419341082
95,3989200.075122157
96,2847964.1415757975
97,4073273.763560379
98,2326547.133279087
99,2923305.0709686857
100,3891801.384015582
101,3873281.416143116
102,4615948.721363349
103,2166732.946420788
104,2609409.7597783706
105,3327156.200155869
106,3974921.2292677895
107,4198735.348099901
108,4149721.6829468855
109,3672042.349227408
110,3090400.8902177443
111,2416983.76805679
112,4743783.682364589
113,3463861.652154795
114,3765765.08994839
115,4317109.026727827
116,3534396.360393771
117,2321935.9055162566
118,2879129.7092077285
119,3386760.470715743
120,4487093.419578284
121,3896778.2202521227
122,3263866.1627815026
123,3551464.152059698
124,2618032.0104849623
125,4422481.25235117
126,6666278.631108843
127,5570848.869430844
128,5710048.212917249
129,6573458.2675504815
130,5190388.751971289
131,3676468.167429395
132,3743942.999192745
133,3791451.7763848966
134,3160679.5245598624
135,4239085.151084697
136,3768417.3629805064
137,5497177.337862485
138,4243519.816331711
139,4440497.997240115
140,5187412.840015371
141,5078617.589954898
142,5916622.862981549
143,7581025.902973898
144,6744908.56053312
145,5479092.181438884
146,3877509.6442418615
147,4976533.5463929875
148,3327512.59883553
149,3354869.278853023
150,4241643.402985577
151,2582070.3751313398
152,2080603.732976096
153,2488891.1772530065
154,4157023.8307947693
155,3368842.5744501348
156,2604883.3182478594
157,2640156.431816697
158,2314543.2756535886
159,514658.53830814356
160,761349.1089638078
161,2115158.7596998736
162,1112075.7087278804
163,1922947.6948663886
164,2921552.344154488
165,2844691.5817728927
166,1665384.4058073766
167,2201261.5809974996
168,5587684.594302022
169,6256217.385105355
170,6433382.114757075
171,5099894.083150124
172,5740582.997025381
173,5043740.872531704
174,3683461.50155787
175,3848371.8635019073
176,2608299.6133482764
177,2116634.176175336
178,2446328.93538441
179,3357855.519032705
180,1632297.702500182
181,2880784.085420664
182,4254232.377436983
183,5384995.59886127
184,5819443.716840251
185,6671316.715195242
186,5643389.058514586
187,4540493.5547623
188,2775190.9256978263
189,4588701.672868842
190,4498617.516582993
191,3661083.6695575216
192,3637246.2360359365
193,4752131.002621527
194,4506167.99342416
195,4675388.8068570085
196,4964412.308387085
197,4669282.499429416
198,5791163.423230692
199,5250719.541031985
200,5478302.320637762
201,4482975.212446175
202,3865862.525750451
203,7408571.460189744
204,8646183.590937477
205,7764683.768309946
206,6684220.197540286
207,7413668.140841362
208,5485147.639160967
209,6358995.349913083
210,7209457.929074689
211,5687514.120898906
212,6095604.309358968
213,5661058.4203225225
214,5212330.87515888
215,5963212.8242037315
216,6759748.651304992
217,10991131.902288334
218,11321770.971639084
219,9567930.124755109
220,7922158.434593537
221,9145060.157585327
222,5756776.932041214
223,5425360.73919357
224,7773441.007913633
225,6636927.02968336
226,3655761.4688276486
227,4594399.367626541
228,4640009.025971028
229,3455731.931492288
230,5011526.744503957
231,5962457.899803085
232,6446355.368547935
233,5641244.062078796
234,5448424.447296283
235,4796300.628260658
236,4734974.629630493
237,3567336.1606388986
238,5778944.845082717
239,6540346.962213452
240,6367780.46032643
241,5479185.293541128
242,5403786.901443752
243,5209567.576599855
244,6365222.361723046
245,8456808.354899567
246,7505536.4306115145
247,5504898.096751264
248,3557797.199069816
249,5831159.731053641
250,4776624.034816805
251,5294886.065585764
252,5719986.988901558
253,5580307.511239549
254,6545611.097404264
255,5612130.453336593
256,4852806.626503703
257,4947766.55173041
258,3332944.7313330662
259,6070205.798602427
260,5854713.259967207
261,4130150.4450267777
262,5024798.145973074
263,4655835.959562438
264,3920053.502348927
265,2999840.0849230415
266,3145285.6487723524
267,4008877.6785389176
268,5207088.1852825275
269,7407242.428437083
270,8147943.413554853
271,5476916.134115917
272,4925874.663544925
273,6726150.052249886
274,6030262.701449023
275,5376542.563757819
276,5126987.632377589
277,5889009.085116751
278,3291716.859880882
279,4570276.899332883
280,5230265.00759867
281,5610404.702590442
282,6562597.59739878
283,4812380.259726658
284,4107158.4709871514
285,2216437.9445835566
286,3062653.1423324244
287,4533506.076021059
288,4781109.16232075
289,4867771.777288342
290,4845872.700973961
291,4002209.724392054
292,3927753.4866865003
293,3541281.8321189405
294,5395920.077564723
295,6057337.61491297
296,6133465.656676982
297,6442587.365284631
298,5376917.344200895
299,2612231.6760889105
300,3837342.542925636
301,4381702.3468516795
302,4517388.722239102
303,4400500.515510936
304,5211063.098660606
305,4963639.293216382
306,4438201.704198917
307,4450648.289916392
308,5723451.625487343
309,5325993.981338562
310,6014551.260341326
311,5177195.264264482
312,5654755.404524145
313,2928412.8014367884
314,2989991.2917303964
315,4312480.652190175
316,4381261.32650653
317,3350098.8630081164
318,5106086.035745455
319,3958938.9690836486
320,2983390.5133359483
321,2971112.1596508217
322,3558224.172813006
323,3969430.145660554
324,5370543.945142817
325,3976018.0244511073
326,3596553.9266203516
327,3780815.48854969
328,2899611.9565348006
329,5797009.619995698
330,5724638.00664365
331,5138603.6194417905
332,4572607.857909051
333,3649742.9407000225
334,3765943.502394956
335,3924655.300630558
336,4502701.938423407
337,4490029.851521747
338,4898982.245875193
339,5460900.568898127
340,5320247.103601101
341,4017458.094834183
342,3506413.930211595
343,4188994.9315195642
344,4547938.96627845
345,5916918.757795717
346,4193325.3105959445
347,6419117.23403876
348,3456914.5395568777
349,3031588.0006929585
350,5295796.669011866
351,6289325.0930618495
352,6118349.992707185
353,7435347.914750706
354,5911490.338140848
355,4771981.047078404
356,5038533.677023456
357,5247542.163424909
358,5333225.664726299
359,5290947.753837594
360,4616243.415451692
361,3815055.9452305976
362,3145806.9773649187
363,4173460.9911490986
