,0
0,13781069992.598646
1,10691290.22869633
2,10376275.41812649
3,12450911.859286984
4,16735817336.300436
5,10056753.556332506
6,10038314.36757327
7,30272644288.65601
8,16980697960.23331
9,16475253607.84231
10,8619165.288721584
11,10816150473.890556
12,9689603.470772294
13,11977627.008303525
14,10053210.663376901
15,7770410.515730587
16,11942371762.03327
17,10965865.3625221
18,9422747.625432853
19,10273634.385064643
20,9505211.818127677
21,10803851.082065256
22,11610545.353185963
23,12876674991.224684
24,8574698.043297026
25,9581593.335678255
26,8396648.431198461
27,7478336.169631943
28,8427459.025698578
29,10814549.12197531
30,10936904.093909599
31,8925094.536433235
32,8580297.62759192
33,7924778.083603169
34,8034789.722500997
35,9805876.611063298
36,8983993.965159504
37,8064218.391956124
38,7361897.883448387
39,7872711.330639275
40,6232547.725376862
41,6964905.450676685
42,6971382.833114999
43,7325437.776810596
44,7780289.41173553
45,7985377.806220416
46,6818422.734236738
47,6801649.403016026
48,4064644.6884031566
49,5650512.561677953
50,6284021.447706726
51,10381018360.386822
52,7883851.162714295
53,10440719218.32084
54,38053653846.395355
55,7950069.92562491
56,21019465230.57587
57,10913815539.958408
58,23855938123.967556
59,11186059.762046158
60,10388780.644575972
61,7812308.108902834
62,9629002.508847734
63,9790022.72710858
64,9543965.934487363
65,6490297.85237722
66,7502356.8092068145
67,7617397.894495172
68,7449559.1591481315
69,7334526.607054792
70,6925407.664203651
71,7555955.139005127
72,7877782.950060707
73,9202884.039012043
74,7309703.178101541
75,5057987.558423294
76,5842462.170421761
77,6998656.295968393
78,6421940.624047218
79,6134449.53762664
80,5001481.472183219
81,6532988.967112411
82,6052120.591698264
83,7402288.869975148
84,9104569.915100548
85,8914732.227250926
86,8661400.152207674
87,10510847.544254385
88,9780395.46752536
89,7525475.690916295
90,6080014.5089440895
91,17764149087.1025
92,5229326.997490562
93,12205271904.182693
94,10659615260.203445
95,8884664.089821767
96,6418379.631239838
97,8549495.85626633
98,5811973.919679886
99,6990424.233965168
100,8169391.4152273815
101,8073361.420271845
102,9314210.704543516
103,5261336.731608021
104,5481055.183851273
105,7660667.981204299
106,14539147610.653894
107,9289743.228563517
108,8963369.268061038
109,8147893.827679992
110,6866252.991501208
111,6063323.11203213
112,10729747.346576432
113,8340068.512352933
114,19079765861.83569
115,9683304.701406972
116,7869324.538368357
117,5253550.659484978
118,6554409.188426211
119,22347200776.35534
120,15329947971.527637
121,8300655.128431485
122,7073767.231035495
123,7600572.837779323
124,6679057.733225047
125,10231178.895064432
126,16722092963.494078
127,11415186.566019299
128,11639002.30358198
129,13284190.286609653
130,10545448.264440792
131,7935704.142057624
132,8124699.576488021
133,8186991.905451339
134,6828145.650151887
135,8510081.17038799
136,7527811.557865687
137,11597693.371646928
138,8675856.326501612
139,9730031.344079942
140,11322596.946470493
141,11286546.45953903
142,11755627783.74019
143,11854546745.644644
144,13648787.422194697
145,11681841.126979163
146,8387634.827980087
147,10575750.279143631
148,7439050.107846461
149,7503238.134683786
150,9479239.031721164
151,6114892.904444529
152,5491546.866007657
153,6373850.764815518
154,9625026.569942677
155,7755214.968042421
156,6337372.123738675
157,6612119.473943747
158,5796464.813295129
159,2892133.5613408047
160,3524832.4041887894
161,5655435.404091759
162,4415686.185447972
163,5514285.400013418
164,7274605.6244325675
165,6937400.107691623
166,5316075.798369096
167,6050810.078345137
168,12750261.951039203
169,12560927077.755747
170,12040172242.7158
171,11334546.71726204
172,12397014.96828893
173,11144370.373161474
174,8602480.438620556
175,8582339.63748746
176,6594173.474624961
177,5247606.2926159995
178,6691061.619996425
179,14212375697.806349
180,5094668.642804228
181,7270639.177440605
182,15603890581.775673
183,11834178.410503967
184,12412498.437800415
185,23879249626.50524
186,16986997940.062044
187,10284484.31971274
188,6883434.914408888
189,10192854.808753466
190,10581086294.146812
191,7684627.883984585
192,8028138.50363595
193,10531442.345440323
194,9946242.566484118
195,10306412.645412764
196,10787645.158428114
197,10445601.748167796
198,11946155.50073802
199,25098428857.058712
200,27262011260.705887
201,20227278343.218594
202,8987749.383260792
203,37240507381.96096
204,49074518505.58975
205,39959855568.84306
206,17554659298.484257
207,30947500809.354134
208,11325399.21608424
209,13968950584.916187
210,32480422024.008583
211,13126650416.805439
212,10661303257.883093
213,11377580.018810645
214,10456352.374264287
215,12421254.260637859
216,14290748.821503766
217,298987999281.2967
218,364599377601.5568
219,73547964595.9573
220,34829293580.41628
221,101205263852.35463
222,11655507.13105605
223,11199974.539481724
224,16999258106.427828
225,14052815.651226776
226,8358162.950999811
227,10254502.094290072
228,10002024.198542908
229,7641086.485350128
230,10590232.784264691
231,12474294.514902342
232,13080558.516293503
233,11305978.526163518
234,11307805.48745942
235,10311752.062037263
236,10157272.454625512
237,7918829.15026081
238,12100041.723055348
239,26093515220.373173
240,13282145.279727574
241,11286585.620152347
242,10968305.443502387
243,10629232.092886722
244,13319038.70086497
245,15205662624.66601
246,15526089.938507909
247,11047220.041390058
248,7405852.533394016
249,12050055.277073387
250,9687457.671189457
251,10606938.315665051
252,11509582.662263207
253,11085103.865657894
254,13159532.744202942
255,11223842.563440211
256,9695078.173745537
257,9888609.186750658
258,6921870.253469282
259,12523373.728162026
260,12289561.262932304
261,8610893.38695706
262,10048523.838875107
263,9191859.829219768
264,8191716.135015965
265,6398167.465561175
266,7161559.774566524
267,8193193.260556581
268,10640128.553547699
269,15809683.01164785
270,14267000597.440065
271,11326725.025160104
272,10226593.195919307
273,11723633869.588234
274,11269613937.449533
275,10970428.502663475
276,10730507.063461332
277,12221106.927657062
278,7381261.071216552
279,9734399.282427456
280,11164997.954129372
281,11712435.72441185
282,26701302945.385334
283,9962694.482278548
284,8496480.033370422
285,5620509.6112473365
286,7068094.1572544705
287,10007189.832425265
288,10559094.220511166
289,10125106.968199784
290,10278815.748206895
291,8965924.305020645
292,8772357.242437262
293,7979873.082835878
294,11499968.02110837
295,12265786.385609768
296,12794237.518746652
297,13220268.493857212
298,11036776.083938409
299,6067465.9860828165
300,8554700.759663599
301,9514033.791554607
302,9881884.751156209
303,9467196.920013802
304,10838816.013025299
305,10631278.203592543
306,9704260.795024758
307,9906066.177649502
308,11813475.014807276
309,10996221.12471262
310,12507721.654382583
311,10780723.19663733
312,11177797.474892916
313,6330114.362148749
314,6893949.679694867
315,10228488.200971471
316,9745497.637721535
317,8060694.368515728
318,11005635.196022512
319,8652028.277926482
320,7056866.848892593
321,6822691.092914157
322,8493806.07118214
323,9111190.22804032
324,10995011.990879947
325,8416079.495070804
326,8010798.534849136
327,8385805.332976505
328,6795679.502593999
329,12458744.706894554
330,11950903.541569486
331,10921324.765641913
332,9914543.16924147
333,7983460.675907511
334,8156194.977025502
335,8484823.567150285
336,10394472.608056847
337,9986579.24945538
338,10995743.007155064
339,11954975.687179029
340,11882977.26017012
341,9090382.566395557
342,8004578.87324446
343,9523572.517650174
344,10461055.449411385
345,12836083.169126483
346,9589556.546689494
347,13474356.54874818
348,7875523.067742918
349,7119155.094611337
350,11912268.745189263
351,13707575.878713839
352,13077819.608097991
353,15831641.08201284
354,12231328.661199002
355,9562746.749942794
356,10516333.027966544
357,11274142.785454797
358,11476531.77301426
359,11142448.246518081
360,9758873.305152208
