,Constraint,Time,Value
0,Bal1Constraint,1,57.98585841
1,Bal1Constraint,2,57.98585841
2,Bal1Constraint,3,57.98585841
3,Bal1Constraint,4,57.98585841
4,Bal1Constraint,5,57.98585841
5,Bal1Constraint,6,57.98585841
6,Bal1Constraint,7,57.98585841
7,Bal1Constraint,8,57.98585841
8,Bal1Constraint,9,57.98585841
9,Bal1Constraint,10,57.98585841
10,Bal1Constraint,11,57.98585841
11,Bal1Constraint,12,57.98585841
12,Bal1Constraint,13,57.98585841
13,Bal1Constraint,14,57.98585841
14,Bal1Constraint,15,57.98585841
15,Bal1Constraint,16,57.98585841
16,Bal1Constraint,17,57.98585841
17,Bal1Constraint,18,57.98585841
18,Bal1Constraint,19,57.98585841
19,Bal1Constraint,20,57.98585841
20,Bal1Constraint,21,57.98585841
21,Bal1Constraint,22,57.98585841
22,Bal1Constraint,23,57.98585841
23,Bal1Constraint,24,57.98585841
24,Bal2Constraint,1,57.98585841
25,Bal2Constraint,2,57.98585841
26,Bal2Constraint,3,57.98585841
27,Bal2Constraint,4,57.98585841
28,Bal2Constraint,5,57.98585841
29,Bal2Constraint,6,57.98585841
30,Bal2Constraint,7,57.98585841
31,Bal2Constraint,8,57.98585841
32,Bal2Constraint,9,57.98585841
33,Bal2Constraint,10,57.98585841
34,Bal2Constraint,11,57.98585841
35,Bal2Constraint,12,57.98585841
36,Bal2Constraint,13,57.98585841
37,Bal2Constraint,14,57.98585841
38,Bal2Constraint,15,57.98585841
39,Bal2Constraint,16,57.98585841
40,Bal2Constraint,17,57.98585841
41,Bal2Constraint,18,57.98585841
42,Bal2Constraint,19,57.98585841
43,Bal2Constraint,20,57.98585841
44,Bal2Constraint,21,57.98585841
45,Bal2Constraint,22,57.98585841
46,Bal2Constraint,23,57.98585841
47,Bal2Constraint,24,57.98585841
48,Bal3Constraint,1,61.44355231
49,Bal3Constraint,2,57.97690073
50,Bal3Constraint,3,57.87906584
51,Bal3Constraint,4,57.61086584
52,Bal3Constraint,5,57.82227747
53,Bal3Constraint,6,57.82227747
54,Bal3Constraint,7,57.82227747
55,Bal3Constraint,8,57.82227747
56,Bal3Constraint,9,57.82227747
57,Bal3Constraint,10,57.82227747
58,Bal3Constraint,11,57.82227747
59,Bal3Constraint,12,57.70870073
60,Bal3Constraint,13,57.87906584
61,Bal3Constraint,14,57.87906584
62,Bal3Constraint,15,57.82227747
63,Bal3Constraint,16,57.82227747
64,Bal3Constraint,17,57.87906584
65,Bal3Constraint,18,63.69585841
66,Bal3Constraint,19,63.69585841
67,Bal3Constraint,20,63.69585841
68,Bal3Constraint,21,63.69585841
69,Bal3Constraint,22,63.69585841
70,Bal3Constraint,23,63.69585841
71,Bal3Constraint,24,63.69585841
72,Bal4Constraint,1,71.40355231
73,Bal4Constraint,2,67.93690073
74,Bal4Constraint,3,67.83906584
75,Bal4Constraint,4,67.10532453
76,Bal4Constraint,5,67.10532453
77,Bal4Constraint,6,67.10532453
78,Bal4Constraint,7,67.78227747
79,Bal4Constraint,8,67.78227747
80,Bal4Constraint,9,67.78227747
81,Bal4Constraint,10,67.78227747
82,Bal4Constraint,11,67.78227747
83,Bal4Constraint,12,67.66870073
84,Bal4Constraint,13,67.83906584
85,Bal4Constraint,14,67.83906584
86,Bal4Constraint,15,67.78227747
87,Bal4Constraint,16,67.78227747
88,Bal4Constraint,17,67.83906584
89,Bal4Constraint,18,73.65585841
90,Bal4Constraint,19,127.71463629
91,Bal4Constraint,20,100000000.0
92,Bal4Constraint,21,100000000.0
93,Bal4Constraint,22,136.41247767
94,Bal4Constraint,23,75.29286003
95,Bal4Constraint,24,73.65585841
96,Bal1Constraint,25,54.94522257
97,Bal1Constraint,26,54.94522257
98,Bal1Constraint,27,54.94522257
99,Bal1Constraint,28,54.94522257
100,Bal1Constraint,29,54.94522257
101,Bal1Constraint,30,54.94522257
102,Bal1Constraint,31,54.94522257
103,Bal1Constraint,32,54.94522257
104,Bal1Constraint,33,54.94522257
105,Bal1Constraint,34,54.94522257
106,Bal1Constraint,35,54.94522257
107,Bal1Constraint,36,54.94522257
108,Bal1Constraint,37,54.94522257
109,Bal1Constraint,38,54.94522257
110,Bal1Constraint,39,54.94522257
111,Bal1Constraint,40,54.94522257
112,Bal1Constraint,41,54.94522257
113,Bal1Constraint,42,54.94522257
114,Bal1Constraint,43,54.94522257
115,Bal1Constraint,44,54.94522257
116,Bal1Constraint,45,54.94522257
117,Bal1Constraint,46,54.94522257
118,Bal1Constraint,47,54.94522257
119,Bal1Constraint,48,54.94522257
120,Bal2Constraint,25,54.94522257
121,Bal2Constraint,26,54.94522257
122,Bal2Constraint,27,54.94522257
123,Bal2Constraint,28,54.94522257
124,Bal2Constraint,29,54.94522257
125,Bal2Constraint,30,54.94522257
126,Bal2Constraint,31,54.94522257
127,Bal2Constraint,32,54.94522257
128,Bal2Constraint,33,54.94522257
129,Bal2Constraint,34,54.94522257
130,Bal2Constraint,35,54.94522257
131,Bal2Constraint,36,54.94522257
132,Bal2Constraint,37,54.94522257
133,Bal2Constraint,38,54.94522257
134,Bal2Constraint,39,54.94522257
135,Bal2Constraint,40,54.94522257
136,Bal2Constraint,41,54.94522257
137,Bal2Constraint,42,54.94522257
138,Bal2Constraint,43,54.94522257
139,Bal2Constraint,44,54.94522257
140,Bal2Constraint,45,54.94522257
141,Bal2Constraint,46,54.94522257
142,Bal2Constraint,47,54.94522257
143,Bal2Constraint,48,54.94522257
144,Bal3Constraint,25,57.87906584
145,Bal3Constraint,26,57.29796584
146,Bal3Constraint,27,55.37955863
147,Bal3Constraint,28,54.87180058
148,Bal3Constraint,29,54.87180058
149,Bal3Constraint,30,55.06665863
150,Bal3Constraint,31,56.10853867
151,Bal3Constraint,32,57.61086584
152,Bal3Constraint,33,57.29796584
153,Bal3Constraint,34,57.61086584
154,Bal3Constraint,35,57.29796584
155,Bal3Constraint,36,55.64775863
156,Bal3Constraint,37,55.64775863
157,Bal3Constraint,38,57.29796584
158,Bal3Constraint,39,56.03400058
159,Bal3Constraint,40,57.70870073
160,Bal3Constraint,41,60.07780073
161,Bal3Constraint,42,60.65522257
162,Bal3Constraint,43,60.65522257
163,Bal3Constraint,44,60.65522257
164,Bal3Constraint,45,60.65522257
165,Bal3Constraint,46,60.65522257
166,Bal3Constraint,47,60.65522257
167,Bal3Constraint,48,59.87518276
168,Bal4Constraint,25,67.83906584
169,Bal4Constraint,26,67.10532453
170,Bal4Constraint,27,65.33955863
171,Bal4Constraint,28,64.83180058
172,Bal4Constraint,29,64.83180058
173,Bal4Constraint,30,65.02665863
174,Bal4Constraint,31,66.06853867
175,Bal4Constraint,32,67.10532453
