,0
0,2960299.6569583183
1,2740641.422035821
2,2712388.6861151103
3,3076849.3154528686
4,2918781.5759863
5,2754363.272418686
6,2779781.310260677
7,3853030.587576285
8,3645580.0171923144
9,2957206.9131748034
10,2374654.9806819735
11,2405058.0432479624
12,2569431.2283482216
13,3080837.6883908045
14,2725170.520396821
15,2234687.059377415
16,2947248.2573317224
17,2755978.167439988
18,2575679.9638865637
19,2769890.0437729894
20,2639148.50820194
21,2782362.2596529704
22,2923050.745800252
23,2907187.6351416633
24,2429501.4153347053
25,2552153.5675583463
26,2410297.2580060605
27,2218485.863860555
28,2367202.1919297334
29,2718794.115072732
30,2739600.55182492
31,2355708.997731122
32,2293547.9444071576
33,2137200.710003976
34,2159042.0933894487
35,2511061.977869847
36,2472993.517601925
37,2243437.1201525833
38,1977040.1454798055
39,2060688.4531103808
40,1734232.8621674757
41,1953798.0909653024
42,1947311.6061353076
43,2011968.7079551294
44,2134015.8126120083
45,2161682.857909417
46,1966976.1525844869
47,2024946.85258001
48,1107773.4025627654
49,1511473.1993373302
50,1702234.9874588798
51,2323124.971283163
52,2142718.717860182
53,2164999.2607607907
54,2529766.398831184
55,2249254.771203382
56,2739424.1894729696
57,2765638.583296611
58,2789200.813698165
59,2854853.6222474836
60,2619295.3190947818
61,2152816.891329771
62,2457156.9722904144
63,2542928.285071688
64,2534830.2419015244
65,1886476.4856774805
66,1995139.8944261996
67,2066777.3753830362
68,1943352.3649819945
69,1892310.2286190123
70,1868602.4580667142
71,2027933.0430434586
72,2139827.7881744727
73,2436771.9736734554
74,1999858.8925837392
75,1330380.644394577
76,1417375.2234611753
77,1855952.3127286634
78,1890230.8021468478
79,1765324.0467389498
80,1470178.222207681
81,1792862.1013365674
82,1669577.9148393192
83,2062469.0805080687
84,2444006.287432922
85,2434577.563170192
86,2400751.727727866
87,2677130.866809888
88,2536625.126764464
89,1993495.9895285235
90,1732865.194251261
91,2163959.2476743646
92,1607286.6991515325
93,2265203.6332790516
94,2707241.586679584
95,2455555.5426185727
96,1822856.1641027394
97,2454881.063296375
98,1654017.234890401
99,1985196.5074363132
100,2353157.4817852424
101,2407953.7898077546
102,2673246.8383310046
103,1569809.5215973675
104,1782868.165820788
105,2082685.9912923698
106,2408759.8237523157
107,2523668.9859661814
108,2477242.90831084
109,2235514.0348705724
110,1936417.894686019
111,1676580.3023041016
112,2685682.0093114544
113,2202646.3263875684
114,2306369.937084002
115,2536636.263814212
116,2030177.4924579537
117,1623416.752462614
118,1768097.365844089
119,1981079.4019495458
120,2530463.028292237
121,2233604.6819040338
122,1903091.4007207586
123,1996838.4870638493
124,1384089.9042248018
125,2514235.1847936353
126,3588239.8061983176
127,3004049.253933195
128,3103314.2212605067
129,3308132.1865576385
130,2847507.2031326145
131,2142008.6388010373
132,2185775.577561586
133,2236121.7516386807
134,1957810.7079637453
135,2378031.033931682
136,2255884.2736362517
137,3030700.907814741
138,2512286.3815246485
139,2453025.565123273
140,2943218.570190395
141,2806073.6844341205
142,3169325.1719265394
143,4221156.372526365
144,3765082.3553990247
145,2860885.3197086053
146,2372230.6628017286
147,2618998.0685739173
148,2265372.1719945027
149,2246228.326426085
150,2534475.55895169
151,1773766.1518439152
152,1652305.4093822225
153,1835252.3844751767
154,2483492.565285338
155,2263806.636647173
156,1825177.0436518714
157,1842229.5988392218
158,1686078.43723494
159,353434.94595981715
160,1230844.8688008129
161,1479154.7411434937
162,1212523.1261262307
163,1462749.6791062953
164,1953850.1918089914
165,1934212.5039078544
166,1410826.4863365258
167,1585467.1055317249
168,2945144.7373092314
169,3605513.142020221
170,3706700.060055432
171,2753253.949146713
172,3052024.1805370552
173,2756552.7871696693
174,2360440.0376374703
175,2382349.8512639916
176,1854658.6888360712
177,1710990.0100318682
178,1834356.838510836
179,2244063.4669821337
180,1505790.620035454
181,1965296.4631644497
182,2515872.632133334
183,2837333.794319976
184,3335694.214796615
185,3735454.0839619553
186,2929550.1315412335
187,2610327.3283511717
188,1897188.161938903
189,2589877.0512736365
190,2578981.3255119957
191,2299425.9004317475
192,2302660.309908733
193,2670837.553493794
194,2582975.0855284827
195,2626739.373624027
196,2804767.9694005987
197,2723900.8296074215
198,2979064.335236313
199,2787461.4144956227
200,2878219.9517022264
201,2585556.2827677466
202,2350066.84653759
203,4148017.3313955693
204,4571329.994542875
205,4361185.803638071
206,3644615.2997960746
207,3976179.846781998
208,3010850.8573540812
209,3617092.7172700204
210,4095348.880707372
211,3123362.0245430414
212,3507772.5233361786
213,3113142.3236383377
214,2764568.437928064
215,3220811.106187607
216,3772124.6393308183
217,5188785.215387967
218,5356280.0757636
219,4740068.838759446
220,4319045.073216678
221,4633787.349999252
222,2968975.621236692
223,2853803.4803696405
224,4372578.450132443
225,3729693.455047665
226,2260586.295794203
227,2595747.014132238
228,2599711.6163155995
229,2180925.9169895677
230,2664126.9028269323
231,3341984.707986966
232,3664436.6437050905
233,2978038.7557572946
234,2848132.0295817116
235,2664479.501802142
236,2691908.2354134377
237,2186497.659792348
238,3194243.3250417
239,3650281.5227232333
240,3564989.475642843
241,2933332.0706052687
242,2851160.102891448
243,2746230.088100465
244,3599388.2811656035
245,4538611.693404534
246,4229661.023378825
247,2974562.4011628274
248,2093761.6008658812
249,2989220.768126712
250,2692696.151916029
251,2969606.5739961956
252,2990753.152458354
253,2966147.969459519
254,3366965.300355482
255,2951677.558903576
256,2724093.7321813824
257,2912218.9768685875
258,2109057.473995844
259,3186200.2088006176
260,3054887.0833200077
261,2402173.9860107247
262,2899191.3518663
263,2710515.228396373
264,2310372.201772292
265,1858648.9379633286
266,1892776.794188383
267,2317419.4087557243
268,2886400.283771078
269,4146157.709525694
270,4466710.415823397
271,2962997.5836230973
272,2744909.23159887
273,3693991.350173179
274,3126889.3581545325
275,2849716.5207056897
276,2775682.3149864366
277,3304934.597713695
278,2131443.357322259
279,2568925.520515589
280,2802916.923593633
281,3019156.216702357
282,3628783.7605120987
283,2719890.937287749
284,2438550.279261751
285,1565282.0828631278
286,1834043.001683054
287,2493349.822932073
288,2665765.119581245
289,2709646.6419331636
290,2722243.619057608
291,2387841.4503900055
292,2328044.4717294574
293,2169906.001040199
294,2843011.138754149
295,3086112.334760951
296,3113248.25999456
297,3604249.714308434
298,2843822.3829564806
299,1650632.4760511075
300,2233666.2326622866
301,2540396.3447378827
302,2638221.4417584436
303,2600454.5463242866
304,2913681.4736027024
305,2793786.051745124
306,2532836.976745732
307,2546036.279264535
308,2929849.366912813
309,2831904.1491623865
310,3006094.487071666
311,2754025.7254104987
312,3052879.4466226753
313,1897212.0687846188
314,2009491.9478842863
315,2479332.291446103
316,2598085.530579997
317,2109830.1399880126
318,2766118.9768406926
319,2394277.203773656
320,1852972.0077218416
321,1882767.7301724118
322,2094218.5065991562
323,2309599.3406474255
324,2762790.419624474
325,2344306.110638852
326,2240362.526163904
327,2310560.756330722
328,1907631.8276156767
329,2964234.273974889
330,2953938.509365934
331,2771829.528442975
332,2622938.300000962
333,2303567.9122648686
334,2292490.899650678
335,2341355.755355277
336,2499444.931391582
337,2572384.221526755
338,2673819.3527293634
339,3089176.6806778656
340,3006563.762778811
341,2371418.8629103377
342,2118133.742105797
343,2490720.127254215
344,2553211.029323819
345,2939052.877808527
346,2284998.0868637664
347,3336215.1454631137
348,2038924.1990131736
349,1894641.5800816077
350,2957346.1028202893
351,3506699.1595062073
352,3360664.959547206
353,3752257.325610975
354,3218155.1511575086
355,2672278.778198827
356,2799170.883252792
357,2907350.082004237
358,2990772.279102301
359,2975341.7154264636
360,2646711.0281092124
361,2320564.856280069
362,1872400.260946215
363,2461739.2514889883
