,0
0,6123698.553278496
1,5465699.779494157
2,5443768.186747333
3,6232602.624813235
4,5949418.052773931
5,5389451.121962253
6,5351371.140493573
7,7165047.744520272
8,6922957.115125043
9,6092442.861360261
10,4222530.773696709
11,4250947.859742801
12,4907593.774474592
13,6044796.985433533
14,5312174.7301427685
15,4055331.6489459304
16,6269039.787283659
17,5698657.88491762
18,4994401.293462679
19,5487580.59903941
20,5032247.213150917
21,5630964.652061762
22,6033110.948731161
23,6118315.156957988
24,4309337.714680352
25,4863332.4453240475
26,4398782.259802323
27,3868630.424944095
28,4239124.357149119
29,5584985.818811274
30,5638965.7323919255
31,4317864.896398221
32,4163318.317462896
33,3852260.386926486
34,3852397.9204372023
35,4800878.673001273
36,4589065.5953028705
37,3988614.828333662
38,3413131.18106903
39,3760525.8913906305
40,2820482.252670782
41,3592946.5745291654
42,3210737.2648191103
43,3393870.1408111076
44,3638936.0565667804
45,3868923.381418076
46,3375924.7168307356
47,3420547.0085624815
48,1315425.707835154
49,2136275.1296837158
50,2703775.498729731
51,3966000.883747861
52,3738916.740531546
53,3704454.4869599077
54,4855618.510606606
55,3959906.6914288825
56,5588112.570734057
57,5580230.899800732
58,5693934.698686608
59,5872300.70888158
60,5143318.683512858
61,3782700.998166559
62,4634217.321463823
63,4774505.622445558
64,4702012.217568531
65,3126697.065683623
66,3534853.741899367
67,3782655.524260959
68,3537603.1204229
69,3348516.4564719466
70,3036207.939999055
71,3699976.752084217
72,3759961.038689625
73,4545692.548187145
74,3485819.6159588434
75,2035949.2654131304
76,2202543.5225249287
77,2900918.3683121665
78,3025197.0066712652
79,2654607.192568805
80,1980982.3357461067
81,2804878.690349215
82,2594459.3699941915
83,3592090.3454003856
84,4445625.945472497
85,4395577.958758485
86,4276893.17201186
87,5233372.253434368
88,4904836.257741241
89,3604904.381785557
90,2715934.0350970705
91,3930888.431508999
92,2215565.1134019755
93,3846628.9552606912
94,5151353.291249282
95,4404609.743289882
96,3127901.8843374248
97,4518641.397861394
98,2532561.4765098807
99,3263458.309741928
100,4270673.148877596
101,4286187.276621065
102,5068147.543467149
103,2328013.3059292063
104,2829961.475211845
105,3686677.484660512
106,4382663.097664092
107,4630901.5319396965
108,4567925.85724387
109,4067436.2292477745
110,3405888.5935893483
111,2636973.9571763733
112,5233862.647735385
113,3832669.915572162
114,4142732.8418987603
115,4782969.496377259
116,3863400.910794156
117,2511422.813837025
118,3090378.918607113
119,3679971.3234401
120,4900342.98991298
121,4265922.311214917
122,3534355.8553718156
123,3847395.0594606297
124,2835704.9357300904
125,4801221.1014350895
126,7009194.268236958
127,6017303.759132371
128,6154694.542276891
129,6920589.756202086
130,5640838.535862853
131,4043348.4185976977
132,4122091.754394409
133,4186007.4279052825
134,3479739.7661395543
135,4647308.921143618
136,4163774.942971823
137,5988913.361414062
138,4673437.820740282
139,4841317.003610789
140,5673229.165624996
141,5546936.791207626
142,6294682.893905989
143,8020647.362049411
144,7141806.487304606
145,5854522.324666045
146,4264379.185199226
147,5403945.612633368
148,3700337.296065219
149,3717373.2709678616
150,4676483.017405763
151,2830335.0764751686
152,2240243.9910900155
153,2762336.6362594147
154,4607820.016728985
155,3732863.811827193
156,2886770.217488726
157,2938827.4173448593
158,2491000.004823586
159,569604.728378321
160,851627.7735930138
161,2215013.989503677
162,1216192.9955073295
163,2027532.0805927813
164,3265910.6792532676
165,3171449.772856443
166,1753418.6599060004
167,2359342.9609565777
168,5948606.472873141
169,6651156.991672101
170,6826091.112060752
171,5490509.481453618
172,6135286.646176612
173,5522231.932119536
174,4063244.922661815
175,4222777.374285566
176,2886243.709452794
177,2311130.150718021
178,2677673.0735444543
179,3718265.506551541
180,1787212.7577942123
181,3205166.670008257
182,4707614.704234492
183,5846083.236761391
184,6193347.85882492
185,7067474.373492582
186,6015928.807079123
187,5001189.8033119
188,3046527.2848077863
189,5052018.014761317
190,4965662.88338002
191,4032748.026894537
192,4011290.527909208
193,5251531.931577108
194,4964219.891296406
195,5159781.856398604
196,5504550.524172237
197,5162631.2682350185
198,6142451.267461177
199,5692035.9640874425
200,5907699.503931868
201,4946190.200358506
202,4287573.831453059
203,7877760.414071475
204,9162120.629382148
205,8354344.622299707
206,7091348.67440744
207,7817795.567218588
208,5880824.121590754
209,6740707.200281747
210,7607978.521261151
211,6060914.380133377
212,6444943.279591271
213,6025979.613525033
214,5627682.037649358
215,6320779.346636405
216,7169929.094924235
217,12106584.150354622
218,12314766.975072457
219,10514216.955789398
220,8383316.373935261
221,9921670.683663432
222,6130413.197944058
223,5822490.597229491
224,8147156.779730902
225,7021485.677173572
226,4065063.932325192
227,5083410.315245223
228,5150152.509047853
229,3863880.976040936
230,5446822.04286716
231,6311349.654321715
232,6850643.55635498
233,6025898.951661527
234,5880970.604531854
235,5289968.990321493
236,5213664.669638356
237,3936883.2111665737
238,6175750.367357482
239,6914627.956903566
240,6729884.894684173
241,5915535.35019286
242,5859014.454191144
243,5662011.926010467
244,6760155.5094352085
245,8934136.948011523
246,7924649.151117188
