,0
0,13781468360.70209
1,11051049.139914133
2,10747558.519516347
3,12755736.97488365
4,16736191537.211123
5,10332078.730435494
6,10343119.163670748
7,30273914060.972572
8,16981530510.918325
9,16475712044.601332
10,8758409.22746653
11,10816347313.837347
12,9888244.269206222
13,12396607.866247514
14,10312859.64876791
15,7894257.682838325
16,11942815350.257973
17,11370623.36214021
18,9654449.400004717
19,10562850.514066035
20,9706907.24506144
21,11190754.081089871
22,12076133.911576128
23,12877145319.258276
24,8671091.920036918
25,9753468.712986825
26,8517436.84781609
27,7570974.541759465
28,8581987.721436642
29,11145487.991511354
30,11266930.073960451
31,9016573.269376887
32,8689566.011465574
33,7955834.426429452
34,8093932.759285321
35,9982354.063143393
36,9094047.954194082
37,8178216.411338952
38,7445146.416714538
39,7975996.274022854
40,6304596.930096983
41,7013936.322576069
42,7054126.576168612
43,7394772.660334515
44,7863871.310915545
45,8070481.548476489
46,6896297.060825171
47,6896512.4667751435
48,4100457.319644441
49,5716777.034775122
50,6415938.486079981
51,10381130189.924482
52,7966409.480553827
53,10440899475.289322
54,38053847163.546425
55,8170797.015080932
56,21019874631.649517
57,10914207434.88594
58,23856341494.180138
59,11648449.919855079
60,10651105.657325706
61,7900829.17714004
62,9813085.263420923
63,9966073.301801728
64,9697125.176825866
65,6555049.969355832
66,7580367.095742827
67,7699361.716628022
68,7513731.676996311
69,7406738.179385913
70,6996989.829542459
71,7600720.878487831
72,7965317.673496675
73,9368963.091183003
74,7375826.066599113
75,5078023.636811783
76,5879394.167318448
77,7050303.323611413
78,6521511.758080258
79,6181977.812276391
80,5047695.512212439
81,6643240.18115917
82,6093652.432016766
83,7438569.360401918
84,9222293.580886833
85,9009845.94796552
86,8737823.050369788
87,10790634.0666244
88,9990412.492909873
89,7580303.4381119795
90,6151848.741919406
91,17764077242.94933
92,5336551.606433554
93,12205562146.66068
94,10659751391.713116
95,8980508.50255724
96,6460988.523160022
97,8665105.639654275
98,5861096.391382699
99,7095994.905948257
100,8226818.280833849
101,8144062.90255163
102,9560457.487366792
103,5256001.945255607
104,5541455.828746878
105,7833710.270221595
106,14539225287.86635
107,9467451.954546658
108,9114997.259421125
109,8227029.76744467
110,6943072.847014497
111,6089021.148133595
112,11024097.33202325
113,8494113.90692868
114,19079941723.088467
115,9857862.143098533
116,7961471.985086917
117,5298623.862788148
118,6546343.705893964
119,22347346149.649574
120,15330178416.336449
121,8452241.77509879
122,7143402.436885828
123,7732103.763003354
124,6700927.453988281
125,10501665.390335461
126,16722839522.203943
127,11882112.741711127
128,12072880.093698038
129,13858297.753487863
130,10852635.287027022
131,8039375.247264422
132,8224452.897738958
133,8299402.561564726
134,6895150.854301148
