,Constraint,Time,Value
0,Bal1Constraint,1,44.471652
1,Bal1Constraint,2,44.471652
2,Bal1Constraint,3,44.471652
3,Bal1Constraint,4,44.471652
4,Bal1Constraint,5,44.471652
5,Bal1Constraint,6,44.471652
6,Bal1Constraint,7,44.471652
7,Bal1Constraint,8,44.471652
8,Bal1Constraint,9,44.471652
9,Bal1Constraint,10,44.471652
10,Bal1Constraint,11,44.471652
11,Bal1Constraint,12,44.471652
12,Bal1Constraint,13,44.471652
13,Bal1Constraint,14,44.471652
14,Bal1Constraint,15,44.471652
15,Bal1Constraint,16,44.471652
16,Bal1Constraint,17,44.471652
17,Bal1Constraint,18,44.471652
18,Bal1Constraint,19,44.471652
19,Bal1Constraint,20,44.471652
20,Bal1Constraint,21,44.471652
21,Bal1Constraint,22,44.471652
22,Bal1Constraint,23,44.471652
23,Bal1Constraint,24,44.471652
24,Bal2Constraint,1,44.471652
25,Bal2Constraint,2,44.471652
26,Bal2Constraint,3,44.471652
27,Bal2Constraint,4,44.471652
28,Bal2Constraint,5,44.471652
29,Bal2Constraint,6,44.471652
30,Bal2Constraint,7,44.471652
31,Bal2Constraint,8,44.471652
32,Bal2Constraint,9,44.471652
33,Bal2Constraint,10,44.471652
34,Bal2Constraint,11,44.471652
35,Bal2Constraint,12,44.471652
36,Bal2Constraint,13,44.471652
37,Bal2Constraint,14,44.471652
38,Bal2Constraint,15,44.471652
39,Bal2Constraint,16,44.471652
40,Bal2Constraint,17,44.471652
41,Bal2Constraint,18,44.471652
42,Bal2Constraint,19,44.471652
43,Bal2Constraint,20,44.471652
44,Bal2Constraint,21,44.471652
45,Bal2Constraint,22,44.471652
46,Bal2Constraint,23,44.471652
47,Bal2Constraint,24,44.471652
48,Bal3Constraint,1,49.280357702
49,Bal3Constraint,2,48.118157702
50,Bal3Constraint,3,48.0441605
51,Bal3Constraint,4,47.198468812
52,Bal3Constraint,5,47.7869290047
53,Bal3Constraint,6,47.7869290047
54,Bal3Constraint,7,47.7869290047
55,Bal3Constraint,8,47.7869290047
56,Bal3Constraint,9,47.7869290047
57,Bal3Constraint,10,47.7869290047
58,Bal3Constraint,11,47.7869290047
59,Bal3Constraint,12,47.544067227
60,Bal3Constraint,13,47.772559287
61,Bal3Constraint,14,48.0441605
62,Bal3Constraint,15,47.7869290047
63,Bal3Constraint,16,47.7869290047
64,Bal3Constraint,17,48.0441605
65,Bal3Constraint,18,48.9969408087
66,Bal3Constraint,19,50.181652
67,Bal3Constraint,20,50.181652
68,Bal3Constraint,21,50.181652
69,Bal3Constraint,22,50.181652
70,Bal3Constraint,23,50.181652
71,Bal3Constraint,24,49.280357702
72,Bal4Constraint,1,59.240357702
73,Bal4Constraint,2,58.078157702
74,Bal4Constraint,3,58.0041605
75,Bal4Constraint,4,57.158468812
76,Bal4Constraint,5,57.7469290047
77,Bal4Constraint,6,57.7469290047
78,Bal4Constraint,7,57.7469290047
79,Bal4Constraint,8,57.7469290047
80,Bal4Constraint,9,57.7469290047
81,Bal4Constraint,10,57.7469290047
82,Bal4Constraint,11,57.7469290047
83,Bal4Constraint,12,57.504067227
84,Bal4Constraint,13,57.732559287
85,Bal4Constraint,14,58.0041605
86,Bal4Constraint,15,57.7469290047
87,Bal4Constraint,16,57.7469290047
88,Bal4Constraint,17,58.0041605
89,Bal4Constraint,18,58.9569408087
90,Bal4Constraint,19,84.965006
91,Bal4Constraint,20,100000000.0
