,0
0,1270771.800992006
1,1022720.3301848496
2,1013520.7501263405
3,1291523.6624937921
4,1225071.8792557225
5,1034930.1015383445
6,1058632.130762643
7,1615504.3570253209
8,1482575.9898124256
9,1337319.2895877608
10,825943.2750333683
11,844834.4345757767
12,939773.1741200369
13,1124973.6093860646
14,1021020.4978859989
15,754111.0839382668
16,1354500.3437426789
17,1076660.647984328
18,951451.7302866321
19,1062879.072440564
20,954488.6037768255
21,1063536.0257936488
22,1168867.4144712973
23,1203799.9765015927
24,830461.7772779091
25,949529.8408447967
26,857405.5294977492
27,740296.7107157231
28,822332.8652287218
29,1104824.5808462622
30,1143127.5249591114
31,840147.3216481771
32,803242.7159134469
33,756818.4705686237
34,739808.8785230863
35,938490.9594121753
36,897663.8228454142
37,743618.8780330272
38,622221.4371205696
39,738837.3980140579
40,556489.7268359589
41,703685.5441684013
42,608582.5106013946
43,629343.2153378403
44,688629.2189036041
45,754339.6575469322
46,623236.1642868577
47,630595.8843201799
48,332482.2112945331
49,484895.4241723709
50,559675.372754328
51,768968.979508652
52,704223.1754547972
53,713536.4082397898
54,941678.0452196713
55,746513.2947486602
56,1080678.7746928046
57,1078099.3225435654
58,1103593.8365088827
59,1114258.6882145687
60,967829.234087987
61,689182.4442115835
62,912253.1983642911
63,932796.3119523822
64,898994.1048537488
65,573461.8790803631
66,673308.4769936006
67,728460.0203213894
68,668690.354483033
69,610876.7984050754
70,573188.0175615366
71,705349.3644669587
72,700298.7960908033
73,875409.1044759859
74,648866.2528007587
75,400106.72507111746
76,448432.4860692828
77,599635.3584707261
78,537713.0024383776
79,487334.1535459353
80,384917.85439671227
81,548077.6215210501
82,497755.3847792801
83,651909.5491442956
84,884797.6469088608
85,871080.48307474
86,826605.2679493848
87,1005210.5000497596
88,940883.8859366681
89,704121.2767658196
90,555825.6703192547
91,787254.4200300808
92,480014.03458080604
93,747438.6038987555
94,996531.4936100147
95,855756.7500307895
96,555424.2141037526
97,880991.529608449
98,463574.04942893394
99,564515.4077292875
100,838493.6537468537
101,825231.6895092533
102,979216.3193403677
103,452272.7399925459
104,526733.2628850003
105,664509.3061899948
106,880631.4836075098
107,889059.7922644423
108,872823.8338969677
109,766867.1144320155
110,614342.0330088787
111,504654.66188836383
112,998773.171240299
113,707972.858550658
114,817656.1284741925
115,916566.6198761634
116,734287.0271532213
117,460347.3988594713
118,591421.7244701826
119,715895.9586662339
120,967648.8032702567
121,801517.7225141601
122,685821.9931171479
123,729648.0176695606
124,572305.898048842
125,886886.6212819086
126,1331593.7980102042
127,1111435.7418372782
128,1146643.5684474146
129,1488338.082366448
130,1093972.8340323907
131,751278.785082621
132,782907.2817985654
133,787518.8441754532
134,643147.4839787697
135,902190.1507007016
136,797963.6296026204
137,1234289.610105274
138,883189.9502782434
139,904960.7166922803
140,1039618.0913825893
141,1051006.5620672056
142,1349540.238814598
143,1869358.6336402958
144,1532735.76569134
145,1207794.471385261
146,768201.4136758734
147,1015313.0123174447
148,678666.2701177269
149,692166.4075906451
150,897118.8165894918
151,527565.1527220684
152,431727.06010935665
153,514841.27764293185
154,900106.1866426939
155,706214.8998477688
156,535248.7000112667
157,535711.874843233
158,492292.866872285
159,197533.90956588276
160,243381.25256436082
161,450548.73840126157
162,297355.2817636735
163,406814.62577697495
164,612499.6356124699
165,576138.021422605
166,369715.17062609264
167,435392.69756499294
168,1275442.0589075105
169,1409663.6065721838
170,1462596.1144954034
171,1110693.5076660956
172,1285661.6481100686
173,1049437.854755545
174,768246.3757155141
175,829406.4069035295
176,552405.1842132942
177,440480.3210467295
178,529464.1283786943
179,709693.9654918892
180,381269.4057544474
181,604285.0906207118
182,920437.1211862768
183,1130525.210699757
184,1317348.292150846
185,1515107.5070504018
186,1289959.8439576812
187,975481.0853782201
188,569742.691252904
189,964706.9752246453
190,964890.7984264826
191,750002.7896961784
192,751947.0541545306
193,1007908.7175657784
194,952176.253329304
195,981612.9157461782
196,1090204.3837828808
197,1009136.7029807739
198,1340654.2498688274
199,1145926.5477885632
200,1214657.417500073
201,956926.2007641578
202,798572.8654398922
203,1818572.8250206884
204,2138298.945867786
205,1866056.9467375565
206,1609415.5639618326
207,1827165.4950900495
208,1206222.850802328
209,1447634.2066201651
210,1656017.3258202674
211,1296000.1305412634
212,1394624.5393832743
213,1275588.646300657
214,1113059.5729474179
215,1346645.5008602433
216,1576321.447577915
217,2893752.335199899
218,2970356.384347179
219,2384151.3994459286
220,1923470.040929643
221,2226822.02464753
222,1299290.3310469808
223,1190367.3957672068
224,1909030.2499353816
225,1428564.9999585408
226,738016.5700086349
227,971926.1469783841
228,972769.9230153391
229,658615.918930725
230,1016512.4673569507
231,1337887.591568475
232,1399487.4336602513
233,1198188.0721128068
234,1128899.2035176097
235,990557.388856378
236,992565.5689711802
237,706084.646002014
238,1254527.4821921114
239,1500943.772150209
240,1397510.431407584
241,1133655.0581363554
242,1105519.1490212427
243,1057888.464779081
244,1454899.8830185912
245,2076577.0069053052
246,1768398.4937317052
247,1110529.9406056607
248,730684.0918095686
249,1250915.3260346297
250,1017132.7272191696
251,1104962.7717665853
252,1242658.8183100496
253,1179368.7076003633
254,1464799.3059307446
255,1221982.80037623
256,979669.9381762083
257,1010419.2972115433
258,662621.8535444328
259,1268270.9286520053
260,1274320.7645308173
261,852641.9802854599
262,1110447.6376891697
263,977037.7473371656
264,809550.1939527822
265,604666.3044278495
266,645128.0257234832
267,819004.413175699
268,1092200.5045989384
269,1685687.1543929456
270,1989019.5833132858
271,1082049.7900368
272,1004508.8603550056
273,1528222.3675359848
274,1242870.7446422125
275,1117849.23277355
276,1053843.1123067588
277,1344701.2552351083
278,643170.4659164392
279,946496.9382063125
280,1077694.2644784981
281,1185687.1167848771
282,1455964.1037554725
