,Zone,Time,Value
0,PGE_valley,1,0.0
1,PGE_valley,2,0.0
2,PGE_valley,3,0.0
3,PGE_valley,4,0.0
4,PGE_valley,5,0.0
5,PGE_valley,6,0.0
6,PGE_valley,7,0.0
7,PGE_valley,8,33.9230479199
8,PGE_valley,9,174.51523541
9,PGE_valley,10,234.822876157
10,PGE_valley,11,433.838090621
11,PGE_valley,12,517.138019402
12,PGE_valley,13,460.599606202
13,PGE_valley,14,315.86126841
14,PGE_valley,15,231.430571365
15,PGE_valley,16,131.922964133
16,PGE_valley,17,0.0
17,PGE_valley,18,0.0
18,PGE_valley,19,0.0
19,PGE_valley,20,0.0
20,PGE_valley,21,0.0
21,PGE_valley,22,0.0
22,PGE_valley,23,0.0
23,PGE_valley,24,0.0
24,PGE_bay,1,0.0
25,PGE_bay,2,0.0
26,PGE_bay,3,0.0
27,PGE_bay,4,0.0
28,PGE_bay,5,0.0
29,PGE_bay,6,0.0
30,PGE_bay,7,0.0
31,PGE_bay,8,0.349455281892
32,PGE_bay,9,1.79775328351
33,PGE_bay,10,2.41900711798
34,PGE_bay,11,4.46914477175
35,PGE_bay,12,5.32725163062
36,PGE_bay,13,4.7448261608
37,PGE_bay,14,3.25381695806
38,PGE_bay,15,2.38406158979
39,PGE_bay,16,1.35899276291
40,PGE_bay,17,0.0
41,PGE_bay,18,0.0
42,PGE_bay,19,0.0
43,PGE_bay,20,0.0
44,PGE_bay,21,0.0
45,PGE_bay,22,0.0
46,PGE_bay,23,0.0
47,PGE_bay,24,0.0
48,SCE,1,0.0
49,SCE,2,0.0
50,SCE,3,0.0
51,SCE,4,0.0
52,SCE,5,0.0
53,SCE,6,0.0
54,SCE,7,0.0
55,SCE,8,71.1853352002
56,SCE,9,366.209002196
57,SCE,10,492.760709219
58,SCE,11,910.381342393
59,SCE,12,1085.18088772
60,SCE,13,966.538662385
61,SCE,14,662.81456553
62,SCE,15,485.642175699
63,SCE,16,276.831859112
64,SCE,17,0.0
65,SCE,18,0.0
66,SCE,19,0.0
67,SCE,20,0.0
68,SCE,21,0.0
69,SCE,22,0.0
70,SCE,23,0.0
71,SCE,24,0.0
72,SDGE,1,0.0
73,SDGE,2,0.0
74,SDGE,3,0.0
75,SDGE,4,0.0
76,SDGE,5,0.0
77,SDGE,6,0.0
78,SDGE,7,0.0
79,SDGE,8,16.605597284
80,SDGE,9,85.4265726942
81,SDGE,10,114.947634532
