,0
0,5828923.297547268
1,5181794.963765726
2,5165188.602361793
3,5945636.619227727
4,5659330.668385625
5,5078717.541733904
6,5089274.592834272
7,6816272.271668501
8,6587224.764766195
9,5800010.637584168
10,4109686.930333596
11,4129384.0013659294
12,4640492.837268351
13,5737150.9498840775
14,5015614.415615121
15,3856038.459339539
16,5946919.489988535
17,5424052.581781104
18,4722237.877724052
19,5158550.930605213
20,4803027.975043712
21,5293580.348630202
22,5715530.720313521
23,5794953.517314109
24,4152120.7109344928
25,4557939.105552747
26,4213865.133904733
27,3769233.3168405443
28,4107577.927663296
29,5253107.647650239
30,5315240.886492193
31,4127486.5960448263
32,4026672.807543994
33,3748901.118909616
34,3755492.0835384126
35,4565170.523927431
36,4361273.685909019
37,3876743.596586058
38,3338817.0987079456
39,3661487.983355207
40,2727719.78609111
41,3378172.200955618
42,3107069.3904533777
43,3323666.4823640403
44,3555233.7014970314
45,3780439.469697157
46,3297728.519435154
47,3346397.2525651446
48,1289041.5276329378
49,2134834.6447592927
50,2647381.08035299
51,3895256.080660564
52,3645008.735642499
53,3614000.6814089958
54,4650548.444932342
55,3853794.687261935
56,5304525.185298719
57,5304060.8130948255
58,5413174.818617263
59,5491428.3861361
60,4887338.961248952
61,3659083.6240855553
62,4494381.268363938
63,4641221.90254216
64,4581339.336718987
65,3032519.097115616
66,3460779.4594975985
67,3690407.069715998
68,3437389.5747306296
69,3239256.50836287
70,2985299.6755388575
71,3603266.8308813833
72,3667263.974380482
73,4340519.805456988
74,3356486.2302831737
75,2000429.8074096842
76,2162476.8963779137
77,2843118.575640135
78,2900211.441281314
79,2564560.5374099584
80,1923274.6573471995
81,2717939.09581308
82,2531144.0010068617
83,3502642.3795676054
84,4298677.864661906
85,4256269.319354151
86,4138230.1030012355
87,4963978.630475945
88,4675220.686363347
89,3463462.546975897
90,2655950.115763648
91,3836868.5209510555
92,2141856.4349993174
93,3761859.6736437054
94,4893688.147976091
95,4253804.549670894
96,3034319.700575735
97,4315505.206814956
98,2468905.1311163865
99,3192204.640428312
100,4140324.2479810687
101,4142818.144611092
102,4789198.4363958975
103,2293720.842877551
104,2780381.015165392
105,3586657.53096284
106,4229612.290019372
107,4499945.633916958
108,4427337.193105726
109,3930577.1510939333
110,3313901.601253082
111,2554873.2773660803
112,4932907.224111198
113,3740786.969993051
114,4030604.6324442597
115,4526800.95890303
116,3730639.3908704645
117,2462727.7586787986
118,2988027.4474761733
119,3549523.630938525
120,4708633.28556827
121,4115585.3861530363
122,3365348.8944120817
123,3691424.8072008872
124,2729437.6258397186
125,4634658.177283475
126,6736338.663733182
127,5722214.956520529
128,5867825.146946852
129,6678136.855010914
130,5391516.055653049
131,3919487.7338282047
132,3998577.847404039
133,4064250.973152056
134,3365595.454899791
135,4453460.306551657
136,3992475.674954906
137,5699173.209790559
138,4475844.822011656
139,4656472.93318617
140,5395212.541505458
141,5264029.13017263
142,6005638.465096692
143,7645104.758580622
144,6786130.39417123
145,5568930.861324717
146,4073128.9594251313
147,5060498.2546992395
148,3619199.103573647
149,3635293.833395449
150,4544784.73575149
151,2762820.2474065837
152,2214045.0638416125
153,2691323.5607132493
154,4370592.511893984
155,3654880.6547065284
156,2836366.007023194
157,2843772.1028257534
158,2455826.956382862
159,512212.1702551829
160,840634.8535025633
161,2211363.6148345964
162,1189816.5910679987
163,2023107.8465224742
164,3139533.932558102
165,3043535.137723416
166,1749806.6865450372
167,2328990.0597918066
168,5668035.156126121
169,6325437.124872788
170,6508742.213723202
171,5226502.244243472
172,5809914.642986691
173,5231169.354538498
174,3972992.0964106414
175,4128373.858911068
