,0
0,13781489229.97911
1,11017998.66394096
2,10680636.05694377
3,12786167.379169052
4,16736190254.081541
5,10349399.876169734
6,10280365.38053885
7,30273500942.232536
8,16981292925.186392
9,16475772928.197615
10,8784807.900619663
11,10816371172.200838
12,9950582.518803155
13,12269386.698753718
14,10344346.903556708
15,7940773.199408123
16,11942893163.695068
17,11238766.395973278
18,9707955.95037756
19,10569374.634296013
20,9751839.418721167
21,11120474.742397927
22,12048450.517091354
23,12877111129.380007
24,8687128.781216884
25,9838208.396716187
26,8528727.88610105
27,7609586.17980218
28,8582097.183442773
29,11154554.738705017
30,11276289.726912841
31,9114953.221910879
32,8765266.110077882
33,8017135.961459555
34,8124430.502489886
35,9979068.59381341
36,9080062.424458846
37,8201275.991770247
38,7468378.226779767
39,8021286.688604627
40,6322097.806681704
41,7219335.838588429
42,7093184.711955632
43,7469522.083978955
44,7899313.115898737
45,8120955.199286117
46,6921417.084929721
47,6906861.40970682
48,4106978.889959696
49,5717458.68762837
50,6594126.028479778
51,10381147051.50618
52,7969678.067581722
53,10440871760.350615
54,38053903141.36662
55,8139632.901277485
56,21019797693.31331
57,10914167180.975143
58,23856697285.20415
59,11590438.057018911
60,10614136.930916604
61,7973093.330680928
62,9932805.858115857
63,10066091.735796956
64,9775220.400689127
65,6562565.833729893
66,7670770.104847018
67,7749912.520447857
68,7529741.307888453
69,7420949.833280396
70,6972891.193321232
71,7656064.780601843
72,7997140.597373277
73,9478357.205506323
74,7402434.256217978
75,5087111.8361125095
76,5876412.976332695
77,7114473.418735011
78,6470089.1365609225
79,6204913.2180384295
80,5025876.988344443
81,6708317.229516484
82,6102210.021179035
83,7485091.210107693
84,9227906.853093438
85,9029546.545903346
86,8863864.57665457
87,10764608.19868523
88,10007070.466347085
89,7683222.6915220115
90,6156767.362870004
91,17764242180.364384
92,5251655.913227173
93,12205444591.54277
94,10659832252.1297
95,9098063.152562123
96,6452861.392442755
97,8683701.058324711
98,5843270.753934687
99,7130779.663040595
100,8302890.231534589
101,8234430.090958288
102,9592044.549220929
103,5282425.979984181
104,5555678.23342138
105,7782407.649846691
106,14539429933.683676
107,9519547.927450212
108,9175773.2205261
109,8319047.560559249
110,6970722.811553047
111,6060789.643895624
112,11111637.253688417
113,8512712.014685623
114,19079899718.59214
115,9947363.051317932
116,8056460.539315824
117,5306503.675025223
118,6522427.673180799
119,22347467801.317272
120,15330109186.638952
121,8523982.235483823
122,7279478.066244481
123,7776965.235484419
124,6761870.318680623
125,10440048.304490436
126,16722771580.106344
127,11760197.2510948
128,11969108.678445354
129,13800110.957276545
130,10799268.49926804
131,8102958.952929747
