,Constraint,Time,Value
0,Bal1Constraint,1,63.95719145
1,Bal1Constraint,2,63.95719145
2,Bal1Constraint,3,63.95719145
3,Bal1Constraint,4,63.95719145
4,Bal1Constraint,5,63.95719145
5,Bal1Constraint,6,63.95719145
6,Bal1Constraint,7,63.95719145
7,Bal1Constraint,8,63.95719145
8,Bal1Constraint,9,63.95719145
9,Bal1Constraint,10,63.95719145
10,Bal1Constraint,11,63.95719145
11,Bal1Constraint,12,63.95719145
12,Bal1Constraint,13,63.95719145
13,Bal1Constraint,14,63.95719145
14,Bal1Constraint,15,63.95719145
15,Bal1Constraint,16,63.95719145
16,Bal1Constraint,17,63.95719145
17,Bal1Constraint,18,63.95719145
18,Bal1Constraint,19,63.95719145
19,Bal1Constraint,20,63.95719145
20,Bal1Constraint,21,63.95719145
21,Bal1Constraint,22,63.95719145
22,Bal1Constraint,23,63.95719145
23,Bal1Constraint,24,63.95719145
24,Bal2Constraint,1,63.95719145
25,Bal2Constraint,2,63.95719145
26,Bal2Constraint,3,63.95719145
27,Bal2Constraint,4,63.95719145
28,Bal2Constraint,5,63.95719145
29,Bal2Constraint,6,63.95719145
30,Bal2Constraint,7,63.95719145
31,Bal2Constraint,8,63.95719145
32,Bal2Constraint,9,63.95719145
33,Bal2Constraint,10,63.95719145
34,Bal2Constraint,11,63.95719145
35,Bal2Constraint,12,63.95719145
36,Bal2Constraint,13,63.95719145
37,Bal2Constraint,14,63.95719145
38,Bal2Constraint,15,63.95719145
39,Bal2Constraint,16,63.95719145
40,Bal2Constraint,17,63.95719145
41,Bal2Constraint,18,63.95719145
42,Bal2Constraint,19,63.95719145
43,Bal2Constraint,20,63.95719145
44,Bal2Constraint,21,63.95719145
45,Bal2Constraint,22,63.95719145
46,Bal2Constraint,23,63.95719145
47,Bal2Constraint,24,63.95719145
48,Bal3Constraint,1,69.66719145
49,Bal3Constraint,2,67.051512092
50,Bal3Constraint,3,66.48823536
51,Bal3Constraint,4,65.542919826
52,Bal3Constraint,5,66.3608890927
53,Bal3Constraint,6,66.3608890927
54,Bal3Constraint,7,66.3608890927
55,Bal3Constraint,8,66.3608890927
56,Bal3Constraint,9,66.3608890927
57,Bal3Constraint,10,66.3608890927
58,Bal3Constraint,11,66.3608890927
59,Bal3Constraint,12,65.90713536
60,Bal3Constraint,13,66.124019826
61,Bal3Constraint,14,67.051512092
62,Bal3Constraint,15,66.3608890927
63,Bal3Constraint,16,66.3608890927
64,Bal3Constraint,17,67.051512092
65,Bal3Constraint,18,69.66719145
66,Bal3Constraint,19,69.66719145
67,Bal3Constraint,20,69.66719145
68,Bal3Constraint,21,69.66719145
69,Bal3Constraint,22,69.66719145
70,Bal3Constraint,23,69.66719145
71,Bal3Constraint,24,69.66719145
72,Bal4Constraint,1,79.62719145
73,Bal4Constraint,2,77.011512092
74,Bal4Constraint,3,76.44823536
75,Bal4Constraint,4,75.502919826
76,Bal4Constraint,5,76.3208890927
77,Bal4Constraint,6,76.3208890927
78,Bal4Constraint,7,76.3208890927
79,Bal4Constraint,8,76.3208890927
80,Bal4Constraint,9,76.3208890927
81,Bal4Constraint,10,76.3208890927
82,Bal4Constraint,11,76.3208890927
83,Bal4Constraint,12,75.86713536
84,Bal4Constraint,13,76.084019826
85,Bal4Constraint,14,77.011512092
86,Bal4Constraint,15,76.3208890927
87,Bal4Constraint,16,76.3208890927
88,Bal4Constraint,17,77.011512092
89,Bal4Constraint,18,79.62719145
90,Bal4Constraint,19,132.26804229
91,Bal4Constraint,20,100000000.0
92,Bal4Constraint,21,100000000.0
93,Bal4Constraint,22,146.185131777
94,Bal4Constraint,23,84.518661552
95,Bal4Constraint,24,79.62719145
96,Bal1Constraint,25,61.828321907
97,Bal1Constraint,26,61.828321907
98,Bal1Constraint,27,61.828321907
99,Bal1Constraint,28,61.828321907
100,Bal1Constraint,29,61.828321907
101,Bal1Constraint,30,61.828321907
102,Bal1Constraint,31,61.828321907
103,Bal1Constraint,32,61.828321907
104,Bal1Constraint,33,61.828321907
105,Bal1Constraint,34,61.828321907
106,Bal1Constraint,35,61.828321907
107,Bal1Constraint,36,61.828321907
108,Bal1Constraint,37,61.828321907
109,Bal1Constraint,38,61.828321907
110,Bal1Constraint,39,61.828321907
111,Bal1Constraint,40,61.828321907
112,Bal1Constraint,41,61.828321907
113,Bal1Constraint,42,61.828321907
114,Bal1Constraint,43,61.828321907
115,Bal1Constraint,44,61.828321907
116,Bal1Constraint,45,61.828321907
117,Bal1Constraint,46,61.828321907
118,Bal1Constraint,47,61.828321907
119,Bal1Constraint,48,61.828321907
120,Bal2Constraint,25,61.828321907
121,Bal2Constraint,26,61.828321907
122,Bal2Constraint,27,61.828321907
123,Bal2Constraint,28,61.828321907
124,Bal2Constraint,29,61.828321907
125,Bal2Constraint,30,61.828321907
126,Bal2Constraint,31,61.828321907
127,Bal2Constraint,32,61.828321907
128,Bal2Constraint,33,61.828321907
129,Bal2Constraint,34,61.828321907
130,Bal2Constraint,35,61.828321907
131,Bal2Constraint,36,61.828321907
132,Bal2Constraint,37,61.828321907
133,Bal2Constraint,38,61.828321907
134,Bal2Constraint,39,61.828321907
135,Bal2Constraint,40,61.828321907
136,Bal2Constraint,41,61.828321907
137,Bal2Constraint,42,61.828321907
138,Bal2Constraint,43,61.828321907
139,Bal2Constraint,44,61.828321907
140,Bal2Constraint,45,61.828321907
141,Bal2Constraint,46,61.828321907
142,Bal2Constraint,47,61.828321907
143,Bal2Constraint,48,61.828321907
144,Bal3Constraint,25,67.538321907
145,Bal3Constraint,26,66.3385819621
146,Bal3Constraint,27,63.12268826
147,Bal3Constraint,28,62.4327899
148,Bal3Constraint,29,62.4327899
149,Bal3Constraint,30,62.76283161
150,Bal3Constraint,31,64.134894236
151,Bal3Constraint,32,67.538321907
152,Bal3Constraint,33,66.7887985367
153,Bal3Constraint,34,67.538321907
154,Bal3Constraint,35,66.48823536
155,Bal3Constraint,36,63.34393161
156,Bal3Constraint,37,63.43558826
157,Bal3Constraint,38,65.542919826
158,Bal3Constraint,39,64.134894236
159,Bal3Constraint,40,67.538321907
160,Bal3Constraint,41,67.538321907
161,Bal3Constraint,42,67.538321907
162,Bal3Constraint,43,67.538321907
163,Bal3Constraint,44,67.538321907
164,Bal3Constraint,45,67.538321907
165,Bal3Constraint,46,67.538321907
166,Bal3Constraint,47,67.538321907
167,Bal3Constraint,48,67.538321907
168,Bal4Constraint,25,77.498321907
169,Bal4Constraint,26,76.2985819621
170,Bal4Constraint,27,73.08268826
171,Bal4Constraint,28,72.3927899
172,Bal4Constraint,29,72.3927899
173,Bal4Constraint,30,72.3927899
174,Bal4Constraint,31,73.5549899
175,Bal4Constraint,32,77.498321907
176,Bal4Constraint,33,76.7487985367
177,Bal4Constraint,34,77.498321907
178,Bal4Constraint,35,76.44823536
179,Bal4Constraint,36,72.3927899
180,Bal4Constraint,37,72.3927899
181,Bal4Constraint,38,73.5549899
182,Bal4Constraint,39,73.5549899
183,Bal4Constraint,40,77.498321907
184,Bal4Constraint,41,77.498321907
185,Bal4Constraint,42,77.498321907
186,Bal4Constraint,43,84.205761552
187,Bal4Constraint,44,91.25588666
188,Bal4Constraint,45,84.786861552
189,Bal4Constraint,46,84.205761552
190,Bal4Constraint,47,77.498321907
191,Bal4Constraint,48,77.498321907
192,Bal1Constraint,49,60.908772272
193,Bal1Constraint,50,60.908772272
194,Bal1Constraint,51,60.908772272
195,Bal1Constraint,52,60.908772272
196,Bal1Constraint,53,60.908772272
197,Bal1Constraint,54,60.908772272
198,Bal1Constraint,55,60.908772272
199,Bal1Constraint,56,60.908772272
200,Bal1Constraint,57,60.908772272
201,Bal1Constraint,58,60.908772272
202,Bal1Constraint,59,60.908772272
203,Bal1Constraint,60,60.908772272
204,Bal1Constraint,61,60.908772272
205,Bal1Constraint,62,60.908772272
206,Bal1Constraint,63,60.908772272
207,Bal1Constraint,64,60.908772272
208,Bal1Constraint,65,60.908772272
209,Bal1Constraint,66,60.908772272
210,Bal1Constraint,67,60.908772272
211,Bal1Constraint,68,60.908772272
212,Bal1Constraint,69,60.908772272
213,Bal1Constraint,70,60.908772272
214,Bal1Constraint,71,60.908772272
215,Bal1Constraint,72,60.908772272
216,Bal2Constraint,49,60.908772272
217,Bal2Constraint,50,60.908772272
218,Bal2Constraint,51,60.908772272
219,Bal2Constraint,52,60.908772272
220,Bal2Constraint,53,60.908772272
221,Bal2Constraint,54,60.908772272
222,Bal2Constraint,55,60.908772272
223,Bal2Constraint,56,60.908772272
224,Bal2Constraint,57,60.908772272
225,Bal2Constraint,58,60.908772272
226,Bal2Constraint,59,60.908772272
227,Bal2Constraint,60,60.908772272
228,Bal2Constraint,61,60.908772272
229,Bal2Constraint,62,60.908772272
230,Bal2Constraint,63,60.908772272
231,Bal2Constraint,64,60.908772272
232,Bal2Constraint,65,60.908772272
233,Bal2Constraint,66,60.908772272
234,Bal2Constraint,67,60.908772272
235,Bal2Constraint,68,60.908772272
236,Bal2Constraint,69,60.908772272
237,Bal2Constraint,70,60.908772272
238,Bal2Constraint,71,60.908772272
239,Bal2Constraint,72,60.908772272
240,Bal3Constraint,49,66.618772272
241,Bal3Constraint,50,66.618772272
242,Bal3Constraint,51,66.618772272
243,Bal3Constraint,52,66.618772272
244,Bal3Constraint,53,66.618772272
245,Bal3Constraint,54,66.618772272
246,Bal3Constraint,55,66.618772272
247,Bal3Constraint,56,66.618772272
248,Bal3Constraint,57,66.618772272
249,Bal3Constraint,58,66.618772272
250,Bal3Constraint,59,66.618772272
251,Bal3Constraint,60,66.618772272
252,Bal3Constraint,61,66.618772272
253,Bal3Constraint,62,66.618772272
254,Bal3Constraint,63,66.618772272
255,Bal3Constraint,64,66.618772272
256,Bal3Constraint,65,66.618772272
257,Bal3Constraint,66,66.618772272
258,Bal3Constraint,67,66.618772272
259,Bal3Constraint,68,66.618772272
260,Bal3Constraint,69,66.618772272
261,Bal3Constraint,70,66.618772272
262,Bal3Constraint,71,66.618772272
263,Bal3Constraint,72,66.618772272
264,Bal4Constraint,49,76.578772272
265,Bal4Constraint,50,76.578772272
266,Bal4Constraint,51,76.578772272
267,Bal4Constraint,52,76.578772272
268,Bal4Constraint,53,76.578772272
269,Bal4Constraint,54,76.578772272
270,Bal4Constraint,55,76.578772272
271,Bal4Constraint,56,76.578772272
272,Bal4Constraint,57,76.578772272
273,Bal4Constraint,58,73.5549899
274,Bal4Constraint,59,76.578772272
275,Bal4Constraint,60,76.578772272
276,Bal4Constraint,61,76.578772272
277,Bal4Constraint,62,76.578772272
278,Bal4Constraint,63,76.578772272
279,Bal4Constraint,64,76.578772272
280,Bal4Constraint,65,76.578772272
281,Bal4Constraint,66,81.015218938
282,Bal4Constraint,67,84.786861552
283,Bal4Constraint,68,88.558504166
284,Bal4Constraint,69,84.786861552
285,Bal4Constraint,70,84.786861552
286,Bal4Constraint,71,82.190032561
287,Bal4Constraint,72,76.578772272
288,Bal1Constraint,73,66.251832561
289,Bal1Constraint,74,66.251832561
290,Bal1Constraint,75,66.251832561
291,Bal1Constraint,76,66.251832561
292,Bal1Constraint,77,66.251832561
293,Bal1Constraint,78,66.251832561
294,Bal1Constraint,79,66.251832561
295,Bal1Constraint,80,66.251832561
296,Bal1Constraint,81,66.251832561
297,Bal1Constraint,82,66.251832561
298,Bal1Constraint,83,66.251832561
299,Bal1Constraint,84,66.251832561
300,Bal1Constraint,85,66.251832561
301,Bal1Constraint,86,66.251832561
302,Bal1Constraint,87,66.251832561
303,Bal1Constraint,88,66.251832561
304,Bal1Constraint,89,66.251832561
305,Bal1Constraint,90,66.251832561
306,Bal1Constraint,91,66.251832561
307,Bal1Constraint,92,66.251832561
308,Bal1Constraint,93,66.251832561
309,Bal1Constraint,94,66.251832561
310,Bal1Constraint,95,66.251832561
311,Bal1Constraint,96,66.251832561
312,Bal2Constraint,73,66.251832561
313,Bal2Constraint,74,66.251832561
314,Bal2Constraint,75,66.251832561
315,Bal2Constraint,76,66.251832561
