,0
0,4934016.621814846
1,4664736.596331848
2,4668494.972080248
3,5833390.353247075
4,5136076.211922631
5,4817248.433914952
6,4666243.721376651
7,5645965.882895134
8,5942691.78656502
9,4992918.105921193
10,4290588.4648283655
11,4762147.126475277
12,5089770.918987313
13,5296821.930421523
14,5066460.994376784
15,3950414.702589599
16,6036641.696901711
17,5463679.723822882
18,5320365.829071267
19,4271711.647116176
20,3979702.7331076246
21,4788983.5369175775
22,5678025.445230657
23,6146505.4821371995
24,4967369.8577289805
25,4749511.773339337
26,4563009.462873497
27,4111001.203850166
28,3876678.8056489294
29,5100669.431810876
30,5285323.713840692
31,4651621.745847462
32,4562379.344610886
33,3607777.0585832526
34,3653327.8455053754
35,5096438.694100403
36,4461024.851929079
37,4014963.4642683836
38,3585533.004373898
39,4168270.637268365
40,3290911.1802109955
41,3519044.366369522
42,3429787.3092311057
43,3331426.926817751
44,3891825.456425047
45,4136820.4396707243
46,3883374.6319278725
47,3560099.409973662
48,2103465.5071711363
49,2638025.7669122694
50,3027966.0862995987
51,3768690.650733905
52,3914824.851862672
53,4295935.705815718
54,3633724.8810744416
55,4080390.6263397303
56,5760194.73123181
57,5309242.568534651
58,5220047.572829162
59,5036957.40060345
60,4512135.616087899
61,3501218.418768925
62,4213340.450060377
63,4309849.043333775
64,3788088.963551502
65,2405040.2602997087
66,3203305.6357783335
67,3853855.5507789087
68,3283351.5246189125
69,1807170.2540643946
70,1984445.0092794923
71,3073666.833780865
72,3292914.659817197
73,3925992.158412467
74,3144214.916841603
75,2634290.167996778
76,3115665.885388565
77,3252267.102092741
78,3772940.4736134536
79,3743291.814290604
80,3026001.2575012026
81,3907001.9531385396
82,3544190.0290020183
83,3729118.4261470963
84,4556735.981778337
85,4946307.074743219
86,5693532.853090832
87,6329919.561884517
88,5110620.05011763
89,2828038.9615650396
90,632890.4478785371
91,3296716.209010779
92,1420590.022103569
93,3591712.200555283
94,4362858.2981083095
95,4115895.479387434
96,3118620.4639056334
97,3377263.7971231206
98,3203285.0566337
99,4144290.7244820874
100,3938902.2622084906
101,4379266.446637211
102,4223201.005517651
103,2789325.214666909
104,2295129.459954357
105,4326391.593388123
106,3215805.0033366946
107,3466926.671759299
108,3707213.5477174707
109,3512555.8918654486
110,3692924.6086574155
111,2370597.655784315
112,5115494.2446779655
113,3875048.475761893
114,3921270.4108314193
115,5241202.724556344
116,4300165.703292913
117,2285379.3736371268
118,1842882.4832444258
119,1121406.6880181888
120,1901451.3801518085
121,2049064.7409272129
122,2236665.166389201
123,3611994.7629524115
124,3187774.77497001
125,4033869.8008207697
126,4233906.254275795
127,3788034.783145148
128,3464992.8143770634
129,3964373.5162957744
130,2227996.089404051
131,1110349.5395875114
132,1165062.7425626419
133,1143885.0614684573
134,1740443.20983696
135,2473807.3966764845
136,2081971.9254830773
137,5310663.404365533
138,1747779.1086848958
139,1715623.78033942
140,3988724.058438887
141,3855590.590758705
142,4926442.526126375
143,4604209.929385941
144,3682619.293826843
145,3434508.797182613
146,2448585.8842360037
147,3540436.9337884444
148,2279041.151774053
149,2993092.9858109667
150,2448071.537631427
151,2061854.3551401086
152,2448280.7693271684
153,2653719.146266935
154,3899266.7624225398
155,2785568.8002641946
156,3381101.197061668
157,3969512.3829705412
158,2359034.285444838
159,1411336.0311341651
160,1203973.6516684082
161,4258510.559820366
162,4602552.020350482
163,6124891.95550965
164,5358872.234528451
165,5223956.171526499
166,3488325.1269631973
167,3018659.7657687515
168,4869988.167636635
169,5911671.0974837085
170,4906876.703356745
171,3172863.5461928616
172,4381306.305388541
173,2910897.444264013
174,1979485.3426390276
175,3719714.413625964
176,5879353.520368235
177,5305599.727520596
178,3561268.560261799
179,5611743.838938836
180,1139593.1665716046
181,3145869.60326593
182,5628032.201664454
183,6771731.488118521
184,6991299.113040718
185,7148912.31850356
186,7280684.319262857
187,4458456.030838791
188,5157836.181221037
189,7438632.264791595
190,8937701.956259146
191,6665068.672210451
192,7323508.330875819
193,8024732.298787896
194,8102669.429216057
195,5879719.905368994
196,5628481.131264314
197,6991585.20755688
198,7996629.622743781
199,7630314.0733800065
200,7283870.395461124
201,5086899.354217451
202,5213460.540460463
203,6992306.543780525
204,7880500.1702824505
205,6540441.002052498
206,6729524.894165333
207,7019847.397748843
208,5578815.2338254135
209,5254282.097525177
210,6544240.474056615
211,6408832.867964422
212,6156673.63521455
213,6565958.409997075
214,4289482.607142412
215,3874907.496170053
216,4339341.546982691
217,4760240.035382555
218,4798211.0427841
219,6407343.353071155
220,5990100.5850728005
221,8229726.093669639
222,6828126.668213638
223,5809337.366323858
224,5510928.190316013
225,5957006.759234018
226,5472787.928535848
227,6277460.509873879
228,6003003.470457048
229,5529185.182202135
230,5318587.761402734
231,7223329.4510759665
232,6973659.210706828
233,7649246.2725049285
234,8477116.258006075
235,7166976.466135448
236,4941693.730008207
237,6079493.726255028
238,7906088.199591469
239,7760163.602861298
240,8068441.013588629
241,6582406.204129469
242,7103776.310097843
243,4577566.5187996635
244,4658136.646258887
245,6112978.79345246
246,6663374.691640623
247,6340713.286498302
248,5769466.694812996
249,8423055.770428939
250,4703333.999280819
251,4696070.911325593
252,6652121.800725818
253,5998351.9397590505
254,7151576.326338889
255,6194064.788692595
256,5299528.182318655
257,4884165.710357352
258,5017257.056914958
259,7490070.571929804
260,6958615.201248044
261,6553629.058804443
262,5816327.840204501
263,6069765.949539573
264,5274039.9217054695
265,4417974.864252216
266,6477165.506809942
267,6036929.677697141
268,7071914.189402324
269,7144621.201830648
270,5829079.673964845
271,3943201.1117963404
272,4312110.982688832
273,5684452.338011657
274,5896400.094287621
275,5966892.887145063
276,5467673.441895389
277,6343370.891741673
278,3990994.878897493
279,3919593.3766684593
280,4726834.422256246
281,5792692.281766439
282,8533944.521809354
283,5479079.934160766
284,4824050.311529045
285,2990367.451530907
286,3589507.1919410247
287,4636677.091617767
288,5289262.028778826
289,5217408.662205924
290,5547029.169085026
291,5238451.830839648
292,4539801.064717433
293,4128496.7715457953
294,5941563.043312546
295,5939575.009127584
296,6068475.509460131
297,6218464.426269074
298,5415357.10006756
299,3247386.072396982
300,4428688.775141519
301,5047710.88952356
302,4366284.542678696
303,4521686.041693323
304,5570485.826191562
305,6059785.269764146
306,5313337.845431136
307,5403477.0868038125
308,6248542.643976765
309,6089039.745320331
310,6199418.809946519
311,5034601.823466543
312,6029069.19151869
313,4553789.168802771
314,4087361.569766464
315,5631893.360777367
316,4958760.8803923195
317,4638040.887079339
318,6145126.826503465
319,5526578.684061358
320,4929856.763650453
321,4413112.564215665
322,4421277.727521865
323,4710239.819845785
324,5985738.608433044
325,5707730.467370892
326,5208072.971527702
327,5268619.289322025
328,5077229.047617233
329,7031266.907729863
