,0
0,4727982.864945618
1,4480456.309724781
2,4472525.874077296
3,5732519.158384997
4,4974323.524888167
5,4590126.230843842
6,4460449.929123998
7,5525698.725384239
8,5901047.440986939
9,4822707.6994365305
10,4056917.865188866
11,4571610.661938247
12,4857113.2689344445
13,5128198.377631689
14,4886873.092507279
15,3738891.3219937864
16,5948101.7103755055
17,5314066.25151016
18,5185929.137377617
19,4026480.1037315037
20,3716590.0691249273
21,4582402.664082345
22,5584880.749205659
23,6053047.335326271
24,4732969.9868240515
25,4474060.795202377
26,4269528.330337355
27,3866217.7121870993
28,3612608.7915448598
29,4881098.701605573
30,5120457.607917946
31,4425329.087693484
32,4340699.117270458
33,3402433.301887044
34,3428517.3350892975
35,4935024.865583101
36,4260719.270230575
37,3768879.0438790997
38,3346322.5360539113
39,3906027.578093721
40,3023835.039521796
41,3249216.0710503426
42,3154527.9208851918
43,3077819.3330264552
44,3601744.9668462886
45,3857195.0593415243
46,3606700.7537582787
47,3312502.96360191
48,1983944.013717986
49,2486240.431245842
50,2807340.9129942353
51,3494315.282990094
52,3685885.7299206704
53,4066844.777251364
54,3409024.7699262546
55,3842024.9962179377
56,5662364.62954531
57,5103223.057507153
58,5041943.71607554
59,4837616.823132309
60,4268155.432620729
61,3272177.882004522
62,4005825.855226295
63,4098361.9589622337
64,3560950.8983183545
65,2244298.083861006
66,2934856.6171986535
67,3597363.9920253917
68,3092916.5589980083
69,1707989.7890442451
70,1864237.1245746051
71,2802947.328227077
72,3019906.6545532546
73,3646657.0354392896
74,2893240.680425235
75,2437442.232302168
76,2890467.0227879705
77,3004270.3974889894
78,3518846.6914679115
79,3481670.622384043
80,2810512.00939309
81,3605049.5697703217
82,3271098.328141686
83,3455481.518972619
84,4367690.039547116
85,4783812.285986071
86,5506057.155068305
87,6212562.211928162
88,4910758.295082688
89,2628181.1548666675
90,642765.8910109034
91,3036188.716479615
92,1308938.0152224938
93,3306517.4595285244
94,4122131.379710646
95,3888747.0095004016
96,2865302.6654200153
97,3087069.4426078238
98,2929959.4813859384
99,3891203.3244426115
100,3666459.3118701787
101,4171849.607553698
102,3987533.3961488893
103,2588236.0386197153
104,2162569.630362385
105,4082843.0354020307
106,2935965.9436350875
107,3179599.0027280236
108,3420676.5758836986
109,3230705.361015612
110,3436792.9269803124
111,2244142.089566405
112,4877457.672301258
113,3595784.1729114694
114,3634801.178416575
115,5036490.858456072
116,4025712.234051589
117,2186314.6701696273
118,1749434.8622793327
119,1048354.0199764074
120,1816880.3709018074
121,1899678.947886172
122,2101025.9119701306
123,3336617.462236565
124,2984830.795817419
125,3788509.748453436
126,4007757.850899154
127,3489895.926996459
128,3186757.6910441285
129,3679413.1130698444
130,2106796.18501464
131,1020679.928988453
132,1075167.302066671
133,1047678.0286343674
134,1654690.0189432583
135,2334051.0197666883
136,1983728.6398241278
137,5151200.272034741
138,1659042.659930562
139,1632913.9460219506
140,3710984.3258800735
141,3605670.5213881936
142,4754337.874800353
143,4411283.586416362
144,3392735.420324154
145,3154402.158595168
146,2282123.3498308733
147,3252121.0016449234
148,2158377.9088727063
149,2783541.5318830847
150,2324845.678228336
151,1979748.4245605974
152,2296253.483215268
153,2455009.0286681284
154,3626371.468275236
155,2559657.87913366
156,3100609.8263497683
157,3667954.762078591
158,2248116.3051872
159,1317500.493521391
160,1113739.8102225177
161,3976114.8309994647
162,4401931.596245457
163,6099060.331366166
164,5232236.595480202
165,5071317.451593238
166,3203974.0434546415
167,2804003.081825646
168,4702629.304696142
169,5880546.692310852
170,4745406.073511428
171,2942939.757882504
172,4173941.1639899136
173,2691030.3534464813
174,1863162.555231788
175,3444498.3752918835
176,5820522.706147148
177,5148317.263581208
178,3375185.8610104504
179,5479352.492687486
180,1080417.2165664197
181,2893200.5766500914
182,5488592.244587428
183,6763431.357120256
184,6960024.875296431
185,7122074.339736067
186,7243109.522216143
187,4249525.401256443
188,4976971.037235563
189,7353338.404323515
190,8793171.967192657
191,6621772.71295934
192,7297280.8840376
193,7988180.075953494
194,8069050.021383978
195,5837998.5134110395
196,5521876.1309580095
197,6932779.256900876
198,8002111.241519343
199,7569632.355285355
200,7207427.912751098
201,4905364.166480323
202,5034470.077969863
203,6922049.717290012
204,7856532.142902351
205,6469718.930969162
206,6639787.846342902
207,6968301.506566234
208,5470477.314866348
209,5109122.321478634
210,6424102.148581067
211,6314114.136008403
212,6029399.131383278
213,6464542.848639035
214,4075276.331912681
215,3606958.6432058527
216,4050493.7820628625
217,4551591.033175938
218,4609233.942929368
219,6318205.084078288
220,5867547.458252083
221,8141342.453756203
222,6744507.870417181
223,5705735.458031284
224,5364045.198586753
225,5837684.893326484
226,5314934.526997887
227,6131416.853984332
228,5868525.052088899
229,5373731.923990066
230,5136306.284804827
231,7188695.7963032555
232,6899510.232627496
233,7626131.495924202
234,8400780.375311833
235,7148647.810336879
236,4796387.992147317
237,5940089.77539692
238,7856483.613580041
239,7691708.517631162
240,8047012.725408914
241,6487858.83301969
242,7086310.4968264
243,4385045.529931884
244,4445490.446907944
245,5941857.405116086
246,6556408.09757512
247,6216347.486771812
248,5617533.945672949
249,8338505.538522094
250,4511295.91367488
251,4487445.960073084
252,6601737.396982617
253,5893006.540006587
254,7121506.307164039
255,6093408.246710455
256,5144149.643144089
257,4667718.166730289
258,4802963.007516655
259,7499373.8586929515
260,6934863.452472857
261,6477018.434916938
262,5670253.530147944
263,5927305.948309265
264,5125664.54656335
265,4241136.0140605895
266,6383134.433820662
267,5915097.979559148
268,7044276.499278942
269,7126156.645190247
270,5672434.412181121
271,3681787.649124861
272,4126451.366345827
273,5493497.409050821
274,5737265.018172409
275,5845665.880297512
276,5318004.019708622
277,6255862.258087108
278,3746469.0746470825
279,3677586.1708104433
280,4526813.945064016
281,5608591.935467181
282,8477801.964897234
283,5343005.197884207
284,4677279.820488644
285,2868709.6819942975
286,3436244.899742153
287,4382001.0257369345
288,5007463.16272033
289,4986365.636492579
290,5341850.147765341
291,5037501.179017222
292,4337089.539307642
293,3878062.0497311167
294,5914687.801710628
295,5906476.430533381
296,6037889.124307028
297,6107392.260862324
298,5204589.1093574185
299,3067041.588310965
300,4202771.9031537315
301,4834992.95805465
302,4160049.084569038
303,4332689.780340328
304,5367966.724087033
305,5936940.9533788515
306,5178401.972758735
307,5228499.990368254
308,6129513.337907157
309,5966336.291132841
310,6063209.611822357
311,4827964.155447478
312,5847959.78709663
313,4325487.816015902
314,3856996.11338197
315,5408414.0715117
316,4760952.6588485995
317,4462261.621184497
318,5962847.592404497
319,5325098.2923578005
320,4703273.325437769
321,4231824.860804939
322,4238863.598849058
323,4507030.591946649
324,5781900.432150252
325,5541396.6280432185
326,4986255.256761629
327,5034238.376167644
328,4857058.394621428
329,6959053.921464635
330,6590268.760345725
331,6425536.896934109
332,5431073.484958151
333,4664947.809279507
334,4613658.456927775
335,4827550.992589727
336,5659735.99518453
337,5225361.391662645
338,5630622.985269001
339,5513577.481066309
340,6021679.433143356
341,4590498.25671641
342,4043854.670305986
343,4488038.09915431
344,4931660.65111906
345,5436952.111240017
346,4931246.064165682
347,6313818.675517651
348,4863558.123123646
349,4210070.958639094
350,5656824.726904012
351,5348014.472154174
352,5281478.201079976
353,6394664.631722088
354,6468603.539918799
355,5142882.458462792
356,6231596.065002183
357,6433097.235603889
358,6123569.17265502
359,5790652.635340388
360,5404205.287481178
361,5093607.593723824
362,3772892.8428420615
363,4432076.9674215205
