,0
0,2664302.8323023757
1,2592836.315048584
2,2591227.5875672307
3,2936562.669992293
4,2674255.63674331
5,2605327.2655408764
6,2507333.473844259
7,2866873.437858165
8,3001966.977721081
9,2640426.610262734
10,2461763.88615813
11,2594995.9203272536
12,2753284.9853373384
13,2762318.1278406354
14,2634538.608781309
15,2219475.158768826
16,3253871.0692592887
17,2838429.094907441
18,2972028.8347167294
19,2454002.090799609
20,2326709.6582033373
21,2567707.080785645
22,2885966.2007692372
23,3412512.367140656
24,2731037.9526010477
25,2635084.85398667
26,2586815.700046123
27,2317515.511660346
28,2341062.6714838254
29,2737939.4437959166
30,2718340.293210596
31,2542812.296079619
32,2491512.8440727647
33,2078220.6549117558
34,2086907.4826866186
35,2618522.0637527118
36,2487864.9279717375
37,2284577.5658614216
38,2119341.923236506
39,2372756.355494706
40,2044671.2043078248
41,2092744.0329427924
42,2115005.192672968
43,2021927.15800563
44,2247479.9492072575
45,2284970.1768331816
46,2196800.3263136446
47,2042524.424877616
48,1448114.1716118206
49,1730556.5073301913
50,1887726.0667381554
51,2139830.5102916807
52,2199397.110979912
53,2400210.121587092
54,2042168.7930329542
55,2317011.234939084
56,2935173.7022909895
57,2774706.576114136
58,2709618.856720713
59,2660005.4605050343
60,2490204.779686669
61,2034009.987413438
62,2348809.6588581526
63,2424048.460151254
64,2135001.2365503935
65,1578115.9417942266
66,1996285.952213379
67,2183176.72546327
68,1954932.9567423863
69,1429785.719125478
70,1519686.2842927591
71,1941621.1719573296
72,2079619.6771052645
73,2309022.277165142
74,1958540.879651659
75,1746689.1122022974
76,1879167.6884974258
77,1974445.9909360202
78,2133895.236039972
79,2181226.920785813
80,1917214.231392747
81,2331414.7025806108
82,2140628.6455630613
83,2157373.199639404
84,2525665.25852804
85,2617403.841162017
86,2905017.3055022117
87,3329104.8829943556
88,2745879.2312289323
89,1835154.023048384
90,468227.64269239485
91,2004807.509203888
92,966125.2606092133
93,2265251.3055631067
94,2485352.665687548
95,2359574.729529967
96,1941243.212569663
97,2067693.5990227805
98,2000843.3040195405
99,2390761.592107643
100,2313666.5836898955
101,2462749.83892557
102,2354004.1739006112
103,1775178.5728324237
104,1580457.304507247
105,2462886.821197152
106,2024999.8647058622
107,2073465.4943866387
108,2159997.7353164707
109,2098003.2641734066
110,2110561.289607456
111,1632295.3274478198
112,2763036.288109602
113,2289508.165710432
114,2296447.6923446786
115,2840689.4857545914
116,2379227.7445671344
