,0
0,5911870.045519769
1,5213739.369882401
2,5182660.182042326
3,6030897.796198027
4,5718163.987368295
5,5098272.622873121
6,5114707.847647608
7,7004293.1775722755
8,6740674.601821013
9,5891145.154699061
10,4057744.062084262
11,4074321.918953446
12,4654243.309820248
13,5776663.0795423575
14,5029196.669289607
15,3853078.7645696094
16,6029830.998936543
17,5443304.407119648
18,4752364.252310219
19,5171708.865371821
20,4791544.729924968
21,5355655.143183747
22,5779248.031956056
23,5866244.099692884
24,4093250.5562269664
25,4583003.407768571
26,4203129.001875798
27,3736406.985040971
28,4077950.5254679383
29,5274181.4604155775
30,5336887.45592381
31,4138743.600540346
32,4004980.201183066
33,3740011.508554554
34,3740248.8896172517
35,4575779.64224657
36,4373864.200363433
37,3836397.707030099
38,3314476.479133244
39,3658296.063647146
40,2712357.972768266
41,3452443.3397054947
42,3095406.9326392175
43,3239706.7789227664
44,3429478.8217590638
45,3670534.3596709315
46,3223621.7623998243
47,3255067.048582061
48,1383816.2504808905
49,2076648.3572643455
50,2597382.912168763
51,3810193.264549027
52,3589708.6424623667
53,3551557.24267943
54,4663413.138792764
55,3807141.2291647843
56,5317332.633267342
57,5321520.972058145
58,5439107.990273907
59,5572545.3133735
60,4882398.321470175
61,3644090.6073694867
62,4481656.586921455
63,4621547.4439155795
64,4541178.5430540545
65,3020615.8408476627
66,3385347.8845483237
67,3589186.608685279
68,3379467.419330429
69,3186311.5238909433
70,2917236.5479708817
71,3526387.6553883306
72,3624857.253040021
73,4379515.639921984
74,3339137.6462152465
75,2069086.9026229104
76,2193026.271413971
77,2840660.696021299
78,2896173.01704889
79,2547083.3909918875
80,1895083.1333461031
81,2710016.973761382
82,2499919.400788393
83,3465402.720825989
84,4293705.039197064
85,4241247.518078751
86,4107914.054971326
87,4974318.456819425
88,4673918.762989302
89,3463432.1030965834
90,2631719.0003137644
91,3822831.1275546504
92,2120675.796815582
93,3693886.6429560245
94,4919225.000855695
95,4238118.017096982
96,3046131.8919612723
97,4328286.049909399
98,2447960.7619187296
99,3155883.3196839164
100,4115029.8844576087
101,4119720.7041833512
102,4828157.691051334
103,2299684.9521557814
104,2741809.541096002
105,3565941.875328589
106,4228278.965049038
107,4471121.063027852
108,4417276.021085298
109,3922469.027802405
110,3271256.0696848785
111,2561002.770737158
112,4947926.880748861
113,3674525.8184499345
114,3984588.274425017
115,4576523.77112581
116,3722962.8646080224
117,2458082.973922917
118,2999794.716710441
119,3549075.4442189187
120,4710295.907602573
121,4144878.0120133315
122,3404811.777754774
123,3736013.357170289
124,2949891.525467574
125,4642956.881763614
126,6861057.219782808
127,5762907.7967546005
128,5903479.2621526485
129,6738830.423942417
130,5419372.00400294
131,3936176.5812353217
132,4023067.5484184856
133,4088287.3529530363
134,3375381.9019307834
135,4494497.117694202
136,4010571.452096416
137,5727337.440687667
138,4484461.4640010325
139,4675582.651502934
140,5410640.854497773
141,5291299.468886377
142,6118747.771854038
143,7840751.462077808
144,6948809.0952435555
145,5639469.692194501
146,4057011.2224438484
147,5137734.253306119
148,3553603.8874553773
149,3576416.3035133136
150,4511614.0584379025
151,2727667.1688197386
152,2147626.350967131
153,2662662.19216772
154,4408213.417576722
155,3589734.0012990017
156,2802554.483949562
157,2806572.675798832
158,2391841.455535321
159,549831.0205640492
160,836951.8632142859
161,2207776.6731012813
162,1253823.9291122588
163,1992139.562890824
164,3164791.2803076115
165,3060401.15175631
166,1702162.4507554187
167,2320849.971020434
168,5771341.483450501
169,6461748.984536015
170,6637400.568435476
171,5276817.74157794
172,5911469.575015343
173,5258049.839480106
174,3892432.933710544
175,4052702.6471134056
176,2791862.2062071613
177,2211150.27025164
178,2577893.1689665364
179,3614107.994758956
180,1745114.9902851724
181,3090235.788615035
182,4458029.852919446
183,5568320.641261796
184,6028405.379357414
185,6880139.705254942
186,5825257.996477908
187,4757946.197280982
188,2923900.232654564
189,4795062.83588217
190,4704600.764883647
191,3868904.0753678894
192,3840266.044229033
193,4964069.152029408
194,4725156.50032937
195,4891856.852720583
196,5205256.152668039
197,4924026.356172305
198,5949563.128749899
199,5435562.453619917
200,5659792.624957486
201,4692753.9752329895
202,4078912.9377964563
203,7665682.37897363
204,9057155.61916212
205,8092267.387807911
206,6900446.491298558
207,7683192.113390127
208,5657244.545116185
209,6558713.5888070185
210,7485528.69898581
211,5923142.186035827
212,6345163.971980127
213,5819985.48649267
214,5392769.636646856
215,6141965.508153651
216,6980299.036694465
217,12403572.919059297
218,12842721.940798976
219,10114325.376705999
220,8198693.937190487
221,9571921.211694315
222,5917048.628553589
223,5592148.079819244
224,8044235.908576114
225,6871227.671441251
226,3857161.873526699
227,4806443.904461814
228,4850382.37338767
229,3653090.425804556
230,5180576.4694111645
231,6152046.906638829
232,6638706.376667936
233,5814989.60674601
234,5618474.530162238
235,5018722.854375304
236,4940029.010358257
237,3748480.866350109
238,5991665.829765025
239,6745202.480032552
240,6555281.688438868
241,5658098.531394183
242,5585379.496800801
243,5398247.960346057
244,6569082.801649006
245,8762833.34425962
246,7757567.877057592
247,5697795.074042784
248,3729710.3225497445
249,6026334.691491229
250,5009576.335841184
251,5435634.794640302
252,5902970.699358829
253,5762254.989998297
254,6836812.33705787
255,5801264.540194452
256,5066497.019814126
257,5110843.186615371
258,3518769.6171552604
259,6236368.307493739
260,6025132.397962365
261,4368515.65705106
262,5224901.890229861
263,4848794.30508909
264,4220005.116325607
265,3165880.745235106
266,3333188.019306956
267,4211743.219844985
268,5413079.255151914
269,7617761.191870419
270,8380544.7564480575
271,5681178.3154594945
272,5178038.359166622
273,6997457.965692221
274,6230433.421879286
275,5540811.627657404
276,5316448.994572563
277,6044198.478600067
278,3493865.150519032
279,4772141.51791533
280,5471215.983257225
281,5834458.889480213
282,6780406.811074288
283,5029996.184545225
284,4369109.767182917
285,2345762.576687042
286,3239656.8534067576
287,4834003.172731747
288,5043602.657138606
289,5121082.604891183
290,5055722.40855996
291,4305354.354774721
292,4230021.561052209
293,3817259.6295112153
294,5605030.1028169
295,6232010.820694358
296,6296647.4061620105
297,6604358.76045695
298,5556200.485120367
299,2766931.665762825
300,4074790.881124595
301,4639483.859146049
302,4784375.362743036
303,4662695.939685434
304,5403535.835759616
305,5185301.591527574
306,4636460.695277424
307,4652387.518119305
308,5878794.6758908
309,5514700.153457467
310,6246643.752702488
311,5347483.616992489
312,5768368.802545557
313,3099417.848123299
314,3219276.6141602127
315,4555663.012584156
316,4642838.065152304
317,3572672.4560738504
318,5370640.869200234
319,4203662.955113225
320,3136679.2611264815
321,3131647.7902963473
322,3776390.45758262
323,4215672.442566211
324,5521789.612744828
325,4208793.18103936
326,3813844.820284992
327,3986275.78088933
328,3065601.7451098454
329,5971507.723554532
330,5899453.396924358
331,5333209.513226809
332,4794727.9722148655
333,3861697.5361462054
334,4023468.986204874
335,4159798.15464067
336,4745931.095152883
337,4760327.627333601
338,5118726.979082692
339,5732533.101810565
340,5547860.891667185
341,4257584.145675153
342,3673393.085342654
343,4433724.461748668
344,4749643.349145923
345,6099854.73789299
346,4364015.159995363
347,6587772.484479351
348,3653676.3424961525
349,3222786.5496080504
350,5545540.40804199
351,6545014.47731184
352,6349351.924292529
353,7620085.3092079535
354,6137934.486638811
355,5000138.282111603
356,5251026.390665081
357,5482492.948314605
358,5545384.988618591
359,5507777.524141649
360,4865743.196353301
361,4028634.1373847374
362,3356852.8776752795
363,4444829.063103091
