,0
0,13781009780.080753
1,10586445.807702614
2,10269711.401790401
3,12233534.799547208
4,16735733206.401617
5,9980990.21023892
6,9931191.690969862
7,30272503334.20508
8,16980596954.778748
9,16475178662.13807
10,8554326.04590249
11,10816077486.973362
12,9537410.14939392
13,11832039.96100494
14,9970993.05767212
15,7682100.683985265
16,11942291905.500202
17,10870080.733471956
18,9334080.51835555
19,10190894.726892244
20,9398508.327785341
21,10734466.905848421
22,11548129.770633897
23,12876607856.841303
24,8477788.582747255
25,9447586.430171104
26,8318070.166966448
27,7408022.167210238
28,8407113.28576368
29,10679702.331574235
30,10825605.686994823
31,8819387.630325103
32,8517893.221169403
33,7807355.884410695
34,7926925.161536567
35,9701535.371027764
36,8866020.93578598
37,7999633.876117352
38,7310181.056340173
39,7798935.28796956
40,6179365.486903067
41,6884879.409438465
42,6924751.537447503
43,7262368.592259864
44,7724541.440451551
45,7900937.020637234
46,6753914.913185579
47,6752589.77981696
48,4056321.2038708124
49,5593417.398403579
50,6275243.207398959
51,10381041208.661467
52,7732809.587909468
53,10440666039.289253
54,38053533609.68092
55,7883097.252706459
56,21019330783.988823
57,10913715050.976717
58,23855848637.23871
59,11141618.917117642
60,10265016.19298675
61,7732639.304013444
62,9550792.782001967
63,9711351.768111607
64,9416765.532887219
65,6413280.0171344
66,7445700.898328204
67,7579912.909511584
68,7371227.231669723
69,7265451.042593899
70,6831180.202509057
71,7477428.312027515
72,7838254.75651854
73,9091004.010800408
74,7235546.964783471
75,5018370.5513838995
76,5760443.80346845
77,6939841.91734254
78,6337865.321426756
79,6079102.943970663
80,4937288.681169667
81,6520152.708971176
82,5972397.156050193
83,7343523.314580497
84,8991526.616745852
85,8803038.912841983
86,8588579.886316888
87,10401688.14429579
88,9656637.15532522
89,7427378.100786552
90,6022446.4322927175
91,17763957515.72992
92,5150198.253921939
93,12205288802.67661
94,10659404603.299637
95,8777221.43776171
96,6348719.054515451
97,8445780.779986808
98,5735149.654550175
99,7035962.117518183
100,8027606.915033723
101,7993577.135766996
102,9229551.003520114
103,5205857.559284684
104,5389327.409056047
105,7551137.074794398
106,14539059730.291565
107,9174489.760965595
108,8846434.254679406
109,8057411.351701266
110,6799919.613628366
111,5962784.214169549
112,10691861.301524453
113,8280640.235252575
114,19079672463.03942
115,9537173.87085563
116,7755898.863993377
117,5198558.168171192
118,6451023.603272302
119,22347221773.504658
120,15329785077.613773
121,8213858.413550566
122,6989785.663028928
123,7501873.571442494
124,6561469.205432096
125,10119189.668955188
126,16722085497.925371
127,11310444.638599984
128,11505825.260630064
129,13222904.373928918
130,10415303.839932928
131,7821070.00829427
132,8000450.483867828
133,8056545.597931235
134,6746730.67614217
135,8445044.515163468
136,7490981.422469856
137,11413172.261245813
138,8573511.672091603
139,9624488.79568594
140,11196503.86228245
141,11149276.610301614
142,11755472952.416967
143,11854598567.73176
144,13532375.065352669
145,11622483.69741081
146,8318766.3770689545
147,10492599.969399419
148,7386855.979952291
149,7394886.565956978
150,9333057.035933169
151,6067194.476927215
152,5429454.018888111
153,6369218.496637018
154,9465492.491680978
155,7701852.382371347
156,6293974.376807454
157,6572025.260448983
158,5744881.16965127
159,2883307.8138996554
160,3553069.636971269
161,5603613.460177592
162,4391881.291939868
163,5427928.059960513
164,7261901.867318798
165,6870266.259799867
166,5307189.543028031
167,6018015.539068456
168,12657683.540378947
169,12560952039.728874
170,12040154929.991014
171,11252238.186645597
172,12343263.154115874
173,11019765.04346067
174,8540857.873157283
175,8499187.455755023
176,6536741.911315942
177,5184828.937140782
178,6248463.529819755
179,14212342699.323318
180,5050025.134628728
181,7264863.823520816
182,15603722676.830353
183,11727265.062761081
184,12300612.07264857
185,23879156743.817993
186,16986911263.276588
187,10160689.306554293
188,6815386.339384084
189,10072156.414729455
190,10580964501.729805
191,7621847.574062386
192,7968841.82866189
193,10382348.129355298
194,9822184.922897207
195,10195076.164401768
196,10607830.223949067
197,10327345.263828818
198,11922370.800979253
199,25098321730.086514
200,27261683766.11187
201,20227165219.43619
202,8892274.849741666
203,37240405547.22382
204,49074345919.95659
205,39959753213.222305
206,17554523420.812088
207,30947814690.20726
208,11256594.767994355
209,13968796216.824392
210,32480351523.62063
211,13126564397.120378
212,10661198099.649073
213,11318128.771924876
214,10357106.874813255
215,12352782.065465827
216,14141986.848695166
217,298987799349.9384
218,364599017305.7346
219,73547717222.84802
220,34829196545.269905
221,101204923434.65181
222,11598329.811541725
223,11124698.345331779
224,16999168387.040003
225,13962746.212485947
226,8272129.0968873715
227,10132205.573828308
228,9865907.765303051
229,7555935.90947352
230,10495991.594540501
231,12360414.073930476
232,13002842.306932779
233,11224779.85214099
234,11223428.23189948
235,10202573.323489007
236,10066763.87079877
237,7852380.790957092
238,12073155.284627154
239,26093194881.899826
240,13166221.463155784
241,11187167.342813142
242,10874635.24118515
243,10526074.066406263
244,13145388.347010886
245,15205641118.13733
246,15425406.188733842
247,10937787.563190771
248,7385130.495542061
249,11893862.376382787
250,9586875.255577998
251,10518280.613805989
252,11401488.591461984
253,10982104.786937421
254,13062157.001163961
255,11125592.775584502
256,9604989.265776092
257,9830722.096745286
258,6864263.171594276
259,12451390.618526544
260,12190796.559105257
261,8487768.92921539
262,9968745.768112965
263,9132871.5567266
264,8064370.403813613
265,6316253.397586453
266,7045497.470991159
267,8153829.890387874
268,10502785.813317403
269,15497661.260102412
270,14266681564.49224
271,11211395.020908417
272,10080516.363767609
273,11723503016.509764
274,11269503341.889755
275,10918058.181802291
276,10643214.941487258
277,12187404.640934886
278,7306205.950524525
279,9610204.498917324
280,11016343.57862385
281,11558415.22927923
282,26701197859.53839
283,9870258.017842349
284,8375923.050836707
285,5554171.937787847
286,6977536.253868835
287,9884113.877266021
288,10449113.664013166
289,9995812.831894511
290,10186254.844487507
291,8829172.48010476
292,8632543.719468854
293,7824464.545754647
294,11359530.63311093
295,12171688.89074067
296,12697055.99563586
297,13124273.819788095
298,10949978.239979658
299,5971681.603467876
300,8441465.90339229
301,9443859.623423891
302,9790870.315144425
303,9351193.160872435
304,10747345.769720534
305,10507573.425944494
306,9591147.05718586
307,9787748.68200089
308,11696106.181847267
309,10959002.205576856
310,12362651.67596337
311,10692893.629987622
312,11136693.87038185
313,6261413.566704179
314,6844106.82071251
315,10115611.295972373
316,9628436.971638171
317,8004104.332172093
318,10852203.858255247
319,8544186.999853665
320,6985063.821376538
321,6767259.414895757
322,8387545.737771525
323,9014619.896584895
324,10924990.025435656
325,8305787.520807528
326,7943272.534218398
327,8320905.415490163
328,6749165.162325412
329,12349609.218959602
330,11872332.42022112
331,10837691.465816593
332,9749354.384540256
333,7918903.877972236
334,8045179.211801238
335,8384451.009916156
336,10267230.465874737
337,9870872.993234461
338,10873742.302197928
339,11844420.493330978
340,11755702.474643549
341,8987555.233377142
342,7949667.368890864
343,9397496.80388859
344,10349885.709457064
345,12718272.582444163
346,9494174.352086328
347,13395049.51594682
348,7754393.99952198
349,7083673.354061664
350,11745002.734645788
351,13631570.413396887
352,13004436.31172514
353,15767366.01593742
354,12144383.31698191
355,9453973.642991329
356,10420263.397866799
357,11151155.394981276
358,11359840.899045726
359,11017949.027289383
360,9610342.419494715
361,8143195.040749327
362,6869295.984930377
363,9026594.7496767
