,Constraint,Time,Value
0,Bal1Constraint,1,47.549
1,Bal1Constraint,2,47.549
2,Bal1Constraint,3,47.549
3,Bal1Constraint,4,47.549
4,Bal1Constraint,5,47.549
5,Bal1Constraint,6,47.549
6,Bal1Constraint,7,47.549
7,Bal1Constraint,8,47.549
8,Bal1Constraint,9,47.549
9,Bal1Constraint,10,47.549
10,Bal1Constraint,11,47.549
11,Bal1Constraint,12,47.549
12,Bal1Constraint,13,47.549
13,Bal1Constraint,14,47.549
14,Bal1Constraint,15,47.549
15,Bal1Constraint,16,47.549
16,Bal1Constraint,17,47.549
17,Bal1Constraint,18,47.549
18,Bal1Constraint,19,47.549
19,Bal1Constraint,20,47.549
20,Bal1Constraint,21,47.549
21,Bal1Constraint,22,47.549
22,Bal1Constraint,23,47.549
23,Bal1Constraint,24,47.549
24,Bal2Constraint,1,47.549
25,Bal2Constraint,2,47.549
26,Bal2Constraint,3,47.549
27,Bal2Constraint,4,47.549
28,Bal2Constraint,5,47.549
29,Bal2Constraint,6,47.549
30,Bal2Constraint,7,47.549
31,Bal2Constraint,8,47.549
32,Bal2Constraint,9,47.549
33,Bal2Constraint,10,47.549
34,Bal2Constraint,11,47.549
35,Bal2Constraint,12,47.549
36,Bal2Constraint,13,47.549
37,Bal2Constraint,14,47.549
38,Bal2Constraint,15,47.549
39,Bal2Constraint,16,47.549
40,Bal2Constraint,17,47.549
41,Bal2Constraint,18,47.549
42,Bal2Constraint,19,47.549
43,Bal2Constraint,20,47.549
44,Bal2Constraint,21,47.549
45,Bal2Constraint,22,47.549
46,Bal2Constraint,23,47.549
47,Bal2Constraint,24,47.549
48,Bal3Constraint,1,39.7793
49,Bal3Constraint,2,37.589
50,Bal3Constraint,3,37.589
51,Bal3Constraint,4,37.589
52,Bal3Constraint,5,37.589
53,Bal3Constraint,6,37.589
54,Bal3Constraint,7,37.589
55,Bal3Constraint,8,37.589
56,Bal3Constraint,9,37.589
57,Bal3Constraint,10,37.589
58,Bal3Constraint,11,37.589
59,Bal3Constraint,12,37.589
60,Bal3Constraint,13,37.589
61,Bal3Constraint,14,37.589
62,Bal3Constraint,15,37.589
63,Bal3Constraint,16,37.589
64,Bal3Constraint,17,37.589
65,Bal3Constraint,18,39.1982
66,Bal3Constraint,19,53.259
67,Bal3Constraint,20,53.259
68,Bal3Constraint,21,53.259
69,Bal3Constraint,22,53.259
70,Bal3Constraint,23,53.259
71,Bal3Constraint,24,40.6208
72,Bal4Constraint,1,49.7393
73,Bal4Constraint,2,47.549
74,Bal4Constraint,3,47.549
75,Bal4Constraint,4,47.549
76,Bal4Constraint,5,47.549
77,Bal4Constraint,6,47.549
78,Bal4Constraint,7,47.549
79,Bal4Constraint,8,47.549
80,Bal4Constraint,9,47.549
81,Bal4Constraint,10,47.549
82,Bal4Constraint,11,47.549
83,Bal4Constraint,12,47.549
84,Bal4Constraint,13,47.549
85,Bal4Constraint,14,47.549
86,Bal4Constraint,15,47.549
87,Bal4Constraint,16,47.549
88,Bal4Constraint,17,47.549
89,Bal4Constraint,18,49.1582
90,Bal4Constraint,19,79.8305
91,Bal4Constraint,20,100000000.0
92,Bal4Constraint,21,100000000.0
93,Bal4Constraint,22,90.1562
94,Bal4Constraint,23,63.219
95,Bal4Constraint,24,50.5808
96,Bal1Constraint,25,40.693
97,Bal1Constraint,26,40.693
98,Bal1Constraint,27,40.693
99,Bal1Constraint,28,40.693
100,Bal1Constraint,29,40.693
101,Bal1Constraint,30,40.693
102,Bal1Constraint,31,40.693
103,Bal1Constraint,32,40.693
104,Bal1Constraint,33,40.693
105,Bal1Constraint,34,40.693
106,Bal1Constraint,35,40.693
107,Bal1Constraint,36,40.693
108,Bal1Constraint,37,40.693
109,Bal1Constraint,38,40.693
110,Bal1Constraint,39,40.693
111,Bal1Constraint,40,40.693
112,Bal1Constraint,41,40.693
113,Bal1Constraint,42,40.693
114,Bal1Constraint,43,40.693
115,Bal1Constraint,44,40.693
116,Bal1Constraint,45,40.693
117,Bal1Constraint,46,40.693
118,Bal1Constraint,47,40.693
119,Bal1Constraint,48,40.693
120,Bal2Constraint,25,40.693
121,Bal2Constraint,26,40.693
122,Bal2Constraint,27,40.693
123,Bal2Constraint,28,40.693
124,Bal2Constraint,29,40.693
125,Bal2Constraint,30,40.693
126,Bal2Constraint,31,40.693
127,Bal2Constraint,32,40.693
128,Bal2Constraint,33,40.693
129,Bal2Constraint,34,40.693
130,Bal2Constraint,35,40.693
131,Bal2Constraint,36,40.693
132,Bal2Constraint,37,40.693
133,Bal2Constraint,38,40.693
134,Bal2Constraint,39,40.693
135,Bal2Constraint,40,40.693
136,Bal2Constraint,41,40.693
137,Bal2Constraint,42,40.693
138,Bal2Constraint,43,40.693
139,Bal2Constraint,44,40.693
140,Bal2Constraint,45,40.693
141,Bal2Constraint,46,40.693
142,Bal2Constraint,47,40.693
143,Bal2Constraint,48,40.693
144,Bal3Constraint,25,37.589
145,Bal3Constraint,26,36.9554
146,Bal3Constraint,27,36.4268
147,Bal3Constraint,28,36.2036
148,Bal3Constraint,29,36.2036
149,Bal3Constraint,30,36.2036
150,Bal3Constraint,31,36.695
151,Bal3Constraint,32,37.2761
152,Bal3Constraint,33,36.9632
153,Bal3Constraint,34,37.2761
154,Bal3Constraint,35,36.9632
155,Bal3Constraint,36,36.4268
156,Bal3Constraint,37,36.5162
157,Bal3Constraint,38,36.695
158,Bal3Constraint,39,36.695
159,Bal3Constraint,40,37.3658
160,Bal3Constraint,41,40.6208
161,Bal3Constraint,42,46.403
162,Bal3Constraint,43,46.403
163,Bal3Constraint,44,46.403
164,Bal3Constraint,45,46.403
165,Bal3Constraint,46,46.403
166,Bal3Constraint,47,46.403
167,Bal3Constraint,48,37.8572
168,Bal4Constraint,25,47.549
169,Bal4Constraint,26,46.9154
170,Bal4Constraint,27,46.3868
171,Bal4Constraint,28,46.1636
172,Bal4Constraint,29,46.1636
173,Bal4Constraint,30,46.1636
174,Bal4Constraint,31,46.655
175,Bal4Constraint,32,47.2361
176,Bal4Constraint,33,46.9232
177,Bal4Constraint,34,47.2361
