,0
0,3405961.10803787
1,2731636.114518572
2,2562044.857062877
3,3540600.8336508516
4,3299822.9891514964
5,2831262.219292018
6,2845137.690960215
7,3931136.0118018645
8,3737274.7578418497
9,3342644.87623705
10,2089309.3140186444
11,2157324.1264867126
12,2359440.9251335305
13,3037430.8245471446
14,2793592.5108635244
15,1994150.8912559836
16,3515822.7250647466
17,2982433.040885629
18,2558299.240076203
19,2868577.4559316104
20,2629057.210526967
21,2913427.5440374836
22,3262556.4233206687
23,3423709.418442589
24,2174459.715613268
25,2369701.8853835575
26,2175774.198439388
27,1852585.0080143556
28,2129223.6927622934
29,2702847.244036891
30,2712630.176957165
31,2016274.1793208374
32,1971522.5819488377
33,1686997.3492654434
34,1763785.0061036956
35,2268872.186970054
36,2230166.541812598
37,1927671.5435990342
38,1620131.438846381
39,1652296.4692781353
40,1459195.3279926553
41,1619570.44145418
42,1617516.9995018288
43,1794365.3612663967
44,1924719.362716851
45,1944019.5794452177
46,1692353.7290026005
47,1819383.18440394
48,560407.9751442791
49,1356064.6384397587
50,1543007.829576226
51,2004516.4191608247
52,1893532.2720861018
53,1858103.4608444679
54,2539801.232857846
55,2024058.9858284378
56,2612174.35962586
57,2640617.043029123
58,3045267.5087256497
59,3284019.3020590516
60,2401195.5288702883
61,1824035.6835842645
62,2295069.4008874
63,2458970.7646226767
64,2287733.326710761
65,1465636.3145272974
66,1699874.3757721717
67,1828690.1018380255
68,1677065.964614301
69,1601517.6179769486
70,1538097.077315657
71,1860709.6754134675
72,1815185.5491487046
73,2169367.2443580357
74,1648573.3640376478
75,1089504.428410492
76,1190948.184746062
77,1502976.6404395357
78,1541368.7364529027
79,1412685.1776630848
80,1248345.8150695553
81,1504382.4934835264
82,1456325.5153194636
83,1707780.8857785042
84,2142105.0188977583
85,2115399.7308427324
86,2094026.2788397367
87,2719308.2548445286
88,2387263.8573471513
89,1651307.3587988107
90,1399167.2029776752
91,1771831.052562091
92,1194314.4428923142
93,1927081.3235173689
94,2679104.172347752
95,2091019.05251829
96,1322777.3693522732
97,2176515.6610617777
98,1341878.3118655304
99,1615495.9752157775
100,2014454.850952434
101,2093221.5673258177
102,2661160.331965459
103,1030339.1094217255
104,1415289.6188110097
105,1779385.7406543228
106,2067695.2828734994
107,2259604.87204688
108,2148558.2500353185
109,1937526.2755075584
110,1624691.0948144181
111,1204501.819959267
112,2680983.9351961473
113,1944052.244923204
114,2037661.8833202806
115,2344302.6354785687
116,1858567.847926008
117,1315766.9161771263
118,1456378.4663044142
119,1694309.1544807625
120,2540994.5107216514
121,2063305.7891714673
122,1655240.5449874909
123,1822604.077729493
124,1338733.229491465
125,2481432.9958971445
126,3530876.996376271
127,3072160.8989146003
128,3192226.950446245
129,3947922.4040859994
130,2919279.0585749424
131,1822565.9909505171
132,1969552.17719955
133,1864527.1465671922
134,1555219.636138816
135,2311131.6383982035
136,1980385.8155654992
137,3069425.6130387783
138,2355761.6745599355
139,2595039.3118565506
140,2977055.416156518
141,2852070.261031811
142,3550812.279499556
143,4388667.0426174505
144,4048719.2354571605
145,3282757.9246204933
146,2141610.5222997447
147,2476360.649275302
148,1860263.2040417457
149,1870196.687448825
150,2321377.0537483594
151,1543294.1857407345
152,1442916.9471524167
153,1537368.6395818596
154,2146802.309260398
155,1875710.4111031548
156,1552336.8125902405
157,1610554.8112205216
158,1471738.3497571412
159,428967.809523491
160,475306.4312071731
161,1329819.136113217
162,554659.8421569878
163,830875.5133198614
164,1680732.9666040333
165,1655058.5398782422
166,1110795.7407067793
167,1247568.5780574984
168,3389662.6284809094
169,3834738.6401643353
170,3947560.1554935263
171,2839473.046729365
172,3356829.3127287957
173,2637851.151751465
174,2082359.4401214025
175,2120859.2706390386
176,1571800.9785835235
177,1407378.768491641
178,1552919.6223918414
179,1842186.6015853519
180,926920.1456818916
181,1702927.6700177882
182,2318982.5677609826
183,3134738.7129073497
184,3397898.5739716785
185,3991972.346104465
186,3263723.9298867243
187,2371043.639148272
188,1689069.4529434175
189,2386990.023143523
190,2375775.4133335203
191,2021319.0601473784
192,2049836.0840279786
193,2416368.2829355714
194,2362091.5618365356
195,2396269.9190324587
196,2608931.8864485943
197,2587355.0909697274
198,3500776.303031643
199,2965796.0310341534
200,3172923.882560075
201,2368738.5738286
202,2108080.972599953
203,4247905.336770268
204,4662506.0115419645
205,4380455.056791809
206,3944467.6691124514
207,4267141.578445712
208,3178848.1563191586
209,3762595.831189478
210,4242529.454221338
211,3294004.5326042
212,3638352.94868565
213,3460262.6273373943
214,3064281.7903395244
215,3654877.677268669
216,3965887.066723966
217,6279046.379919165
218,6350364.313838258
219,5286124.352998358
220,4395824.150332108
221,5053340.594594447
222,3532824.829339848
223,3131238.9123435905
224,4387551.911818197
225,3866612.987742601
226,2030270.3364284332
227,2497571.950097646
228,2509189.1889689392
229,1990774.563156481
230,2587953.997099038
231,3710355.974408393
232,3831705.0232941182
233,3280556.9708891385
234,3036243.288379899
235,2855821.567101801
236,2759776.5744831595
237,2035494.0483780603
238,3339914.5442347922
239,3806331.1445095977
240,3776443.840960338
241,3053673.3452859144
242,3042252.0411153273
243,2899953.1640737867
244,3776514.899000998
245,4607575.794578776
246,4290148.822028765
247,3049610.3689334556
248,1870322.3125826477
249,3548871.3322035037
250,2794191.8848928357
251,3023894.2057113
252,3416102.305883321
253,3236721.1261304324
254,3825683.34801262
255,3359079.943041922
256,2782920.557204343
257,2830238.514962437
258,1762518.241740985
259,3375416.9695556583
260,3612137.35443216
261,2172958.9750540648
262,2834637.596878777
263,2729522.4935012585
264,2042004.0013518
265,1569918.3587090154
266,1556423.0712512846
267,2355258.323155081
268,2982135.2656244803
269,4165117.514486271
270,4512551.167341672
271,3030648.6604009853
272,2817049.2003570204
273,3947498.8641068125
274,3270587.244092191
275,3008640.0673137694
276,2746905.039988735
277,3585882.599409432
278,1850860.6129892732
279,2410249.1791293006
280,3015264.127875297
281,3156436.583811599
282,3787184.047812826
283,2715602.1826517214
284,2209602.9573199786
285,1154629.1898482225
286,1510969.960609485
287,2633364.7703865794
288,2802200.9271578244
289,2871090.9692231626
290,2795999.2386055808
291,2135980.868985504
292,2106943.877838009
293,1873143.521619768
294,3078457.94520628
295,3525565.0294029377
296,3513017.780884472
297,3818735.4182590107
298,3060079.0980473147
299,1235450.53410685
300,2103659.6755181463
301,2406095.267080727
302,2496763.722105791
303,2423523.2609489732
304,2998141.4603354177
305,2619162.387363514
306,2382099.8944922206
307,2400984.6063839453
308,3379232.780529167
309,3176862.141137634
310,3695728.552268714
311,2912106.4618881233
312,3452814.6151199546
313,1542791.4025246564
314,1621259.3225111081
315,2441458.014612282
316,2409402.6566058774
317,1709331.0930373017
318,2961505.2531811832
319,2123124.5411594445
320,1588703.9295130998
321,1637359.6669802265
322,1813399.9980672603
323,2072204.3663869395
324,2894315.6136668175
325,2121613.6430105385
326,1938205.9677586192
327,2007198.2908944904
328,1625673.809227714
329,3161071.9358297586
330,3145935.8029700993
331,2839505.831127997
332,2481808.5419073123
333,2021430.6640966905
334,1938744.3124419784
335,2062792.7244643008
336,2589971.267577177
337,2561150.8770979
338,2781207.848732738
339,3084023.0415634443
340,3027747.2731675687
341,2137923.255016984
342,1830767.8584742614
343,2207336.018480333
344,2423320.582919055
345,3688051.68517215
346,2347081.353911435
347,3831687.217648913
348,1812492.463295721
349,1673279.0230171483
350,2998047.902099999
351,3433802.419053074
352,3457701.1434662696
353,4183156.3790537724
354,3225164.1197095662
355,2840274.232458129
356,2851057.3696628367
357,2990043.0178132453
358,3042591.411451292
359,3014975.735970745
360,2479843.473571549
361,2010177.9604426788
362,1503857.4517746498
363,2182616.0253705177
