,Zone,Time,Value
0,PGE_valley,1,67.498975106
1,PGE_valley,2,83.8829545221
2,PGE_valley,3,99.5874140546
3,PGE_valley,4,110.157723355
4,PGE_valley,5,107.137634984
5,PGE_valley,6,107.062132774
6,PGE_valley,7,95.4347925436
7,PGE_valley,8,88.4885892888
8,PGE_valley,9,87.3560561495
9,PGE_valley,10,71.8026010356
10,PGE_valley,11,64.1768778972
11,PGE_valley,12,67.7254817339
12,PGE_valley,13,45.4523299931
13,PGE_valley,14,30.9559058092
14,PGE_valley,15,29.5213638327
15,PGE_valley,16,25.8972577868
16,PGE_valley,17,14.1944153467
17,PGE_valley,18,14.5719263931
18,PGE_valley,19,31.1824124371
19,PGE_valley,20,47.9439028997
20,PGE_valley,21,47.6418940625
21,PGE_valley,22,46.8113697603
22,PGE_valley,23,67.5744773153
23,PGE_valley,24,64.4788867344
24,PGE_bay,1,126.560578324
25,PGE_bay,2,157.280539729
26,PGE_bay,3,186.726401352
27,PGE_bay,4,206.545731291
28,PGE_bay,5,200.883065594
29,PGE_bay,6,200.741498952
30,PGE_bay,7,178.940236019
31,PGE_bay,8,165.916104917
32,PGE_bay,9,163.79260528
33,PGE_bay,10,134.629876942
34,PGE_bay,11,120.331646057
35,PGE_bay,12,126.985278251
36,PGE_bay,13,85.223118737
37,PGE_bay,14,58.0423233923
38,PGE_bay,15,55.3525571863
39,PGE_bay,16,48.5573583502
40,PGE_bay,17,26.614528775
41,PGE_bay,18,27.3223619871
42,PGE_bay,19,58.4670233196
43,PGE_bay,20,89.8948179369
44,PGE_bay,21,89.3285513672
45,PGE_bay,22,87.7713183006
46,PGE_bay,23,126.702144966
47,PGE_bay,24,120.897912627
48,SCE,1,476.463353689
49,SCE,2,592.114973097
50,SCE,3,702.969981562
51,SCE,4,777.583929567
52,SCE,5,756.265658708
53,SCE,6,755.732701937
54,SCE,7,673.657359131
55,SCE,8,624.625336157
56,SCE,9,616.630984585
57,SCE,10,506.841889663
58,SCE,11,453.013255745
59,SCE,12,478.062224004
60,SCE,13,320.839976422
61,SCE,14,218.5122763
62,SCE,15,208.386097643
63,SCE,16,182.804172612
64,SCE,17,100.195873035
65,SCE,18,102.860656893
66,SCE,19,220.111146615
67,SCE,20,338.42754988
68,SCE,21,336.295722794
69,SCE,22,330.433198308
70,SCE,23,476.996310461
71,SCE,24,455.145082831
72,SDGE,1,75.6881889975
73,SDGE,2,94.0599306222
74,SDGE,3,111.669710613
75,SDGE,4,123.522447145
76,SDGE,5,120.135950993
77,SDGE,6,120.051288589
78,SDGE,7,107.013278404
79,SDGE,8,99.224337254
80,SDGE,9,97.954401197
81,SDGE,10,80.5139460141
82,SDGE,11,71.9630432303
83,SDGE,12,75.9421762089
84,SDGE,13,50.9667670878
85,SDGE,14,34.7115855582
86,SDGE,15,33.1029998859
87,SDGE,16,29.0392045035
88,SDGE,17,15.9165319145
89,SDGE,18,16.3398439335
90,SDGE,19,34.9655727696
91,SDGE,20,53.7606264132
92,SDGE,21,53.421976798
93,SDGE,22,52.4906903562
94,SDGE,23,75.7728514013
95,SDGE,24,72.3016928455
96,PGE_valley,25,66.1247186059
97,PGE_valley,26,82.1751256948
98,PGE_valley,27,97.5598476971
99,PGE_valley,28,107.914949045
100,PGE_valley,29,104.95634866
101,PGE_valley,30,104.88238365
102,PGE_valley,31,93.4917721676
103,PGE_valley,32,86.686991282
104,PGE_valley,33,85.5775161376
105,PGE_valley,34,70.3407241546
106,PGE_valley,35,62.8702581824
107,PGE_valley,36,66.3466136348
108,PGE_valley,37,44.526935795
109,PGE_valley,38,30.3256539468
110,PGE_valley,39,28.9203187639
111,PGE_valley,40,25.3699983018
112,PGE_valley,41,13.9054218097
113,PGE_valley,42,14.2752468579
114,PGE_valley,43,30.5475489757
115,PGE_valley,44,46.9677811127
116,PGE_valley,45,46.6719210742
117,PGE_valley,46,45.8583059683
118,PGE_valley,47,66.1986836155
119,PGE_valley,48,63.1661182209
120,PGE_bay,25,123.983847386
121,PGE_bay,26,154.078360678
122,PGE_bay,27,182.924714432
123,PGE_bay,28,202.340529459
124,PGE_bay,29,196.793153737
125,PGE_bay,30,196.654469344
126,PGE_bay,31,175.297072814
127,PGE_bay,32,162.538108654
128,PGE_bay,33,160.457842758
129,PGE_bay,34,131.88885779
130,PGE_bay,35,117.881734092
131,PGE_bay,36,124.399900565
132,PGE_bay,37,83.4880046157
133,PGE_bay,38,56.8606011502
134,PGE_bay,39,54.2255976823
135,PGE_bay,40,47.5687468159
136,PGE_bay,41,26.0726658933
137,PGE_bay,42,26.7660878585
138,PGE_bay,43,57.2766543294
139,PGE_bay,44,88.0645895863
140,PGE_bay,45,87.5098520141
141,PGE_bay,46,85.9843236906
142,PGE_bay,47,124.122531779
143,PGE_bay,48,118.436471664
144,SCE,25,466.762719571
145,SCE,26,580.059710787
146,SCE,27,688.65774845
147,SCE,28,761.752581493
148,SCE,29,740.86834348
149,SCE,30,740.34623753
150,SCE,31,659.941921183
151,SCE,32,611.908173755
152,SCE,33,604.076584501
153,SCE,34,496.522758738
154,SCE,35,443.790057758
155,SCE,36,468.329037422
156,SCE,37,314.307782083
157,SCE,38,214.063439624
158,SCE,39,204.143426569
159,SCE,40,179.082340954
160,SCE,41,98.155918657
161,SCE,42,100.766448409
162,SCE,43,215.629757475
163,SCE,44,331.537278443
164,SCE,45,329.448854641
165,SCE,46,323.705689188
166,SCE,47,467.284825521
167,SCE,48,445.878481559
168,SDGE,25,74.1472028485
169,SDGE,26,92.144901974
170,SDGE,27,109.396152749
171,SDGE,28,121.007571539
172,SDGE,29,117.690023313
173,SDGE,30,117.607084608
174,SDGE,31,104.834523938
175,SDGE,32,97.2041630185
176,SDGE,33,95.9600824337
177,SDGE,34,78.8747090704
178,SDGE,35,70.4978998001
179,SDGE,36,74.3960189655
180,SDGE,37,49.9291007996
181,SDGE,38,34.0048693153
182,SDGE,39,32.429033908
183,SDGE,40,28.447976037
184,SDGE,41,15.5924766617
185,SDGE,42,16.0071701899
186,SDGE,43,34.2536854323
187,SDGE,44,52.6660780859
188,SDGE,45,52.3343232633
189,SDGE,46,51.4219975012
190,SDGE,47,74.2301415542
191,SDGE,48,70.8296546227
192,PGE_valley,49,63.1990420247
193,PGE_valley,50,80.106660603
194,PGE_valley,51,68.4485848897
195,PGE_valley,52,64.9034390588
196,PGE_valley,53,63.7444490756
197,PGE_valley,54,60.6083585329
198,PGE_valley,55,66.9487154997
199,PGE_valley,56,61.2219414651
200,PGE_valley,57,50.7910316164
201,PGE_valley,58,40.9737046999
202,PGE_valley,59,31.0200260208
203,PGE_valley,60,25.3614278675
204,PGE_valley,61,28.9065736985
205,PGE_valley,62,35.6559859535
206,PGE_valley,63,39.3374835472
207,PGE_valley,64,64.1535043638
208,PGE_valley,65,82.4928164508
209,PGE_valley,66,88.4922940109
210,PGE_valley,67,91.6283845536
211,PGE_valley,68,90.8102739772
212,PGE_valley,69,96.0598168423
213,PGE_valley,70,98.1732691646
214,PGE_valley,71,94.7644750964
215,PGE_valley,72,88.2877663668
216,PGE_bay,49,118.498203796
217,PGE_bay,50,150.199988631
218,PGE_bay,51,128.341096668
219,PGE_bay,52,121.693948235
220,PGE_bay,53,119.520842017
221,PGE_bay,54,113.640672249
222,PGE_bay,55,125.528841562
223,PGE_bay,56,114.791140247
224,PGE_bay,57,95.2331842807
225,PGE_bay,58,76.8256963124
226,PGE_bay,59,58.1625487889
227,PGE_bay,60,47.5526772516
228,PGE_bay,61,54.1998256846
229,PGE_bay,62,66.8549736629
230,PGE_bay,63,73.757781651
231,PGE_bay,64,120.287820682
232,PGE_bay,65,154.674030845
233,PGE_bay,66,165.92305127
234,PGE_bay,67,171.803221038
235,PGE_bay,68,170.269263707
236,PGE_bay,69,180.112156579
237,PGE_bay,70,184.074879684
238,PGE_bay,71,177.683390806
239,PGE_bay,72,165.539561938
240,SCE,49,446.11088488
241,SCE,50,565.458780727
242,SCE,51,483.166481575
243,SCE,52,458.141922768
244,SCE,53,449.960817004
245,SCE,54,427.823707291
