,0
0,4945510.994781974
1,4691619.927646969
2,4684727.547183164
3,5904911.837047266
4,5158245.064655274
5,4810615.479473425
6,4668844.003622339
7,5689609.273530835
8,6048722.065517982
9,4999662.238105512
10,4258050.6685175225
11,4788144.809822861
12,5085197.1603470445
13,5298561.559189115
14,5055510.421804817
15,3909273.7700133007
16,6177354.248457686
17,5496960.836033271
18,5396209.603366641
19,4279264.469863183
20,3939692.1844549393
21,4763934.869984305
22,5760274.574110419
23,6217608.871393961
24,4961238.805899327
25,4751924.674803807
26,4556336.703693354
27,4115978.8063939856
28,3836418.5363824787
29,5111260.689540975
30,5295910.639327661
31,4633657.953537204
32,4549926.446759511
33,3592903.278726571
34,3603715.595808764
35,5089348.760080218
36,4460039.857703416
37,4004093.266753128
38,3564807.105713378
39,4134018.1847611186
40,3256350.824374425
41,3484384.112564984
42,3402592.7879204974
43,3291398.871102698
44,3856061.1645028736
45,4108792.618521941
46,3848751.172105758
47,3535652.659907865
48,2139748.7573711895
49,2625495.0240969826
50,2982991.8042194596
51,3743238.981843541
52,3897888.870005633
53,4286229.23809035
54,3624208.7641910133
55,4097614.278812574
56,5826903.018436504
57,5311811.910365781
58,5227472.791010467
59,5046449.032032767
60,4490684.055990542
61,3481809.584994959
62,4238730.638190418
63,4331910.416298989
64,3785427.5202596965
65,2425426.5951228566
66,3171000.5765454588
67,3815599.769914613
68,3278320.482733929
69,1763758.4372744355
70,1934234.0732131458
71,3050302.682360407
72,3256852.756714267
73,3901475.810025418
74,3088974.51943827
75,2592289.2280764114
76,3055570.4978219275
77,3219788.9326396273
78,3759377.2890402363
79,3705301.947503683
80,2985754.6772617414
81,3841246.058938331
82,3490348.888330056
83,3676568.4667147174
84,4569943.898680493
85,4992326.773841576
86,5727768.668212993
87,6435198.083603922
88,5138327.289441766
89,2820525.2079602564
90,1218753.1615554355
91,3204981.335890521
92,1473864.2817098466
93,3547187.6082708985
94,4360333.25735176
95,4099594.520050728
96,3084007.6375595154
97,3334895.9381944737
98,3159813.409431638
99,4115700.920833496
100,3871864.283861226
101,4384530.441618628
102,4188412.6599836037
103,2774224.118040615
104,2265849.381336694
105,4323189.058101073
106,3168129.5500513697
107,3412891.1556333466
108,3675726.125409418
109,3477117.3485136824
110,3671168.6738535287
111,2390676.283741797
112,5104700.568695106
113,3802805.6654415624
114,3848576.6157864193
115,5235524.364622594
116,4284871.792109643
117,2258798.49344128
118,1802453.5726206077
119,1222210.5175912948
120,1850506.7504177655
121,1999925.8597555617
122,2184519.4763958156
123,3565781.290309617
124,3149061.331628981
125,4002835.363591761
126,4223282.735631132
127,3703635.948286659
128,3408338.3444336643
129,3921204.7928036544
130,2178184.6989812204
131,1102085.1811094224
132,1153753.5907835905
133,1129437.358892649
134,1719190.0076986966
135,2421673.092920166
136,2040550.6322633754
137,5329767.351738555
138,1712052.6212754974
139,1679092.0850013955
140,3914250.9146536426
141,3817026.97937669
142,4934702.609742441
143,4635529.48305734
144,3613797.201793897
145,3402677.940339582
146,2404168.356287351
147,3460244.070108208
148,2210534.5660699867
149,2954833.4592461614
150,2377829.227934793
151,2011299.774827304
152,2378882.0927321967
153,2610574.8982126694
154,3823676.041827701
155,2744285.6002584584
156,3348280.0751858843
157,3916178.2974062073
158,2288560.601466626
159,1405110.9883947584
160,1202636.0231987566
161,4211979.386663291
162,4613102.531637421
163,6317050.630401416
164,5415000.749762869
165,5233892.340293238
166,3452803.076281988
167,2972996.7875339948
168,4877128.413525862
169,6029670.781313463
170,4918733.774518934
171,3103450.7748699877
172,4383915.165268686
173,2877685.4807304796
174,1984667.0626206698
175,3668570.2293404886
176,5993236.171955709
177,5329724.7110428875
178,3553012.5685385773
179,5648002.804096155
180,1201767.9645232577
181,3107996.803110831
182,5669540.332194765
183,6938467.125275028
184,7197212.192261019
185,7351846.450800092
186,7492993.976346555
187,4461771.211190295
188,5170928.400328154
189,7607563.595418579
190,9167185.79047612
191,6831051.337208228
192,7529067.990010296
193,8304413.133841129
194,8405199.20914606
195,5980074.282908305
196,5689886.3448917465
197,7146931.673879312
198,8185406.841650288
199,7770860.088624463
200,7437672.456274734
201,5115160.376290977
202,5236960.297081703
203,7125877.480351822
204,8060511.019132595
205,6677680.109577836
206,6882941.661303527
207,7188767.736424744
208,5634770.155088057
209,5276145.279551171
210,6615386.730392662
211,6511695.061027175
212,6214926.395590148
213,6668466.888826642
214,4290773.378139457
215,3824146.584325801
216,4306738.970817375
217,4791635.202906176
218,4808314.2030627495
219,6467585.591594005
220,6052863.65122778
221,8515999.088893974
222,6976550.356373955
223,5883870.504102766
224,5573767.184339526
225,6034731.449450624
226,5533125.775631459
227,6389061.822935008
228,6076513.5710055875
229,5582646.7469829405
230,5326272.8409373155
231,7466497.993910248
232,7168878.265945897
233,7913662.7144263415
234,8727663.890604913
235,7403782.428055611
236,4998866.17780386
237,6152649.922697357
238,8172687.201386041
239,8016566.820118835
240,8333678.783905293
241,6748994.510538924
242,7306575.498305638
243,4602372.174851987
244,4692941.458413319
245,6184305.232520868
246,6777899.577556353
247,6441607.631932011
248,5851521.36945505
249,8742197.695286952
250,4751240.660917931
251,4722890.712998407
252,6808812.608089048
253,6118104.736376161
254,7400945.63655637
255,6329521.46720286
256,5339077.405855759
257,4892320.778152051
258,5032939.234378136
259,7874640.293691422
260,7224669.854542034
261,6690797.891794584
262,5866531.509338881
263,6114837.89243128
264,5298426.463122275
265,4443845.868725939
266,6592294.303019464
267,6156716.458299954
268,7247341.035942484
269,7311476.35075201
270,5875729.612006001
271,3963617.9884555466
272,4340777.254717694
273,5712313.930925399
274,5994359.379429631
275,6021598.980010644
276,5506107.122084736
277,6456720.237555351
278,3986444.5048050615
279,3929675.0763677587
280,4748279.21519547
281,5832010.516761238
282,8778353.09093281
283,5515971.313388955
284,4838861.907386063
285,3039599.309707943
286,3643137.9177567777
287,4674884.35196227
288,5266629.645785806
289,5220754.918657183
290,5562922.845721487
291,5256727.650991209
292,4560229.0358268265
293,4135790.8147725496
294,6007693.656651377
295,5998310.144587496
296,6142249.30594275
297,6274044.419913183
298,5436874.082035615
299,3237859.958236902
300,4440028.321268805
301,5092975.903295639
302,4373064.3357417295
303,4558146.397375546
304,5612606.6959106
305,6116855.804287153
306,5355987.003484938
307,5430830.429823999
308,6290299.58374896
309,6145575.458014569
310,6238047.239118738
311,5072097.265849734
312,6060128.063169324
313,4617801.53300148
314,4118801.146249944
315,5724832.473434751
316,4977169.375648168
317,4684917.991142013
318,6222575.807168801
319,5557762.360902409
320,4966771.779160391
321,4458034.990617792
322,4471758.890860741
323,4749687.082270416
324,6041561.373592427
325,5778990.8331014905
326,5238101.7716271905
327,5333221.385285862
328,5128589.589065156
329,7156361.878729984
330,6840739.186438689
331,6606822.719564713
332,5607325.22773834
333,4903957.352322046
334,4881911.8242159225
335,5079111.160399982
336,5929401.353479941
337,5484233.017851097
338,5913278.221712471
339,5787447.978326085
340,6287821.66558693
341,4800660.268195621
342,4264024.856524994
343,4732008.1235612575
344,5188600.335710798
345,5656869.360954913
346,5133714.980890695
347,6593392.593715543
348,5096668.41470359
349,4482875.940878815
350,5952191.372275076
351,5629507.250882972
352,5530701.932324949
353,6654612.234540522
354,6709031.597222451
355,5343279.579468437
356,6403511.669803907
357,6574326.450109736
358,6303944.982031038
359,5989358.57800394
360,5600487.690208232
361,5314151.248858387
362,3991196.74042187
363,4669983.62019473
