,0
0,2519284.1904482297
1,2384918.472914397
2,2378087.521484239
3,3427546.4652479333
4,2481962.6652755034
5,2480843.701632504
6,2348290.3292153776
7,3245758.3097899463
8,3542558.2785877315
9,2453193.9338477743
10,2230476.8886137484
11,2401692.388544143
12,2505878.4483465925
13,2670717.955488638
14,2541997.982525846
15,2081485.6799231647
16,3594823.439586072
17,2872262.929963601
18,2982146.403877352
19,2142938.516165051
20,2052095.980590756
21,2446872.418245749
22,3261577.341301064
23,3727870.8305339846
24,2739970.479936245
25,2425207.5478328415
26,2298723.5462797796
27,1946739.5781073787
28,1966546.389877163
29,2562430.0242684707
30,2598794.7560996227
31,2378381.5506114075
32,2342286.2935070856
33,1718017.4725575247
34,1841957.056476024
35,2539343.0204904284
36,2303238.624398495
37,1997928.298040852
38,1824690.366657751
39,2069080.0925191313
40,1680098.1890894517
41,1726749.238042887
42,1712970.1789993688
43,1715665.5179190224
44,1912417.9666618025
45,1967768.0513772354
46,1886447.6847876795
47,1709838.3112864057
48,1026460.0341661996
49,1456519.6564684466
50,1593439.7900288787
51,1828273.027456788
52,1935523.5594356116
53,2162828.3597656116
54,1711577.8330061615
55,1992285.223555614
56,3405500.705858089
57,2920948.8153797765
58,2602134.616555493
59,2549301.0751537383
60,2320914.780369434
61,1683005.4781310903
62,2041133.431208499
63,2071633.139286148
64,1738013.468738625
65,1354097.4714356428
66,1659306.9011862462
67,1904662.9810395953
68,1605884.2451136461
69,1203548.8435794015
70,1301994.2182051335
71,1607060.4520318713
72,1682909.4093006388
73,1822646.1706938623
74,1621333.4794713
75,1427857.7138820796
76,1631956.1125410667
77,1623886.1429521332
78,1781402.4903678002
79,1884010.9353283732
80,1609331.3595552435
81,1953362.1435541038
82,1828256.6579642138
83,1871198.5960777455
84,2347433.4675502777
85,2751999.381435357
86,3229661.1863988917
87,3531391.864296547
88,2733520.7532435707
89,1478432.1907252339
90,759865.3871089796
91,1763711.357637871
92,917160.295791215
93,1822337.4064818085
94,2221596.200383688
95,2117194.823628126
96,1548096.4601926634
97,1669831.5596741647
98,1618194.265723434
99,2071899.090636938
100,2014624.438504757
101,2182865.7239466873
102,2058084.2691940565
103,1419119.4148683692
104,1276955.449902976
105,2240023.950553322
106,1722893.2361045375
107,1813954.482336006
108,1860681.8384716138
109,1803353.3987999833
110,1795975.8371140128
111,1222419.7370483377
112,2563346.0964185903
113,2015235.96810321
114,2009934.2589648957
115,2719265.0079613114
116,2130304.3843805064
117,1262929.4834387912
118,1110103.0612304322
119,524987.5611342237
120,1313682.434951386
121,1298680.6070143112
122,1362548.1258410213
123,1833403.7027541988
124,1650582.4595552448
125,2005776.5872781524
126,2213263.198690562
127,1967682.5191083848
128,1776983.8088173282
129,1940884.737272744
130,1457458.8040268507
131,511095.9711466423
132,543225.6981605123
133,528677.6444890491
134,878837.2994647645
135,1498420.982828228
136,1314268.7468815914
137,2677866.275621835
138,1089748.7859596536
139,1090043.96375283
140,2090609.5695109554
141,2031349.7667934448
142,2465359.70407118
143,2348082.835096221
144,1890367.1719752166
145,1767387.4613566082
146,1392086.274174664
147,1889450.3200033896
148,1479247.5426591847
149,1665985.5840700085
150,1469405.0463547541
151,1295119.9443560187
152,1554701.5963696442
153,1544676.6205554218
154,2136899.512730751
155,1536981.1907847147
156,1750597.6860842665
157,1924367.7714342396
158,1453311.436378584
159,554246.7188904876
160,534952.5261453327
161,2208193.8024272025
162,2352489.2212932273
163,3639411.961533344
164,2789815.8991923877
165,2553688.987375171
166,1782856.760491099
167,1631822.8445023631
168,2416305.545653456
169,3527054.172624078
170,2430072.6962112705
171,1736499.929912869
172,2236831.869730466
173,1579050.518370209
174,1129290.4382863466
175,1881816.276049912
176,3490006.500967068
177,2667239.4957793043
178,1826631.2897906268
179,3123137.1479251534
180,784174.032188162
181,1583765.8189962166
182,3164104.7054160507
183,4038676.194713618
184,4107228.400683562
185,4098993.936408084
186,4139331.377186759
187,2296720.1683560247
188,2575864.319106426
189,4299930.4423019895
190,4697667.701147657
191,3951269.4153009104
192,4203572.336411279
193,4433654.726200094
194,4455853.137698706
195,3575963.4155040956
196,3253647.5087186825
197,4033479.219915741
198,4440243.868984675
199,4215964.907092932
200,4219115.554224581
201,2884771.6578358975
202,2896311.201270006
203,4038602.380246219
204,4423628.059302474
205,3825497.367156766
206,3923750.476348159
207,4060643.577492242
208,3069751.960731451
209,2952646.8272708496
210,3764347.5464424156
211,3730195.029542256
212,3512775.314104545
213,3857784.9247589554
214,2239160.0622557956
215,1955564.887676649
216,2188777.685122622
217,2557880.270777674
218,2471401.4626326556
219,3812909.2094569057
220,3422301.7461153367
221,4703408.236650011
222,3888558.3657421065
223,3395865.1323760017
224,3053640.209479091
225,3488643.412600202
226,3179173.9255125634
227,3608627.9551035557
228,3453543.3028715313
229,3200653.9333233037
230,2752830.8041486847
231,4178040.1923908526
232,3926197.098661965
233,4251306.412281841
234,4806905.429819851
235,3953178.991904251
236,2838141.6469630534
237,3470090.879599949
238,4534959.280872982
239,4391453.080948801
240,4511598.327441576
241,3692288.1547881872
242,4082923.7614666205
243,2551076.5069544395
244,2609608.2757901847
245,3372811.829396198
246,3807710.990841129
247,3615621.8570879446
248,3103711.9951406717
249,4764204.825481754
250,2535724.3950012135
251,2474571.444402337
252,3785713.443047914
253,3423208.8216290073
254,4112731.066777022
255,3621057.4658313124
256,3152437.504250239
257,2752390.1784265293
258,2762593.85546507
259,4269997.228899146
260,4010786.9929884654
261,3788772.3777967133
262,3362783.33132185
263,3515445.553227251
264,2911184.688364836
265,2407905.4934950955
266,3584619.748692389
267,3287717.2852478516
268,4019853.1992062773
269,4049694.9749066494
270,3319143.3615624956
271,1911305.9229198515
272,2318913.465337553
273,3091219.22181359
274,3179806.4643212752
275,3156739.1474780724
276,3104467.4427528265
277,3833663.384518997
278,1945374.1158739207
279,1890221.732512723
280,2586926.7623487553
281,3196260.100428468
282,4723694.183425362
283,3167872.3360954234
284,2689326.523749075
285,1380254.854029849
286,1882363.799354695
287,2508991.317476362
288,2810654.3814630867
289,2888799.3050555126
290,3070841.8119434305
291,2945195.277247885
292,2527024.1434277007
293,2088277.9749872186
294,3607387.6151338546
295,3337287.444659963
296,3698087.6212961404
297,3485615.709452065
298,2936000.440685682
299,1564087.8184627811
300,2391773.6100471755
301,2823321.1786558875
302,2406005.824977139
303,2543148.1775203845
304,3033286.9915429284
305,3250958.3909873953
306,2962021.539584921
307,3066550.8561926438
308,3578135.6024453244
309,3462146.053648792
310,3531822.823086883
311,2770463.545288817
312,3252012.836344285
313,2449042.1224901644
314,2064165.8732990683
315,3010546.69996298
316,2646197.361129882
317,2442441.654024766
318,3316620.359106777
319,3005319.310048222
320,2651980.7364826626
321,2402485.311221811
322,2344085.0617561983
323,2571171.984750746
324,3194256.477768978
325,3067028.104022605
326,2814118.635845061
327,2820842.4852392264
328,2799336.980107129
329,3876197.295473511
330,3698993.688719829
331,3635536.284483729
332,3272650.9381331583
333,2752671.1688767243
334,2702275.3258594433
335,2754879.5916560534
336,3138967.750341264
337,2934436.534643071
338,3153723.1851061382
339,3061930.2137494087
340,3327761.851978869
341,2629146.171103924
342,2261155.4136139057
343,2534550.9472550275
344,2888589.8059827494
345,3058601.7016831464
346,2797816.4467226197
347,3433359.585964929
348,2729325.5715343
349,2280038.357551066
350,3147818.3719510585
351,2980097.8426776323
352,2954438.024675575
353,3544027.749065163
354,3672587.6631652704
355,2941245.1004074314
356,3445831.4106919654
357,3451780.6166545474
358,3687063.8715343797
359,3412957.4598120973
360,2945704.994084876
361,2949107.7473815274
362,2126757.5874686884
363,2531544.3298852206
