,0
0,1149181.5923439183
1,1110075.1620950878
2,1124060.2318995548
3,1372761.2673648086
4,1200073.2630323023
5,1111211.4856644792
6,1060067.350985149
7,1269026.1996404426
8,1410955.7298357077
9,1178756.3106960694
10,986717.4743452836
11,1133591.923749297
12,1196390.085456882
13,1220289.6022918462
14,1147154.3562728073
15,809185.8209370614
16,1442472.247540253
17,1235304.7164559586
18,1244998.9612489291
19,885262.6243705081
20,798182.8066107534
21,1113528.6975185475
22,1304208.6805225408
23,1461576.1701692299
24,1038125.025650281
25,1035846.4468805684
26,935992.0509342802
27,833655.3640365531
28,772944.5282812088
29,1176098.2986129276
30,1213452.6716457512
31,1034740.0790957945
32,1021252.328384142
33,709238.4222963429
34,742960.8492060201
35,1162075.9701105026
36,1047729.8105675174
37,882669.7172261751
38,726584.4919633945
39,905155.0159000028
40,636877.9720154493
41,690162.2055833237
42,670289.2116878323
43,645719.2971515411
44,770241.8080109109
45,854130.50408264
46,775555.1619443108
47,693461.1994237934
48,400650.1106171542
49,524608.8184858746
50,573471.4165479195
51,741812.3968130044
52,838487.2048148365
53,1000100.6394112302
54,733868.7058617888
55,844039.6740779894
56,1321571.5643186797
57,1222062.1520287897
58,1240727.1683104918
59,1124488.0137031442
60,994230.8181577558
61,680829.8249793771
62,859870.2847225312
63,887339.7017528671
64,775952.5830715193
65,506429.6484485809
66,613952.9643183665
67,771183.1627998862
68,686042.8116513822
69,364566.8790252334
70,392173.2693857833
71,556861.2078813773
72,614489.0380528105
73,788971.012015075
74,596299.9610709578
75,500601.54021624045
76,596825.0525239467
77,642029.5131037822
78,789213.7767645903
79,775704.9730757121
80,584489.8899858171
81,776523.5896919805
82,684738.5699170663
83,725732.6960431681
84,1051073.639222889
85,1109860.2113507604
86,1346128.391629962
87,1452991.9839059466
88,1167352.3814817867
89,523330.53840807086
90,215279.54361965286
91,644059.9600478135
92,374084.9750864307
93,715030.8950916983
94,1033555.6838486725
95,908319.5383771618
96,577282.8975552218
97,628078.0450444443
98,595067.4188302683
99,911480.0587347483
100,811358.503690962
101,1041811.7362263104
102,965890.819845733
103,545484.8194735987
104,451697.1526358414
105,1018089.8417760073
106,582117.314611539
107,654780.334491798
108,738880.2708883437
109,656440.1273665151
110,726521.0185786365
111,478625.3796243597
112,1238875.500556467
113,769649.2883822662
114,776651.5136968072
115,1239587.6248087757
116,860922.0844448622
117,465541.92915339326
118,402590.1020075655
119,275946.6896802569
120,383328.93240963743
121,393220.5595281396
122,434698.79638222157
123,707206.7718110578
124,603429.9794118018
125,856757.8875545321
126,979919.293108691
127,711442.75041129
128,657194.4113947648
129,788182.2311542605
130,464871.91499799385
131,286191.873812941
132,296173.8216759171
133,281950.02492446627
134,385351.4088884602
135,536573.1198544836
136,475171.3889393049
137,1222199.911194912
138,385358.34063329204
139,364794.7194269552
140,808011.3421081404
141,795074.9839298355
142,1140059.4199836762
143,1070555.5598111488
144,695951.9059876683
145,635486.9049323486
146,478448.61361743434
147,689950.746746465
148,472897.3528773721
149,623048.2481758057
150,510528.27659519657
151,449803.9531069002
152,509740.4488767039
153,513372.5207058111
154,791225.9703823881
155,534840.1554394605
156,636621.5187796124
157,779987.504456931
158,464511.8172063271
159,276769.60801566794
160,294715.540183473
161,946665.3813351716
162,1092818.689533188
163,1507719.0938260953
164,1237471.4462512028
165,1203692.3879742732
166,657826.4814950805
167,559127.2575352701
168,1136464.1151157098
169,1381272.4642927886
170,1144353.6432021426
171,627261.6690544775
172,1041942.6645029123
173,558573.4588033963
174,407589.747737035
175,717398.6346106677
176,1388995.4857472298
177,1236804.214708214
178,739987.8487975721
179,1255153.3317370387
180,273113.7388474584
181,578989.9108011539
182,1272468.7146136453
183,1663505.354253607
184,1640623.4761390002
185,1743622.7166115781
186,1782948.7821146443
187,1029356.2273511493
188,1199591.905098421
189,1859708.0981305453
190,2250689.228580422
191,1548050.590721223
192,1846597.0003058258
193,2013181.6987976704
194,2014343.4842299274
195,1368082.3356820154
196,1276694.6110297428
197,1679056.8278967955
198,1974112.0065553715
199,1861582.045568024
200,1779807.4141526343
201,1151659.4914238383
202,1200548.9900050862
203,1657337.8209910023
204,1928483.7151498315
205,1524449.3923958943
206,1669285.1413668988
207,1698509.0750083833
208,1284888.5944109692
209,1158470.8302513028
210,1601293.1895321468
211,1539697.3532803254
212,1437851.9703875245
213,1570912.6003792202
214,986226.5791513749
215,781149.6010875864
216,863800.3159565303
217,1008225.9784718124
218,1085342.8666360339
219,1494478.906614508
220,1400822.1325051156
221,1988422.0860448822
222,1580565.1802917435
223,1344776.3933607477
224,1238204.4941826556
225,1324117.7679493702
226,1190046.317446414
227,1409684.0956453534
228,1358980.0368612208
229,1281323.4573026418
230,1211139.2669315329
231,1714139.1096271165
232,1659949.181217087
233,1842640.9042843115
234,2102269.158851061
235,1652464.2397675088
236,1073492.9847694994
237,1419366.8488735484
238,1909684.6083164327
239,1871066.1307025233
240,1963293.6303703662
241,1495558.1599957678
242,1613276.7757249794
243,965105.4576347936
244,978874.3849554313
245,1363307.2264663412
246,1558598.8969698853
247,1445108.96644926
248,1310029.8675243773
249,2157551.271687824
250,1070400.431738136
251,988746.4377582719
252,1503191.856427155
253,1339623.837968755
254,1731152.6931293095
255,1426327.468146802
256,1235421.192617728
257,1082568.884995208
258,1124676.1233541698
259,1757346.8194363862
260,1633174.8077115747
261,1513572.3558114378
262,1329650.1902594997
263,1397477.2892538616
264,1221231.632299576
265,942058.090682174
266,1493144.2516847998
267,1302000.4328532072
268,1590929.0986170478
269,1619086.5755150772
270,1353419.7973020389
271,767192.9956369139
272,857412.9574107346
273,1332063.3317896512
274,1421507.3058691572
275,1387735.9796885266
276,1240480.6351374628
277,1459832.2572226613
278,788980.1744146819
279,772380.9447113833
280,1022484.4588201604
281,1363028.600296792
282,2171535.4738900843
283,1231540.9310953014
284,1076877.2833975449
285,587020.6204300921
286,686000.8099760434
287,974898.771825338
288,1164539.0897664556
289,1169967.0214442522
290,1280704.53522813
291,1204428.239634799
292,919109.2834045324
293,796267.1282168807
294,1411675.5469584437
295,1410303.9145457915
296,1443516.1379647856
297,1443527.344687194
298,1266899.848976306
299,625786.9843033823
300,863476.1167763862
301,1164078.8431758562
302,865301.8889621211
303,965657.1079712469
304,1287039.8157547312
305,1398843.871767567
306,1244051.7506093895
307,1209096.3699541294
308,1449651.0704836466
309,1414556.7354176543
310,1462982.7995293322
311,1131626.1588343508
312,1396155.580429511
313,916814.5549480482
314,808886.762843519
315,1237805.3133272934
316,1034730.0742629278
317,975396.4735383968
318,1412158.055552203
319,1316319.1392839043
320,1133070.951288191
321,923685.9614474335
322,931320.5281379641
323,1019497.5322603686
324,1447967.34640941
325,1370444.9813815774
326,1171745.8707620827
327,1170381.891136036
328,1121248.34461657
329,1603275.8124875901
330,1469203.7259009953
331,1466926.3014014666
332,1342397.1390758858
333,1073256.071188594
334,1068002.9355637664
335,1147994.2140975401
336,1338574.1014247634
337,1262578.1624192575
338,1323481.6984396977
339,1297493.300651357
340,1476719.5793779506
341,1026364.4812731309
342,825546.521966299
343,934096.8676579882
344,1138606.357001272
345,1379867.5622511543
346,1150415.126228354
347,1567828.5486085098
348,1148785.6812982853
349,902454.5725435846
350,1300830.6231899653
351,1222779.9437146918
352,1201409.0958660487
353,1540185.0186794784
354,1516629.0895577113
355,1179045.5598163789
356,1487399.579123007
357,1506922.033975494
358,1423284.6197361022
359,1363500.9619323222
360,1245293.0682328506
361,1230606.9135527103
362,753807.4701849391
363,946554.7298867282
