,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
0,291684.474604674,261623.23987105774,41137.15144637039,235496.4776598966,8005.479338584888,12508.561466538888,12508.561466538888,39474.47944372561,4178.173490553496,1380.539128409826,5503.767045277111,79590.65837415674
1,172828.57803385428,143749.0328961855,41137.15144637039,117335.95620965981,8005.479338584888,12508.561466538888,19933.452398836802,109676.97987302781,4603.150619686311,2632.827823390057,5503.767045277111,97472.5603046745
2,139171.64943412304,100989.44557088615,41137.15144637039,70284.78810878644,8005.479338584888,12508.561466538888,17996.20046871027,11861.160590673197,4603.150619686311,2639.7599319347482,5569.693867402047,37408.41437268502
3,107244.08498247029,78003.62875991424,17219.19025501624,64398.81176329342,8005.479338584888,12508.561466538888,12508.561466538888,20598.376209155093,4603.150619686311,2538.9621289595757,5503.767045277111,25531.0373165513
4,86734.48803633604,69701.83387995293,13780.593701429229,56904.96930738581,8005.479338584888,12508.561466538888,12508.561466538888,14679.227566439431,4603.150619686311,2343.531755703505,5503.767045277111,18693.69511863504
5,79054.10846852577,61751.14203887509,11029.716458559617,49550.22906451279,8005.479338584888,12508.561466538888,12508.561466538888,15894.266367116454,4603.150619686311,2138.024054976149,5503.767045277111,15717.773821284087
6,79054.10846852577,54760.958499112494,8829.014664263936,43043.40848461858,8005.479338584888,12508.561466538888,12508.561466538888,13471.077453290463,4603.150619686311,1937.7486935219315,5503.767045277111,14024.160074824185
7,79054.10846852577,48521.264785817395,7068.453228827392,36205.856386934574,8005.479338584888,12508.561466538888,12508.561466538888,13505.316525323015,4603.150619686311,1757.8715522748287,5503.767045277111,12885.388009650733
8,79054.10846852577,43089.56806624349,5660.0040804781565,31722.278110713,8005.479338584888,12508.561466538888,12508.561466538888,14059.03166961035,4603.150619686311,1591.3948573984485,5503.767045277111,11867.106110597115
9,79054.10846852577,37994.65537804658,4533.24476179876,27951.360230490714,8005.479338584888,12508.561466538888,12508.561466538888,13488.196989306742,4603.150619686311,1449.522725955589,5503.767045277111,10767.026688681839
10,79054.10846852577,33881.078773557296,4163.273577218529,24796.75108927608,8005.479338584888,12508.561466538888,12508.561466538888,12787.538599272615,4603.150619686311,1363.8355025349165,5253.94718414894,10689.066690828915
11,79054.10846852577,29891.19198906069,3867.2966295543497,22208.619171453785,8005.479338584888,12508.561466538888,12508.561466538888,12182.567029740028,4603.150619686311,1388.514043246292,4708.463420506679,10866.492892838989
12,79054.10846852577,26612.182482231972,3630.5150714230067,19886.47586650371,8005.479338584888,11980.038412910017,12508.561466538888,12720.161333772745,4603.150619686311,1288.166159238419,4156.107199614675,9265.91193000829
13,79054.10846852577,24728.79915427363,3441.0898249179295,17813.21263703231,8005.479338584888,10222.534869314604,12508.561466538888,13951.320974704357,4603.150619686311,1289.897170326133,3842.8653723588313,11963.309414355883
14,70280.3659067383,22246.3000794102,3289.5496277138723,16229.889977191313,8005.479338584888,8765.460126572276,12508.561466538888,11675.76745397595,4603.150619686311,1245.7739181776615,3511.038543614862,10054.633604853458
15,60682.190127818474,16787.054984684062,3168.3174699506194,14832.79243340059,8005.479338584888,7578.234826436592,12508.561466538888,12225.039558737673,4603.150619686311,1176.1652220642798,3204.762587418228,9650.81752531212
16,53792.65743136197,12451.642297279655,3071.3317437400224,13467.892041108567,8005.479338584888,6631.7289420720945,12508.561466538888,16216.234915729992,4603.150619686311,1109.1012499189137,2945.8973047860613,9574.006863406177
17,47901.92335527225,9006.72833715723,10234.838313935516,12475.020565871499,8005.479338584888,5878.194072271476,12508.561466538888,14902.127608326527,4603.150619686311,1046.938345291489,2722.772964951422,8446.469972273993
18,43330.025156076495,8286.74136455709,15965.643570091906,11908.713485504659,8005.479338584888,5542.030629626811,12508.561466538888,18433.43895807799,4603.150619686311,1032.445166058845,2629.0186143543115,11505.727819053931
19,42120.84595075017,10656.962109159567,20550.287775017023,11844.222256588582,8005.479338584888,5507.969487733216,12508.561466538888,20524.57018287029,4603.150619686311,1015.6151228178135,2505.967692512882,10914.881857023607
20,41926.81670662024,27141.35642933216,35020.27190678552,17469.109715380862,8005.479338584888,6050.056241103932,12508.561466538888,20760.005013179845,4603.150619686311,1021.1338148459529,2487.0893848248593,15008.069013243676
21,40531.53605678722,26597.020787922393,38888.86459471742,24573.73519642237,8005.479338584888,7818.276398517297,12508.561466538888,35462.13992459833,4603.150619686311,1504.1734796680055,3075.6795906479083,27941.36382946358
22,39372.15019305708,27008.72061500265,38888.86459471742,24725.968407199216,8005.479338584888,8065.380199500462,12508.561466538888,21697.136454549684,4603.150619686311,1597.9841314495197,3219.5354507358024,16365.648286199626
23,40173.83187138865,38936.31584061658,38888.86459471742,27697.384718886227,8005.479338584888,9822.897168853484,12508.561466538888,38211.15046201635,4603.150619686311,1928.067411500039,4468.5546432670535,40797.75551678256
24,57244.06101609879,49704.03966374041,41378.874772617484,38131.37316006013,8005.479338584888,12508.561466538888,12508.561466538888,44454.441555475525,4603.150619686311,2434.5487006348926,5503.767045277111,43655.392679460056
