,CAISO
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,122.06343568596743
8,627.948563584477
9,844.9502270261969
10,1561.0557163838726
11,1860.7892640127482
12,1657.3502045361358
13,1136.546212276008
14,832.7438834576002
15,474.69113877876225
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,6.782415861043645
29,48.833394199514245
30,100.37975474344594
31,305.208713746964
32,1048.5614921173474
33,1717.307696016251
34,2433.5308109424595
35,3501.0830674707295
36,3686.9212620633252
37,3180.9530388294693
38,3018.1750581644214
39,1604.7195927229263
40,282.14849981941563
41,283.50498299162433
42,278.0790503027894
43,276.72256713058067
44,256.37531954744975
45,71.89360812706263
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,470.42051516390353
56,2608.2562125012328
57,4150.01112007608
58,3950.243504047574
59,4069.4596620000702
60,3840.693521064199
61,3758.531033826668
62,2772.5811869762947
63,1346.8203790309021
64,225.54408261283046
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,175.8115588226507
80,905.7258395526444
81,1461.8039722332755
82,2123.566581284826
83,2499.8823335962306
84,2777.4275472432237
85,2420.865902664702
86,2080.1075442724855
87,1095.3652737883126
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,522.1542041495214
104,2347.3132764046873
105,4178.820728041611
106,5364.3805775847495
107,5737.34786626298
108,6040.48298174188
109,5750.044625026492
110,5275.50326624015
111,3510.653798111676
112,672.9282144662525
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,663.0168159278337
128,3036.235857509156
129,4453.54714481026
130,5064.405300483558
131,5270.030788025474
132,5128.6005746429855
133,4548.837004890659
134,4377.31525674594
135,2961.007020603578
136,796.4226200403933
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,690.0254176831972
152,3014.0071274560437
153,4772.426878723759
154,5559.035940729135
155,5793.027243983899
156,5715.362045456786
157,5467.430834774078
158,4589.216666813645
159,2841.7496999536006
160,591.4503580141692
161,4.978538367122635
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,648.7034561221787
176,2437.400466511617
177,4577.018975576114
178,5095.3801607618425
179,5624.770307334501
180,5698.965138482942
181,5299.917262846733
182,4405.568757652014
183,2703.098172651304
184,508.3348566521555
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,930.8357910543186
200,3660.8344833581523
201,5595.885821257933
202,6443.829665955589
203,6409.857556793023
204,6422.087516091547
205,6360.937719598926
206,6116.33853362845
207,3856.5138321345344
208,728.362020445423
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,252.42114022704138
224,1197.4095265392004
225,2023.6114939209874
226,2750.1177168433546
227,3054.507915352434
228,3047.0837641692856
229,2577.241053578616
230,1850.7348306562492
231,1036.1993865622665
232,5.302965130820197
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,774.9016367311134
248,2938.086129038045
249,4564.19045880244
250,5435.211608018103
251,5831.580731665732
252,6266.5958448690035
253,6270.55953610548
254,6107.057272600833
255,4413.570191816341
256,1072.1784794668345
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,658.0752971307458
272,3013.6065422311153
273,4420.354492073391
274,5026.659871729404
275,5230.752815620179
276,5090.376693236767
277,4514.934148998384
278,4344.690766533396
279,2938.938392027174
280,790.486816825737
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,531.5300766681968
296,2275.2660595289385
297,3987.2689034841155
298,4494.99912597314
299,5085.235509616629
300,5602.4856737773225
301,5255.007802761397
302,4418.839592599786
303,2660.823697231541
304,442.67728773261763
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,256.432638447063
320,1447.7759378990434
321,2771.3423165502904
322,3456.498272401037
323,3903.919803024819
324,3826.455776827269
325,2778.0202498431827
326,2160.9792135799376
327,1398.3592315316405
328,149.58570576078677
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,804.1837808726268
344,3118.032486401512
345,4383.367932362064
346,5389.811215466237
347,6061.31276287497
348,6404.344878659672
349,5538.674209108654
350,4648.732399289852
351,3074.3444339194984
352,922.3033301758495
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1457.3261651619334
368,5083.460895121031
369,7410.938120064119
370,7872.795302781875
371,7775.774975558888
372,7607.000031327235
373,7192.6423838124
374,7272.482028089649
375,5619.0939516645985
376,1855.5137581396048
377,6.063770451436617
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,158.8183130965977
392,745.1475570444144
393,1693.063149048636
394,1626.1397089387488
395,1126.7110514022781
396,1474.313397047662
397,1799.9408817614408
398,2142.5489408314597
399,1218.6059243889886
400,375.570350467426
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,870.962849098982
416,3442.224495519874
417,5169.740881876127
418,5943.040617381289
419,6055.11304281682
420,6434.558254648545
421,6365.713764738148
422,5778.134048526151
423,3871.301781473049
424,941.4083736584585
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
