,CAISO
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,785.7624216397115
8,2499.888593290785
9,3668.346416580949
10,3649.4299138377714
11,4203.828955772456
12,3838.5949412695536
13,3364.227257094468
14,2104.097151279672
15,1056.413922426723
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,660.0441572712404
32,2326.400363040406
33,3593.57374514342
34,4764.200583848109
35,4972.146985013733
36,4837.538823544914
37,4711.2856514086425
38,3970.4765972561113
39,2115.6689654306
40,273.8579836779408
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,527.6579133138224
56,2278.477122823687
57,2689.5477638624548
58,2925.737496488642
59,3205.144924871961
60,3159.9171037307765
61,2867.443860351115
62,2286.517624359897
63,955.8146201170384
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,249.6322228687317
80,1032.4295637163596
81,1944.6658349403665
82,2673.53028813117
83,3051.060501728943
84,3052.6014413762805
85,2738.2497533193596
86,2049.4497309593403
87,1030.8886240690217
88,215.73155062729901
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,663.1503122035647
104,2248.47283769634
105,3802.6042442102157
106,4939.04588352839
107,5699.837959491989
108,5373.00927801743
109,5252.313208925166
110,4510.507031470463
111,2747.530741358736
112,617.0417015391042
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,315.3863661293707
128,2121.5423082413854
129,3571.6693112692137
130,4324.369762392403
131,5055.936075579087
132,5220.132070316544
133,5161.6067652616075
134,3753.7480381067885
135,1775.2675866663546
136,1.6257029181926326
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,376.1773582160298
152,1692.109142451592
153,3286.3846129861945
154,4625.74136092019
155,4795.227862973567
156,5770.808704061292
157,5517.267920501771
158,4064.920171198857
159,2514.738749978954
160,533.2624088996466
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,444.5524954795073
176,2464.830445826446
177,3921.80557655894
178,3733.023009985451
179,3845.6835739083403
180,3629.4970863806348
181,3551.8526436770217
182,2620.119331233671
183,1272.7598843180415
184,213.14160742168156
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,916.5726576996468
200,3492.486155456615
201,5847.0448968818255
202,6614.40805216525
203,6383.215306663193
204,6189.73485298062
205,5614.212486518051
206,4502.519710274115
207,2580.8324923421183
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,714.6950280437429
224,3278.6233797701752
225,5350.597979009098
226,6565.259035639495
227,6643.7793414111175
228,6485.1362746480445
229,5828.129634518146
230,5143.881255651154
231,2807.5015451404433
232,6.409820879316081
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,1001.3546787435473
248,4339.203607888705
249,6294.084032549634
250,6988.112376963351
251,6809.008288082393
252,7061.382231505563
253,6983.024192620143
254,6216.743630532856
255,3960.6426927539483
256,27.47619545332904
257,4.070547474567265
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,694.5347035953744
272,3033.7035321546873
273,4803.614479556464
274,5595.363997363602
275,5830.884423546738
276,5752.711686345527
277,5503.160256049351
278,4619.206996927966
279,2860.3204099007194
280,595.3154602246067
281,5.011072897513524
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,813.6613168262418
296,3402.460406528401
297,5219.637347440341
298,5699.6975243678235
299,5964.137452336353
300,6091.6110586391305
301,5808.185699944656
302,4648.718323467262
303,2606.4284182333945
304,442.08931547559143
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,694.0888318537653
320,2614.704362208944
321,4103.913879170298
322,4580.7842265283425
323,5025.324380845164
324,4867.714689769201
325,4799.013029556601
326,3181.493058962892
327,1674.0978084158503
328,249.54867753694327
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,1110.9198413897407
344,4100.484485986775
345,6506.816213854196
346,7059.300456402486
347,7046.405851100641
348,6837.116488124538
349,6427.464796612071
350,5585.3478811300265
351,4224.471075427595
352,1157.5387990194888
353,1.9837854310531082
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1077.9622113571395
368,4111.51958491086
369,5960.817588465396
370,6065.751963022286
371,6082.105372044138
372,6749.8695737698
373,7059.221561099852
374,6480.0383249092265
375,4036.566460227367
376,1184.2593699991835
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,805.3444783360368
392,3122.532816405519
393,4389.694550930229
394,5397.590457419193
395,6070.061198886909
396,6413.588421034273
397,5546.668308539746
398,4655.442024666868
399,3078.7817079244865
400,923.6345123773459
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,855.2583698291414
416,3207.554545560155
417,4566.300966701586
418,5346.3717875347575
419,5194.654054739322
420,5138.263392992345
421,5492.718981116197
422,4861.680623471461
423,2791.3377564753296
424,533.0260169892765
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,1174.3248395491312
440,4695.295390893541
441,6678.221037197065
