,0
0,9308730.070819382
1,7948019.080643814
2,7744661.478098082
3,9570622.760123303
4,9017157.1852732
5,7948640.718372779
6,7959266.471153189
7,10936291.739160387
8,10479237.851290606
9,9234031.478644932
10,6146780.150171768
11,6231596.377389363
12,7014903.364285981
13,8899084.175304884
14,7825987.959689596
15,5847135.589791365
16,9544878.035735188
17,8421279.28140308
18,7280509.134336849
19,8039785.878757955
20,7420601.940451948
21,8256937.024506634
22,9051046.903243043
23,9286511.268317202
24,6268115.069565461
25,6923299.617060156
26,6378881.547307426
27,5589218.720875075
28,6208976.490886155
29,7900160.157835981
30,7978171.665600354
31,6154813.625173977
32,5976458.682271997
33,5441882.968476369
34,5530158.731781154
35,6848023.390715386
36,6611047.501028
37,5762530.147068017
38,4934069.484227317
39,5307810.33042926
40,4174594.4915182516
41,5073592.955653035
42,4714210.419892533
43,5032821.487173167
44,5349483.801121235
45,5622817.803298503
46,4915279.9407784045
47,5074450.2329859985
48,1944224.2256251934
49,3432712.995704124
50,4140390.74174502
51,5736506.976332511
52,5468103.830159411
53,5411290.880626053
54,7222948.7623959845
55,5808310.935868384
56,7940862.678352652
57,7962163.114314659
58,8485026.103989903
59,8856499.301330756
60,7284063.749204628
61,5458953.044590672
62,6769449.749717019
63,7079818.717354037
64,6828473.2345771035
65,4486252.155374978
66,5085710.250717991
67,5417876.710523307
68,5048431.315188508
69,4784097.5663418695
70,4453444.875021614
71,5387097.330801819
72,5440042.802188736
73,6531558.831430774
74,4987711.010252887
75,3158640.0414619003
76,3384133.5865269047
77,4346390.216913534
78,4433220.601764028
79,3938929.067337203
80,3143428.9484156882
81,4214399.467244923
82,3956244.916107871
83,5178615.880009994
84,6435925.054809921
85,6356723.685295816
86,6202952.244472055
87,7693086.085869773
88,7061492.230487168
89,5104226.341475056
90,4030648.442777409
91,5594662.180116785
92,3312651.0650906134
93,5620591.675633153
94,7599872.271270703
95,6317170.3333052285
96,4368909.261313559
97,6504801.710971212
98,3789839.0737842796
99,4775019.735348541
100,6159174.248563147
101,6209971.705861544
102,7486812.059642617
103,3330024.0615775604
104,4156494.425978573
105,5345327.615982942
106,6267016.56872816
107,6715577.283727954
108,6596556.97101031
109,5862153.267046462
110,4918492.9166809525
111,3765384.0889885635
112,7629194.91260457
113,5615881.302973147
114,6022423.154763247
115,6927765.663606183
116,5581525.86522222
117,3774261.5626185806
118,4454536.480927241
119,5239782.182273478
120,7336529.258403697
121,6212319.440515834
122,5060052.322742177
123,5558558.269195381
124,4285899.689115187
125,7119574.107302441
126,10271578.96156659
127,8828140.204977589
128,9084101.814948907
129,10683790.615933908
130,8338189.787753578
131,5759887.788284885
132,5994278.725222007
133,5957571.96397151
134,4939373.68845713
135,6805628.7560924115
136,5990968.033137489
137,8795192.194868833
138,6829752.730509573
139,7252984.0758395335
140,8388708.220036248
141,8153432.7692127405
142,9674352.660185343
143,12190278.434360541
144,10980589.839353714
145,8921539.266680403
146,6198621.744743624
147,7614190.558311012
148,5432277.109724759
149,5461878.468737563
150,6838155.888264135
151,4270259.116657393
152,3590543.2981195175
153,4201078.662625473
154,6575329.935669673
155,5475518.712561883
156,4350590.2733263085
157,4403929.390114888
158,3866765.81718533
159,978800.4352412444
160,1312247.5754573364
161,3537595.809214517
162,1808483.7712692644
163,2823015.0762106935
164,4845535.467622506
165,4715459.69163455
166,2812958.1914621964
167,3568418.549077955
168,9146083.845059186
169,10297396.66030988
170,10584408.52101914
171,8116326.656123923
172,9269790.388099227
173,7895790.035216813
174,5915606.95058136
175,6082114.6699387515
176,4362029.459736482
177,3618529.038743257
178,4120612.580563159
179,5456238.78816269
180,2672035.1359670605
181,4793499.11704987
182,6767027.691427967
183,8703085.929420272
184,9412974.8795253
185,10931259.284760581
186,9088916.972727539
187,7129114.98848461
188,4613947.870426198
189,7206075.503580416
190,7103960.470405996
191,5830358.044758996
192,5871609.005491066
193,7380514.016460638
194,7085570.174510445
195,7283606.748822843
196,7815077.635318344
197,7512388.266534411
198,9439219.756229034
199,8402839.137869842
200,8832099.793560466
201,7053004.041120793
202,6185005.115352575
203,11921160.536915746
204,13743810.769200338
205,12472706.693440653
206,10845097.169039916
207,11999960.355850026
208,8834497.0494359
209,10316539.188520228
210,11728191.104881814
211,9217144.222925607
212,9983468.839661097
213,9279294.759320095
214,8457052.775036845
215,9797711.724053308
216,10945608.227462292
217,18667779.9700172
218,19189241.9415027
219,15437175.058795478
220,12589053.321383825
221,14625261.806288771
222,9449930.019541297
223,8722645.183613487
224,12431207.212776233
225,10739797.792796671
226,5887358.776563246
227,7303655.362765962
228,7356337.473220229
229,5643864.988961053
230,7767968.732931555
231,9841536.409433337
232,10465868.290166752
233,9106981.179131068
234,8654798.843959244
235,7889746.002039162
236,7699724.077327865
237,5782805.582438429
238,9353203.373470534
239,10570750.865376133
240,10326451.016499832
241,8714090.415157363
242,8626972.39935344
243,8299660.377333199
244,10345109.82894826
245,13370606.596036613
246,12049563.525776858
247,8742060.166398056
248,5600159.472144097
249,9574329.04284214
250,7807271.57494573
251,8440607.776114991
252,9318691.267961288
253,8998831.03973883
254,10662541.112599453
255,9161316.127158329
256,7828442.924061482
257,7986777.104836368
258,5301338.692166659
259,9610315.72373784
260,9643485.827324053
261,6558479.578176172
262,8086452.155441747
263,7577229.202051797
264,6266455.821222047
265,4735799.10394414
266,4889018.8035676405
267,6566876.947270019
268,8393148.276602719
269,11779462.859822456
270,12977629.448331375
271,8712041.067221217
272,8006354.056595795
273,10934279.752878178
274,9501899.882239833
275,8570240.806670627
276,8071799.72767337
277,9628751.34397796
278,5347269.532030444
279,7181918.668873813
280,8488434.14794731
281,8991058.434314996
282,10572556.512872292
283,7748857.487113562
284,6579932.460308166
285,3500140.4873757823
286,4751590.266443972
287,7465654.332275448
288,7842419.904418907
289,7996432.91783464
290,7868546.662694256
291,6441621.429670745
292,6350178.684270066
293,5666046.520007204
294,8681588.584633876
295,9757907.178797847
296,9816061.79507413
297,10422804.059068553
298,8615544.904685898
299,3988971.5392944245
300,6178450.556642772
301,7047422.373783018
302,7284572.205958229
303,7095839.204363797
304,8386672.375884824
305,7783581.070905955
306,7029319.101489809
307,7051160.554379477
308,9258233.858477954
309,8691490.511968745
310,9926136.10825649
311,8259179.353575879
312,9170834.180040127
313,4642209.250648019
314,4840535.936671349
315,6986711.098496958
316,7057258.274237571
317,5320632.870159348
318,8309737.625448756
319,6309343.122161263
320,4725486.09264606
321,4768743.083984867
322,5590919.170597989
323,6294975.782612203
324,8509123.035368767
325,6329498.314599213
326,5736269.075483153
327,5980207.215527562
328,4691275.55433758
329,9088544.131307986
330,9034696.042337805
331,8156630.28896278
332,7226070.685347548
333,5838420.2346755145
334,5962213.298646874
335,6222590.879104976
336,7397855.282364058
337,7348311.132851316
338,7899929.449059927
339,8799003.076801054
340,8548364.707833394
341,6394236.690414075
342,5498922.328560792
343,6628375.366066318
344,7168515.982790896
345,9799602.82764446
346,6717460.789182638
347,10422138.600955883
348,5468309.949458514
349,4896065.572625196
350,8547534.001677468
351,10045214.229008347
352,9884982.958070472
353,11802962.792654878
354,9357303.146288076
355,7817648.074143686
356,8085647.476012673
357,8469990.532890266
358,8608013.661848867
359,8551273.593210256
360,7357643.731664381
361,6054703.982806489
362,4860710.329449965
363,6641140.512215164
