,0
0,13780988732.1894
1,10588368.791132946
2,10269711.401790317
3,12230508.536360815
4,16735732864.925869
5,9980676.298662612
6,9932061.007513296
7,30272503334.198444
8,16980596925.182112
9,16475178073.366184
10,8553349.69590432
11,10816077565.089567
12,9543961.762262031
13,11826672.200038975
14,9970270.128494345
15,7682235.703523066
16,11942291850.428905
17,10870126.579838822
18,9333484.488045007
19,10201980.190410156
20,9398508.32778532
21,10733645.643239109
22,11536927.013538975
23,12876584116.917583
24,8477788.582747225
25,9449278.480015129
26,8318034.42505872
27,7408053.083990503
28,8431315.170620099
29,10656478.316953596
30,10825903.138980053
31,8818706.42838306
32,8517422.562345626
33,7816535.825333345
34,7939117.442912409
35,9700837.591747513
36,8859939.157071685
37,7998304.255095577
38,7309316.821114246
39,7799706.965394307
40,6179957.621369082
41,6884150.489921472
42,6924192.725786004
43,7260111.330495523
44,7725273.171262186
45,7906280.677989981
46,6753901.860541857
47,6752589.77981698
48,4056321.2038707873
49,5593417.398403635
50,6275243.207399041
51,10380971335.471748
52,7770407.826016114
53,10440663562.97038
54,38053514097.7206
55,7931728.315048076
56,21019303125.380184
57,10913721489.577343
58,23855848637.235153
59,11141618.917117799
60,10265016.19298678
61,7729479.473580295
62,9556069.492730435
63,9711360.130994935
64,9416775.053946787
65,6413280.017134502
66,7445642.7151805535
67,7579912.909511614
68,7388617.551574426
69,7265619.755692586
70,6830987.652487049
71,7479640.3120274665
72,7838254.756518561
73,9090598.429734495
74,7235546.964783453
75,5018360.3682751255
76,5760432.088710965
77,6941096.2061416395
78,6334129.86435058
79,6081478.980983189
80,4937288.681169758
81,6520152.708971121
82,5972397.156050129
83,7357764.070189376
84,8978032.097555403
85,8803054.031860398
86,8595880.595966542
87,10394907.244295854
88,9656637.15532532
89,7430628.552231097
90,6025934.317586566
91,17763957515.722664
92,5137040.874931143
93,12205300114.545326
94,10659411386.999323
95,8777222.361931248
96,6348719.054515519
97,8445780.779986963
98,5735149.654550029
99,7034892.590626568
100,8028123.86007195
101,7991363.883007697
102,9230374.727304868
103,5205857.559284581
104,5387249.479080206
105,7553349.074794445
106,14539049481.722376
107,9178469.819596618
108,8859743.28234185
109,8057939.784310654
110,6799596.337773718
111,5962788.390031561
112,10692271.971234113
113,8280260.381146175
114,19079672439.345737
115,9536274.720242525
116,7755898.863993398
117,5198559.585734112
118,6425721.19161411
119,22347175614.52514
120,15329782706.639317
121,8214093.907998876
122,6989785.663029021
123,7502279.326033482
124,6561466.860023121
125,10115622.582585678
126,16722055448.693068
127,11308808.520592619
128,11512200.976534268
129,13236955.46373042
130,10415458.595664423
131,7821521.05391446
132,7999070.277049997
133,8056545.597931367
134,6749397.162374053
135,8439290.51516353
136,7490985.56280387
137,11413336.71261679
138,8576138.94364962
139,9615404.09402147
140,11207293.860636625
141,11144784.47237194
142,11755472873.661564
143,11854500183.605892
144,13534223.781486895
145,11622623.95691217
146,8318766.3770689815
147,10492660.917399518
148,7386375.344687872
149,7394940.854536286
150,9332604.619880924
151,6067178.419445801
152,5429454.018888023
153,6368799.976252749
154,9466019.748056754
155,7700023.11816896
156,6294928.983252651
157,6569400.541819556
158,5745204.264037287
159,2883307.8138996395
160,3553422.607641159
161,5603613.460177642
162,4391881.291939893
163,5427928.059960428
164,7261901.8673187625
165,6870096.117175873
166,5307189.54302787
167,6018015.539068486
168,12657683.540378837
169,12560838391.87046
170,12040061936.954111
171,11252238.186645698
172,12343398.38554647
173,11019765.043460583
174,8537808.649773108
175,8501136.170177072
176,6537067.716862906
177,5184828.937140675
178,6140344.484816912
179,14212342699.332378
180,5050025.134628703
181,7264513.788657871
182,15603694242.7445
183,11753019.130755158
184,12293213.423877165
185,23879087371.46615
186,16986911208.220375
187,10160689.3065542
188,6815801.362773016
189,10077028.37380483
190,10580965048.009348
191,7617554.178266043
192,8000871.824996182
193,10375475.612637727
194,9822424.852816317
195,10195543.739238476
196,10604498.338074941
197,10326087.385289466
198,11870779.4387849
199,25098321730.06883
200,27261683766.104965
201,20227156047.146122
202,8891778.510431817
203,37240412329.17538
204,49074353306.586
205,39959753213.23358
206,17554523420.82344
207,30947429684.330215
208,11256109.95460068
209,13968791619.161428
210,32480355164.322342
211,13126564342.04672
212,10661198106.231667
213,11318128.77192494
214,10358905.317793736
215,12349910.051605579
216,14103980.273902189
217,298987768257.8701
218,364599017305.7009
219,73547717811.35551
220,34829187808.739105
221,101204937728.64214
222,11598329.811541786
223,11124698.345331788
224,16999158676.086971
225,13962369.268588578
226,8272129.096887245
227,10132205.573828194
228,9865907.765303165
229,7555935.909473599
230,10491922.523950376
231,12365838.899205234
232,12996458.415009793
233,11225357.892230092
234,11223264.609752059
235,10218788.264078135
236,10066983.353759961
237,7855391.736789392
238,11964887.014374489
239,26093217751.37613
240,13176773.72336741
241,11186863.49193157
242,10873749.878329325
243,10533021.152601885
244,13144477.113810807
245,15205637405.36792
246,15425406.188733913
247,10935287.391162306
248,7385614.653168229
249,11892399.365764193
250,9582505.344256472
251,10524384.403338106
252,11403567.450594682
253,10982104.786937473
254,13062140.901164092
255,11123630.51101594
256,9605399.055026086
257,9829587.358461447
258,6858385.272481836
259,12457830.384709517
260,12191224.029719176
261,8489585.462865686
262,9967388.335077526
263,9131540.326386977
264,8064293.368826078
265,6316253.397586517
266,7045449.339287524
267,8153790.182573807
268,10510328.245384242
269,15468111.592783593
270,14266685249.700699
271,11208224.938098004
272,10091041.771701539
273,11723504325.19544
274,11269501764.426535
275,10917818.630086692
276,10653278.064629102
277,12177845.360715544
278,7306596.580837886
279,9614104.371259248
280,11014671.089536268
281,11561749.796035994
282,26701196526.919445
283,9869061.565473119
284,8375961.3323983
285,5554304.048783511
286,6979876.8718564175
287,9882672.957267074
288,10447835.798139783
289,9992823.729488285
290,10190926.057223808
291,8829172.480104694
292,8631647.172698421
293,7819271.653051055
294,11367386.671389017
295,12169016.168028098
296,12700499.156193199
297,13120853.446094314
298,10950012.227426056
299,5971372.135903866
300,8442858.903392192
301,9443708.050865216
302,9791114.911051545
303,9352073.83990436
304,10747572.625978043
305,10507740.388384499
306,9590455.090757897
307,9794835.345572954
308,11689456.566593675
309,10959002.205577035
310,12362475.561661959
311,10692791.514140153
312,11136958.894577645
313,6261413.566704156
314,6844106.82071244
315,10115476.655006757
316,9630080.421140067
317,7993270.134450853
318,10847669.454536805
319,8543499.482183717
