,Constraint,Time,Value
0,Bal1Constraint,1,38.67419999999999
1,Bal1Constraint,2,38.67419999999999
2,Bal1Constraint,3,38.67419999999999
3,Bal1Constraint,4,38.67419999999999
4,Bal1Constraint,5,38.67419999999999
5,Bal1Constraint,6,38.6742
6,Bal1Constraint,7,38.67419999999999
7,Bal1Constraint,8,38.67419999999999
8,Bal1Constraint,9,38.67419999999999
9,Bal1Constraint,10,38.67419999999999
10,Bal1Constraint,11,38.67419999999999
11,Bal1Constraint,12,38.67419999999999
12,Bal1Constraint,13,38.67419999999999
13,Bal1Constraint,14,38.67419999999999
14,Bal1Constraint,15,38.67419999999999
15,Bal1Constraint,16,38.67419999999999
16,Bal1Constraint,17,38.67419999999999
17,Bal1Constraint,18,38.67419999999999
18,Bal1Constraint,19,38.67419999999999
19,Bal1Constraint,20,38.67419999999999
20,Bal1Constraint,21,38.67419999999999
21,Bal1Constraint,22,38.67419999999999
22,Bal1Constraint,23,38.67419999999999
23,Bal1Constraint,24,38.67419999999999
24,Bal2Constraint,1,38.67419999999999
25,Bal2Constraint,2,38.67419999999999
26,Bal2Constraint,3,38.67419999999999
27,Bal2Constraint,4,38.67419999999999
28,Bal2Constraint,5,38.67419999999999
29,Bal2Constraint,6,38.6742
30,Bal2Constraint,7,38.67419999999999
31,Bal2Constraint,8,38.67419999999999
32,Bal2Constraint,9,38.67419999999999
33,Bal2Constraint,10,38.67419999999999
34,Bal2Constraint,11,38.67419999999999
35,Bal2Constraint,12,38.67419999999999
36,Bal2Constraint,13,38.67419999999999
37,Bal2Constraint,14,38.67419999999999
38,Bal2Constraint,15,38.67419999999999
39,Bal2Constraint,16,38.67419999999999
40,Bal2Constraint,17,38.67419999999999
41,Bal2Constraint,18,38.67419999999999
42,Bal2Constraint,19,38.67419999999999
43,Bal2Constraint,20,38.67419999999999
44,Bal2Constraint,21,38.67419999999999
45,Bal2Constraint,22,38.67419999999999
46,Bal2Constraint,23,38.67419999999999
47,Bal2Constraint,24,38.67419999999999
48,Bal3Constraint,1,39.7793
49,Bal3Constraint,2,37.589
50,Bal3Constraint,3,37.3658
51,Bal3Constraint,4,37.1426
52,Bal3Constraint,5,37.3658
53,Bal3Constraint,6,37.3658
54,Bal3Constraint,7,37.3658
55,Bal3Constraint,8,37.3658
56,Bal3Constraint,9,37.3658
57,Bal3Constraint,10,37.3658
58,Bal3Constraint,11,37.3658
59,Bal3Constraint,12,37.3658
60,Bal3Constraint,13,37.3658
61,Bal3Constraint,14,37.3658
62,Bal3Constraint,15,37.3658
63,Bal3Constraint,16,37.3658
64,Bal3Constraint,17,37.3658
65,Bal3Constraint,18,39.2876
66,Bal3Constraint,19,44.38419999999999
67,Bal3Constraint,20,44.38419999999999
68,Bal3Constraint,21,44.38419999999999
69,Bal3Constraint,22,44.38419999999999
70,Bal3Constraint,23,44.38419999999999
71,Bal3Constraint,24,41.47844444444444
72,Bal4Constraint,1,49.7393
73,Bal4Constraint,2,47.549
74,Bal4Constraint,3,47.3258
75,Bal4Constraint,4,47.1026
76,Bal4Constraint,5,47.3258
77,Bal4Constraint,6,47.3258
78,Bal4Constraint,7,47.3258
79,Bal4Constraint,8,47.3258
80,Bal4Constraint,9,47.3258
81,Bal4Constraint,10,47.3258
82,Bal4Constraint,11,47.3258
83,Bal4Constraint,12,47.3258
84,Bal4Constraint,13,47.3258
85,Bal4Constraint,14,47.3258
86,Bal4Constraint,15,47.3258
87,Bal4Constraint,16,47.3258
88,Bal4Constraint,17,47.3258
89,Bal4Constraint,18,49.2476
90,Bal4Constraint,19,79.83049999999999
91,Bal4Constraint,20,100000000.0
92,Bal4Constraint,21,100000000.0
93,Bal4Constraint,22,90.1562
94,Bal4Constraint,23,56.9441
95,Bal4Constraint,24,51.43844444444444
96,Bal1Constraint,25,40.693
97,Bal1Constraint,26,40.693
98,Bal1Constraint,27,40.693
99,Bal1Constraint,28,40.693
100,Bal1Constraint,29,40.693
101,Bal1Constraint,30,40.693
102,Bal1Constraint,31,40.693
103,Bal1Constraint,32,40.693
104,Bal1Constraint,33,40.693
105,Bal1Constraint,34,40.693
106,Bal1Constraint,35,40.693
107,Bal1Constraint,36,40.693
108,Bal1Constraint,37,40.693
109,Bal1Constraint,38,40.693
110,Bal1Constraint,39,40.693
111,Bal1Constraint,40,40.693
112,Bal1Constraint,41,40.693
113,Bal1Constraint,42,40.693
114,Bal1Constraint,43,40.693
115,Bal1Constraint,44,40.693
116,Bal1Constraint,45,40.693
117,Bal1Constraint,46,40.693
118,Bal1Constraint,47,40.693
119,Bal1Constraint,48,40.693
120,Bal2Constraint,25,40.693
121,Bal2Constraint,26,40.693
122,Bal2Constraint,27,40.693
123,Bal2Constraint,28,40.693
124,Bal2Constraint,29,40.693
125,Bal2Constraint,30,40.693
126,Bal2Constraint,31,40.693
127,Bal2Constraint,32,40.693
128,Bal2Constraint,33,40.693
129,Bal2Constraint,34,40.693
130,Bal2Constraint,35,40.693
131,Bal2Constraint,36,40.693
132,Bal2Constraint,37,40.693
133,Bal2Constraint,38,40.693
134,Bal2Constraint,39,40.693
135,Bal2Constraint,40,40.693
136,Bal2Constraint,41,40.693
137,Bal2Constraint,42,40.693
138,Bal2Constraint,43,40.693
139,Bal2Constraint,44,40.693
140,Bal2Constraint,45,40.693
141,Bal2Constraint,46,40.693
142,Bal2Constraint,47,40.693
143,Bal2Constraint,48,40.693
144,Bal3Constraint,25,37.589
145,Bal3Constraint,26,36.9554
146,Bal3Constraint,27,36.4268
147,Bal3Constraint,28,36.2036
148,Bal3Constraint,29,36.2036
149,Bal3Constraint,30,36.2036
150,Bal3Constraint,31,36.695
151,Bal3Constraint,32,37.2761
152,Bal3Constraint,33,36.9632
153,Bal3Constraint,34,37.2761
154,Bal3Constraint,35,36.9632
155,Bal3Constraint,36,36.4268
156,Bal3Constraint,37,36.5162
157,Bal3Constraint,38,36.695
158,Bal3Constraint,39,36.695
159,Bal3Constraint,40,37.3658
160,Bal3Constraint,41,41.19719999999999
161,Bal3Constraint,42,46.403
162,Bal3Constraint,43,46.403
163,Bal3Constraint,44,46.403
164,Bal3Constraint,45,46.403
165,Bal3Constraint,46,46.403
166,Bal3Constraint,47,46.403
167,Bal3Constraint,48,37.8572
168,Bal4Constraint,25,47.549
169,Bal4Constraint,26,46.9154
170,Bal4Constraint,27,46.3868
171,Bal4Constraint,28,46.1636
172,Bal4Constraint,29,46.1636
173,Bal4Constraint,30,46.1636
174,Bal4Constraint,31,46.655
175,Bal4Constraint,32,47.2361
176,Bal4Constraint,33,46.9232
177,Bal4Constraint,34,47.2361
178,Bal4Constraint,35,46.9232
179,Bal4Constraint,36,46.3868
180,Bal4Constraint,37,46.4762
181,Bal4Constraint,38,46.655
182,Bal4Constraint,39,46.655
183,Bal4Constraint,40,47.3258
184,Bal4Constraint,41,51.15719999999999
185,Bal4Constraint,42,56.363
186,Bal4Constraint,43,56.6759
187,Bal4Constraint,44,80.14339999999999
188,Bal4Constraint,45,56.9441
189,Bal4Constraint,46,56.363
190,Bal4Constraint,47,56.363
191,Bal4Constraint,48,47.8172
192,Bal1Constraint,49,32.3832
193,Bal1Constraint,50,32.3832
194,Bal1Constraint,51,32.3832
195,Bal1Constraint,52,32.3832
196,Bal1Constraint,53,32.3832
197,Bal1Constraint,54,32.3832
198,Bal1Constraint,55,32.3832
199,Bal1Constraint,56,32.3832
200,Bal1Constraint,57,32.3832
201,Bal1Constraint,58,32.3832
202,Bal1Constraint,59,32.3832
203,Bal1Constraint,60,32.3832
204,Bal1Constraint,61,32.3832
205,Bal1Constraint,62,32.3832
206,Bal1Constraint,63,32.3832
207,Bal1Constraint,64,32.3832
208,Bal1Constraint,65,32.3832
209,Bal1Constraint,66,32.3832
210,Bal1Constraint,67,32.3832
211,Bal1Constraint,68,32.3832
212,Bal1Constraint,69,32.3832
213,Bal1Constraint,70,32.3832
214,Bal1Constraint,71,32.3832
215,Bal1Constraint,72,32.3832
216,Bal2Constraint,49,32.3832
217,Bal2Constraint,50,32.3832
218,Bal2Constraint,51,32.3832
219,Bal2Constraint,52,32.3832
220,Bal2Constraint,53,32.3832
221,Bal2Constraint,54,32.3832
222,Bal2Constraint,55,32.3832
223,Bal2Constraint,56,32.3832
224,Bal2Constraint,57,32.3832
225,Bal2Constraint,58,32.3832
226,Bal2Constraint,59,32.3832
227,Bal2Constraint,60,32.3832
228,Bal2Constraint,61,32.3832
229,Bal2Constraint,62,32.3832
230,Bal2Constraint,63,32.3832
231,Bal2Constraint,64,32.3832
232,Bal2Constraint,65,32.3832
233,Bal2Constraint,66,32.3832
234,Bal2Constraint,67,32.3832
235,Bal2Constraint,68,32.3832
236,Bal2Constraint,69,32.3832
237,Bal2Constraint,70,32.3832
238,Bal2Constraint,71,32.3832
239,Bal2Constraint,72,32.3832
240,Bal3Constraint,49,38.0932
241,Bal3Constraint,50,37.589
242,Bal3Constraint,51,37.589
243,Bal3Constraint,52,37.589
244,Bal3Constraint,53,37.698949999999996
245,Bal3Constraint,54,37.589
246,Bal3Constraint,55,37.8572
247,Bal3Constraint,56,38.0932
248,Bal3Constraint,57,37.68614999999999
249,Bal3Constraint,58,37.3658
250,Bal3Constraint,59,37.71505
251,Bal3Constraint,60,37.71505
252,Bal3Constraint,61,37.715050000000005
253,Bal3Constraint,62,37.589
254,Bal3Constraint,63,37.7234
255,Bal3Constraint,64,38.093199999999996
256,Bal3Constraint,65,38.0932
257,Bal3Constraint,66,38.09320000000001
258,Bal3Constraint,67,38.0932
259,Bal3Constraint,68,38.0932
260,Bal3Constraint,69,38.093199999999996
261,Bal3Constraint,70,38.0932
262,Bal3Constraint,71,38.0932
263,Bal3Constraint,72,38.093199999999996
264,Bal4Constraint,49,48.053200000000004
265,Bal4Constraint,50,47.549
266,Bal4Constraint,51,47.549
267,Bal4Constraint,52,47.549
268,Bal4Constraint,53,47.65895
269,Bal4Constraint,54,47.549
270,Bal4Constraint,55,47.8172
271,Bal4Constraint,56,48.053200000000004
272,Bal4Constraint,57,47.64614999999999
273,Bal4Constraint,58,47.3258
274,Bal4Constraint,59,47.67505
275,Bal4Constraint,60,47.67505
276,Bal4Constraint,61,47.675050000000006
277,Bal4Constraint,62,47.549
278,Bal4Constraint,63,47.6834
279,Bal4Constraint,64,48.0532
280,Bal4Constraint,65,48.053200000000004
281,Bal4Constraint,66,48.05320000000001
282,Bal4Constraint,67,56.9441
283,Bal4Constraint,68,56.9441
284,Bal4Constraint,69,56.6759
285,Bal4Constraint,70,56.6759
286,Bal4Constraint,71,56.6759
287,Bal4Constraint,72,48.0532
288,Bal1Constraint,73,38.86560000000001
289,Bal1Constraint,74,38.86559999999999
290,Bal1Constraint,75,38.8656
291,Bal1Constraint,76,38.8656
292,Bal1Constraint,77,38.86559999999999
293,Bal1Constraint,78,38.86559999999999
294,Bal1Constraint,79,38.86560000000002
295,Bal1Constraint,80,38.86559999999999
296,Bal1Constraint,81,38.8656
297,Bal1Constraint,82,38.86559999999999
298,Bal1Constraint,83,38.86559999999999
299,Bal1Constraint,84,38.86559999999999
300,Bal1Constraint,85,38.8656
301,Bal1Constraint,86,38.8656
302,Bal1Constraint,87,38.8656
303,Bal1Constraint,88,38.86559999999999
304,Bal1Constraint,89,38.86560000000001
305,Bal1Constraint,90,38.86559999999999
306,Bal1Constraint,91,38.86560000000001
307,Bal1Constraint,92,38.86559999999999
308,Bal1Constraint,93,38.86559999999999
309,Bal1Constraint,94,38.86559999999999
310,Bal1Constraint,95,38.86559999999999
311,Bal1Constraint,96,38.86560000000001
312,Bal2Constraint,73,38.86560000000001
313,Bal2Constraint,74,38.86559999999999
314,Bal2Constraint,75,38.8656
315,Bal2Constraint,76,38.8656
316,Bal2Constraint,77,38.86559999999999
317,Bal2Constraint,78,38.86559999999999
318,Bal2Constraint,79,38.86560000000002
319,Bal2Constraint,80,38.86559999999999
320,Bal2Constraint,81,38.8656
321,Bal2Constraint,82,38.86559999999999
322,Bal2Constraint,83,38.86559999999999
323,Bal2Constraint,84,38.86559999999999
324,Bal2Constraint,85,38.8656
325,Bal2Constraint,86,38.8656
326,Bal2Constraint,87,38.8656
327,Bal2Constraint,88,38.86559999999999
328,Bal2Constraint,89,38.86560000000001
329,Bal2Constraint,90,38.86559999999999
330,Bal2Constraint,91,38.86560000000001
331,Bal2Constraint,92,38.86559999999999
332,Bal2Constraint,93,38.86559999999999
333,Bal2Constraint,94,38.86559999999999
334,Bal2Constraint,95,38.86559999999999
335,Bal2Constraint,96,38.86560000000001
336,Bal3Constraint,73,44.575599999999994
337,Bal3Constraint,74,37.2761
338,Bal3Constraint,75,36.695
339,Bal3Constraint,76,36.695
340,Bal3Constraint,77,36.695
341,Bal3Constraint,78,36.695
342,Bal3Constraint,79,37.589
343,Bal3Constraint,80,44.575599999999994
344,Bal3Constraint,81,44.5756
345,Bal3Constraint,82,44.575599999999994
346,Bal3Constraint,83,40.494499999999995
347,Bal3Constraint,84,37.8572
348,Bal3Constraint,85,37.589
349,Bal3Constraint,86,37.8572
350,Bal3Constraint,87,39.0194
351,Bal3Constraint,88,44.575599999999994
352,Bal3Constraint,89,44.57560000000001
353,Bal3Constraint,90,44.575599999999994
354,Bal3Constraint,91,44.57560000000001
355,Bal3Constraint,92,44.575599999999994
356,Bal3Constraint,93,44.575599999999994
357,Bal3Constraint,94,44.575599999999994
358,Bal3Constraint,95,44.575599999999994
359,Bal3Constraint,96,44.575599999999994
360,Bal4Constraint,73,54.535599999999995
