,Generator,Time,Value,Zones
0,MIDSET_1_UNIT1,1,0.0,PGE_valley
1,MIDSET_1_UNIT1,2,0.0,PGE_valley
2,MIDSET_1_UNIT1,3,0.0,PGE_valley
3,MIDSET_1_UNIT1,4,0.0,PGE_valley
4,MIDSET_1_UNIT1,5,0.0,PGE_valley
5,MIDSET_1_UNIT1,6,0.0,PGE_valley
6,MIDSET_1_UNIT1,7,0.0,PGE_valley
7,MIDSET_1_UNIT1,8,0.0,PGE_valley
8,MIDSET_1_UNIT1,9,0.0,PGE_valley
9,MIDSET_1_UNIT1,10,0.0,PGE_valley
10,MIDSET_1_UNIT1,11,0.0,PGE_valley
11,MIDSET_1_UNIT1,12,0.0,PGE_valley
12,MIDSET_1_UNIT1,13,0.0,PGE_valley
13,MIDSET_1_UNIT1,14,0.0,PGE_valley
14,MIDSET_1_UNIT1,15,0.0,PGE_valley
15,MIDSET_1_UNIT1,16,0.0,PGE_valley
16,MIDSET_1_UNIT1,17,0.0,PGE_valley
17,MIDSET_1_UNIT1,18,0.0,PGE_valley
18,MIDSET_1_UNIT1,19,0.0,PGE_valley
19,MIDSET_1_UNIT1,20,0.0,PGE_valley
20,MIDSET_1_UNIT1,21,0.0,PGE_valley
21,MIDSET_1_UNIT1,22,0.0,PGE_valley
22,MIDSET_1_UNIT1,23,0.0,PGE_valley
23,MIDSET_1_UNIT1,24,0.0,PGE_valley
24,SARGNT_2_UNIT,1,0.0,PGE_valley
25,SARGNT_2_UNIT,2,0.0,PGE_valley
26,SARGNT_2_UNIT,3,0.0,PGE_valley
27,SARGNT_2_UNIT,4,0.0,PGE_valley
28,SARGNT_2_UNIT,5,0.0,PGE_valley
29,SARGNT_2_UNIT,6,0.0,PGE_valley
30,SARGNT_2_UNIT,7,0.0,PGE_valley
31,SARGNT_2_UNIT,8,0.0,PGE_valley
32,SARGNT_2_UNIT,9,0.0,PGE_valley
33,SARGNT_2_UNIT,10,0.0,PGE_valley
34,SARGNT_2_UNIT,11,0.0,PGE_valley
35,SARGNT_2_UNIT,12,0.0,PGE_valley
36,SARGNT_2_UNIT,13,0.0,PGE_valley
37,SARGNT_2_UNIT,14,0.0,PGE_valley
38,SARGNT_2_UNIT,15,0.0,PGE_valley
39,SARGNT_2_UNIT,16,0.0,PGE_valley
40,SARGNT_2_UNIT,17,0.0,PGE_valley
41,SARGNT_2_UNIT,18,0.0,PGE_valley
42,SARGNT_2_UNIT,19,0.0,PGE_valley
43,SARGNT_2_UNIT,20,0.0,PGE_valley
44,SARGNT_2_UNIT,21,0.0,PGE_valley
45,SARGNT_2_UNIT,22,0.0,PGE_valley
46,SARGNT_2_UNIT,23,0.0,PGE_valley
47,SARGNT_2_UNIT,24,0.0,PGE_valley
48,ELKHIL_2_PL1X3,1,0.0,PGE_valley
49,ELKHIL_2_PL1X3,2,0.0,PGE_valley
50,ELKHIL_2_PL1X3,3,0.0,PGE_valley
51,ELKHIL_2_PL1X3,4,0.0,PGE_valley
52,ELKHIL_2_PL1X3,5,0.0,PGE_valley
53,ELKHIL_2_PL1X3,6,0.0,PGE_valley
54,ELKHIL_2_PL1X3,7,0.0,PGE_valley
55,ELKHIL_2_PL1X3,8,0.0,PGE_valley
