,Zone,Time,Value
0,PNW,1,0.0
1,PNW,2,0.0
2,PNW,3,0.0
3,PNW,4,0.0
4,PNW,5,0.0
5,PNW,6,0.0
6,PNW,7,0.0
7,PNW,8,0.0
8,PNW,9,0.0
9,PNW,10,0.0
10,PNW,11,0.0
11,PNW,12,0.0
12,PNW,13,0.0
13,PNW,14,0.0
14,PNW,15,0.0
15,PNW,16,0.0
16,PNW,17,0.0
17,PNW,18,0.0
18,PNW,19,0.0
19,PNW,20,0.0
20,PNW,21,0.0
21,PNW,22,0.0
22,PNW,23,0.0
23,PNW,24,0.0
24,PNW,25,0.0
25,PNW,26,0.0
26,PNW,27,0.0
27,PNW,28,0.0
28,PNW,29,0.0
29,PNW,30,0.0
30,PNW,31,0.0
31,PNW,32,0.0
32,PNW,33,0.0
33,PNW,34,0.0
34,PNW,35,0.0
35,PNW,36,0.0
36,PNW,37,0.0
37,PNW,38,0.0
38,PNW,39,0.0
39,PNW,40,0.0
40,PNW,41,0.0
41,PNW,42,0.0
42,PNW,43,0.0
43,PNW,44,0.0
44,PNW,45,0.0
45,PNW,46,0.0
46,PNW,47,0.0
47,PNW,48,0.0
48,PNW,49,0.0
49,PNW,50,0.0
50,PNW,51,0.0
51,PNW,52,0.0
52,PNW,53,0.0
53,PNW,54,0.0
54,PNW,55,0.0
55,PNW,56,0.0
56,PNW,57,0.0
57,PNW,58,0.0
58,PNW,59,0.0
59,PNW,60,0.0
60,PNW,61,0.0
61,PNW,62,0.0
62,PNW,63,0.0
63,PNW,64,0.0
64,PNW,65,0.0
65,PNW,66,0.0
66,PNW,67,0.0
67,PNW,68,0.0
68,PNW,69,0.0
69,PNW,70,0.0
70,PNW,71,0.0
71,PNW,72,0.0
72,PNW,73,0.0
73,PNW,74,0.0
74,PNW,75,0.0
75,PNW,76,0.0
76,PNW,77,0.0
77,PNW,78,0.0
78,PNW,79,0.0
79,PNW,80,0.0
80,PNW,81,0.0
81,PNW,82,0.0
82,PNW,83,0.0
83,PNW,84,0.0
84,PNW,85,0.0
85,PNW,86,0.0
86,PNW,87,0.0
87,PNW,88,0.0
88,PNW,89,0.0
89,PNW,90,0.0
90,PNW,91,0.0
91,PNW,92,0.0
92,PNW,93,0.0
93,PNW,94,0.0
94,PNW,95,0.0
95,PNW,96,0.0
96,PNW,97,0.0
97,PNW,98,0.0
98,PNW,99,0.0
99,PNW,100,0.0
100,PNW,101,0.0
101,PNW,102,0.0
102,PNW,103,0.0
103,PNW,104,0.0
104,PNW,105,0.0
105,PNW,106,0.0
106,PNW,107,0.0
107,PNW,108,0.0
108,PNW,109,0.0
109,PNW,110,0.0
110,PNW,111,0.0
111,PNW,112,0.0
112,PNW,113,0.0
113,PNW,114,0.0
114,PNW,115,0.0
115,PNW,116,0.0
116,PNW,117,0.0
117,PNW,118,0.0
118,PNW,119,0.0
119,PNW,120,0.0
120,PNW,121,0.0
121,PNW,122,0.0
122,PNW,123,0.0
123,PNW,124,0.0
124,PNW,125,0.0
125,PNW,126,0.0
126,PNW,127,0.0
127,PNW,128,0.0
128,PNW,129,0.0
129,PNW,130,0.0
130,PNW,131,0.0
131,PNW,132,0.0
132,PNW,133,0.0
133,PNW,134,0.0
134,PNW,135,0.0
135,PNW,136,0.0
136,PNW,137,0.0
137,PNW,138,0.0
138,PNW,139,0.0
139,PNW,140,0.0
140,PNW,141,0.0
141,PNW,142,0.0
142,PNW,143,0.0
143,PNW,144,0.0
144,PNW,145,0.0
145,PNW,146,0.0
146,PNW,147,0.0
147,PNW,148,0.0
148,PNW,149,0.0
149,PNW,150,0.0
150,PNW,151,0.0
151,PNW,152,0.0
152,PNW,153,0.0
153,PNW,154,0.0
154,PNW,155,0.0
155,PNW,156,0.0
156,PNW,157,0.0
157,PNW,158,0.0
158,PNW,159,0.0
159,PNW,160,0.0
160,PNW,161,0.0
161,PNW,162,0.0
162,PNW,163,0.0
163,PNW,164,0.0
164,PNW,165,0.0
165,PNW,166,0.0
166,PNW,167,0.0
167,PNW,168,0.0
