name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
HUMBPP_6_UNITS,ngct,PGE_valley,97.62,7.19,7.26,7.32,35,98,1,1,3.17,41.09589041,6833.4,22.07148997,34.329031,0.106799,0.247253
HUMBPP_1_UNITS3,ngct,PGE_valley,65.08,7.19,7.26,7.32,23,66,1,1,3.17,27.39726027,4555.6,22.07148997,34.329031,0.106799,0.247253
MOSSLD_7_UNIT6,ngst,PGE_valley,754,9.81,10.51,11.22,302,754,6,6,2,156.5644172,52780,17.64543639,0.275697,0.0505,0.3967329
MOSSLD_7_UNIT7,ngst,PGE_valley,755,9.81,10.51,11.22,302,755,6,6,2,156.6871166,52850,17.64543639,0.275697,0.0505,0.3967329
MOSSLD_2_PSP1,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700,17.64543639,0.275697,0.0505,0.3967329
PITTSP_7_UNIT_5,ngst,PGE_bay,312,12.15,12.85,13.56,125,312,6,6,2,64.52322738,21840,36.10920775,2.9757,0,7.069397
PITTSP_7_UNIT_6,ngst,PGE_bay,317,12.15,12.85,13.56,127,317,6,6,2,65.56234719,22190,36.10920775,2.9757,0,7.069397
PITTSP_7_UNIT_7,ngst,PGE_bay,530,12.15,12.85,13.56,212,530,6,6,2,109.608802,37100,36.10920775,2.9757,0,7.069397
ELCAJN_7_GT1,ngct,SDGE,16.36,17.15,17.22,17.28,9,17,1,1,3.17,6.849315068,1145.2,47.88413629,0,0,4.553406
ALAMIT_7_UNIT1,ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2,36.19631902,12219.2,33.88574707,4.625036,0.67736,12.63779
ALAMIT_7_UNIT2,ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,33.88574707,4.625036,0.67736,12.63779
ALAMIT_7_UNIT3,ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2,68.95705521,23252.6,33.88574707,4.625036,0.67736,12.63779
ALAMIT_7_UNIT4,ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2,69.69325153,23496.9,33.88574707,4.625036,0.67736,12.63779
ALAMIT_7_UNIT5,ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2,103.3128834,34857.9,33.88574707,4.625036,0.67736,12.63779
ALAMIT_7_UNIT6,ngst,SCE,495,11.19,11.89,12.6,198,495,6,6,2,102.6993865,34650,33.88574707,4.625036,0.67736,12.63779
ELSEGN_2_UN1011,ngcc,SCE,263,9.29,9.55,9.81,106,263,1,1,2,121.0332103,18410,21.79081728,1.867803,0.42335,12.63779
ELSEGN_2_UN2021,ngcc,SCE,263.68,9.29,9.55,9.81,106,264,1,1,2,121.0332103,18457.6,21.79081728,1.867803,0.42335,12.63779
ETIWND_7_UNIT3,ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,45.66432908,0.638698191,0.081451581,1.339397
ETIWND_7_UNIT4,ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,42.10803848,0.564195533,0.075103492,1.339397
HNTGBH_7_UNIT1,ngst,SCE,225.75,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15802.5,30.07818349,2.1296275,0.2331805,5.50648
HNTGBH_7_UNIT2,ngst,SCE,225.8,11.19,11.89,12.6,91,226,6,6,2,46.87116564,15806,30.07818349,2.1296275,0.2331805,5.50648
HINSON_6_LBECH1,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,45.16143927,25.348755,0.93137,12.63779
HINSON_6_LBECH2,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,45.16143927,25.348755,0.93137,12.63779
HINSON_6_LBECH3,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,45.16143927,25.348755,0.93137,12.63779
HINSON_6_LBECH4,ngct,SCE,65,14.76,14.83,14.89,23,65,1,1,3.17,27.39726027,4550,45.16143927,25.348755,0.93137,12.63779
MNDALY_7_UNIT1,ngst,SCE,215,8.87,9.57,10.28,86,215,6,6,2,44.66257669,15050,28.81229808,0.20387671,0.126214429,2.061651
MNDALY_7_UNIT2,ngst,SCE,215.29,8.87,9.57,10.28,87,216,6,6,2,44.66257669,15070.3,28.06920316,0.235951603,0.122966209,2.061651
MNDALY_7_UNIT3,ngct,SCE,130,28.33,28.4,28.46,46,130,1,1,3.17,54.79452055,9100,28.44075062,0.219914156,0.124590319,2.061651
ORMOND_7_UNIT1,ngst,SCE,741.27,11.49,12.19,12.9,297,742,6,6,2,153.8650307,51888.9,29.79772571,0.589275,0.1305255,2.061651
ORMOND_7_UNIT2,ngst,SCE,775,11.49,12.19,12.9,310,775,6,6,2,160.8588957,54250,29.79772571,0.589275,0.1305255,2.061651
REDOND_7_UNIT5,ngst,SCE,178.87,11.19,11.89,12.6,72,179,6,6,2,37.17791411,12520.9,33.46753187,3.9579635,0.67736,12.63779
REDOND_7_UNIT6,ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,33.46753187,3.9579635,0.67736,12.63779
REDOND_7_UNIT7,ngst,SCE,505.96,11.19,11.89,12.6,203,506,6,6,2,105.0306748,35417.2,33.46753187,3.9579635,0.67736,12.63779
REDOND_7_UNIT8,ngst,SCE,495.9,11.19,11.89,12.6,199,496,6,6,2,102.9447853,34713,33.46753187,3.9579635,0.67736,12.63779
SBERDO_2_PSP3,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,18.57451457,0.566996,0.03037,1.339397
SBERDO_2_PSP4,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,18.57451457,0.566996,0.03037,1.339397
HARBGN_7_UNITS,ngcc,SCE,109.01,10.65,10.91,11.17,44,110,4,4,2,50.18450185,7630.7,37.16978947,18.500144,0.8467,12.63779
BRDWAY_7_UNIT3,ngst,SCE,65,11.19,11.89,12.6,26,65,6,6,2,13.49693252,4550,30.04444259,13.34145,0,12.63779
